ticker,t0,t1,t2,TOL,n,N,runtime,iterations,gap_percentage
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.1,1.2129998207092285,2,10.623260920226407
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.2,1.302560567855835,2,10.718271394249154
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.3,3.75203013420105,3,10.720747383194725
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.4,3.7952237129211426,4,10.73718295212242
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.5,2.942610025405884,2,10.977113364743966
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.6,3.417259454727173,2,10.726638403074123
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,10,0.7,2.3842825889587402,2,10.15310235727402
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.1,0.7690327167510986,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.2,3.956641435623169,3,10.521556242446344
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.3,4.0263049602508545,3,10.461724448579924
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.4,4.368999719619751,3,10.477006356766443
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.5,5.016950607299805,3,10.66774618532171
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.6,4.616894960403442,3,10.609845300472053
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,15,0.7,4.898427724838257,3,10.596417715648446
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.1,0.7850015163421631,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.2,4.259166479110718,2,10.706743573508136
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.3,2.1476309299468994,1,10.680173795866022
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.4,9.303466081619263,4,10.739440055783712
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.5,6.976240634918213,3,10.719188153479815
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.6,12.400460720062256,5,10.733028327800238
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,20,0.7,13.445722103118896,5,10.728874263182513
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.1,0.8050332069396973,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.2,2.933736562728882,1,10.705892707912854
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.3,9.785325288772583,3,10.71729629362112
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.4,3.0490002632141113,1,10.707260560566349
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.5,19.887192249298096,5,10.722378069632962
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.6,3.3346056938171387,1,10.682621654226319
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,25,0.7,13.705451488494873,3,10.758242499494578
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.1,0.7919826507568359,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.2,2.817284107208252,1,10.705892707912854
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.3,4.324032545089722,1,10.67390288941556
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.4,4.514030933380127,1,10.710114528671106
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.5,14.592964172363281,3,10.716955392482184
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.6,25.823161363601685,5,10.7351183888177
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,30,0.7,15.58139967918396,3,10.716988047370139
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.1,0.8239998817443848,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.2,2.9403204917907715,1,10.705892707912854
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.3,5.958629369735718,1,10.710392472485154
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.4,12.482022762298584,2,10.706832597404901
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.5,19.712484121322632,3,10.734413435501548
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.6,19.148494005203247,3,10.738518865026982
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,35,0.7,26.178507089614868,4,10.743569478595184
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.1,0.7663750648498535,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.2,2.873507022857666,1,10.705892707912854
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.3,6.3665452003479,1,10.754665537449986
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.4,15.747154474258423,2,10.70595720238605
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.5,15.971346378326416,2,10.729544755251167
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.6,24.9100923538208,3,10.73320667574186
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,40,0.7,24.818761348724365,3,10.729302928724616
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,45,0.1,0.7910001277923584,1,10.623265514398666
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,45,0.2,2.9118330478668213,1,10.705892707912854
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,45,0.3,6.2166290283203125,1,10.754665537449986
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,45,0.4,10.168658018112183,1,10.705989801781179
MSFT,2019-05-23,2019-06-07,2019-07-05,0.05,45,0.5,9.872709274291992,1,10.723202079997447
