ticker,t0,t1,t2,TOL,n,N,runtime,iterations,gap_percentage
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.1,0.641000509262085,1,7.406967608022966
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.2,0.8001980781555176,1,8.650399859138556
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.3,0.9030587673187256,1,8.156802274331008
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.4,0.9789936542510986,1,8.826068147575358
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.5,1.0900077819824219,1,8.321649425999372
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.6,1.1859688758850098,1,8.743897172418102
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.7,1.3260350227355957,1,8.394012537863214
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,10,0.8,1.4445953369140625,1,8.702822043845165
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.1,1.167001485824585,1,1.3882962125128935
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.2,1.2660012245178223,1,1.5659513684622706
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.3,1.3766682147979736,1,7.205099174745556
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.4,1.5009660720825195,1,1.533951141118189
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.5,1.6370019912719727,1,1.576115998398125
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.6,1.757014513015747,1,7.212733038593802
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.7,1.8436181545257568,1,6.962775434684507
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,15,0.8,1.9549694061279297,1,1.5780306772403199
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.1,10.891804695129395,5,61.528873123320835
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.2,2.010871410369873,1,1.450664371294689
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.3,2.1090009212493896,1,1.4946827481116924
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.4,22.022961854934692,8,1.5327165000779839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.5,18.884610652923584,7,1.4190963481045098
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.6,33.44738483428955,11,1.4806496692371667
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.7,45.67466115951538,14,1.6767672262855478
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,20,0.8,24.94145369529724,8,1.5226831008354773
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.1,12.36207103729248,4,76.5340360979698
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.2,10.61042308807373,3,1.451833751394832
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.3,22.161336183547974,6,1.4242945616724512
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.4,10.561011791229248,3,1.7707339028150904
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.5,11.114012241363525,3,1.417345190549563
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.6,11.343718528747559,3,1.908434036381653
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.7,12.762590408325195,3,1.3871612103568385
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,25,0.8,12.512510538101196,3,1.971921172116185
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.1,8.108537673950195,2,76.54373383160328
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.2,13.5607590675354,3,1.6900292989569516
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.3,26.76692843437195,4,2.0313036638639956
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.4,20.10098099708557,3,1.7663347316681348
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.5,24.10299777984619,3,1.9526539203824564
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.6,30.571415185928345,3,1.8587468590999066
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.7,39.04007840156555,3,2.039842412795393
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,30,0.8,40.23446607589722,3,1.5306386703163823
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.1,5.487283706665039,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.2,5.541240692138672,1,1.4911186937267704
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.3,5.62858247756958,1,1.5198269181713975
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.4,5.7722008228302,1,1.523570549822006
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.5,5.946022272109985,1,1.5258130600340676
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.6,5.977605581283569,1,1.5273087149582882
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.7,6.100618124008179,1,1.5283821110530478
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,35,0.8,6.2128684520721436,1,1.5291901988505763
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.1,5.585613250732422,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.2,7.120216369628906,1,1.4641891070242474
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.3,7.255388021469116,1,1.4926041623526947
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.4,30.996469259262085,4,1.586139442850519
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.5,48.27481174468994,6,1.4012987535740202
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.6,76.51396870613098,9,1.6521635725059607
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.7,96.75959300994873,11,1.7742444346271198
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,40,0.8,51.63861894607544,6,1.4453996607119624
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.1,5.4225873947143555,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.2,9.11097002029419,1,1.6147109529606507
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.3,28.170326232910156,3,1.3074755263322726
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.4,48.606603384017944,5,1.5465402833775395
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.5,61.10212230682373,5,1.6053371827436547
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.6,60.89216685295105,5,1.62220097617741
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.7,29.89961314201355,3,1.3974057190581102
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,45,0.8,44.05144810676575,4,1.6619952001118474
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.1,5.375666856765747,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.2,10.879991292953491,1,1.5925292754507676
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.3,34.51929211616516,3,1.302411521051391
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.4,35.26403021812439,3,1.6372162962593875
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.5,75.4482684135437,4,5.077479412158717
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.6,49.91199517250061,4,1.4782004843628924
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.7,37.65265440940857,3,1.568753831450422
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,50,0.8,36.955734968185425,3,1.526408027143628
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.1,5.46917724609375,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.2,13.242422103881836,1,1.5036040548534488
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.3,13.37898874282837,1,1.5200579809087902
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.4,41.932262659072876,3,1.5997185230278061
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.5,62.09321069717407,4,1.5267257403535728
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.6,13.657061576843262,1,1.5134558913740201
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.7,13.840043544769287,1,1.5183728923027595
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,55,0.8,44.73863458633423,3,1.5023295741779104
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,60,0.1,5.370065450668335,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,60,0.2,15.915839195251465,1,1.5925108377828148
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,60,0.3,15.921501398086548,1,1.570758730711639
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,60,0.4,49.390671253204346,3,1.503670162837077
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,60,0.5,115.62336039543152,6,1.6235141006498293
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,60,0.8,86.07603096961975,5,1.6317841187518975
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.1,5.367156744003296,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.2,18.609267950057983,1,1.6034921629838157
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.3,57.34446358680725,3,1.4492343437575899
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.4,57.64966320991516,3,1.4975268200077174
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.5,128.39416241645813,6,1.550927467079499
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.6,78.65235996246338,4,1.4978534598142204
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.7,79.35626435279846,4,1.5985173483018984
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,65,0.8,92.01585364341736,4,5.167585785037936
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.1,5.389667510986328,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.2,21.390844583511353,1,1.6034914271674008
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.3,43.70896363258362,2,1.7977425355332926
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.4,67.14641571044922,3,1.5409089802489535
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.5,67.2986090183258,3,1.4683836259575727
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.6,67.91902709007263,3,1.5264834299271448
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.7,100.70469331741333,4,1.524758800088608
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,70,0.8,98.27589654922485,4,1.6025609240016916
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.1,5.4056079387664795,1,76.43735262471839
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.2,21.401779890060425,1,1.6034914271674008
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.3,24.68904709815979,1,1.658658760711756
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.4,24.80224299430847,1,1.560370731729329
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.5,24.995814561843872,1,1.6007363250858786
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.6,25.335957050323486,1,1.5870656259041809
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,75,0.7,25.208216905593872,1,1.58044525476842
TSLA,2018-06-28,2018-07-06,2018-08-03,0.05,80,0.1,5.430002689361572,1,76.43735262471839
