ticker,t0,t1,t2,TOL,n,N,runtime,iterations,gap_percentage
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.1,2.0196304321289062,3,5.732796677510428
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.2,4.896153688430786,6,5.8742192892094245
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.3,6.330881595611572,7,5.909634764832183
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.4,4.796199083328247,5,5.958960769196772
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.5,7.389233350753784,7,5.925147791483713
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.6,7.924327373504639,7,5.931088357506605
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.7,7.228740930557251,6,5.928535858528665
V,2022-01-28,2022-02-11,2022-03-11,0.05,10,0.8,9.13034462928772,7,5.905698565121129
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.1,2.274688959121704,2,6.3880302000996565
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.2,5.3899827003479,4,6.053983316036058
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.3,8.899296998977661,6,6.056756356416919
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.4,12.082571029663086,7,6.0373253772187265
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.5,11.681318521499634,7,6.0541129149761375
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.6,12.257614135742188,7,6.051883143014371
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.7,12.888837575912476,7,6.0529691119852105
V,2022-01-28,2022-02-11,2022-03-11,0.05,15,0.8,15.977444887161255,7,6.050321441215202
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.1,1.866011381149292,1,6.309348567481489
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.2,6.247042894363403,3,6.119719517722411
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.3,12.20039701461792,5,6.119077644978571
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.4,11.66337537765503,5,6.115230057116743
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.5,15.084000825881958,6,6.103928231977012
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.6,15.178089618682861,6,6.1138003276349115
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.7,15.701675176620483,6,6.112045686310717
V,2022-01-28,2022-02-11,2022-03-11,0.05,20,0.8,16.189635276794434,6,6.118984290140688
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.1,2.298276662826538,1,6.073528897891991
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.2,9.305057764053345,3,5.575402550161811
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.3,17.749594926834106,5,6.046019057504594
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.4,16.82448935508728,5,6.046332009609042
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.5,17.31067943572998,5,6.039919830937524
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.6,21.51383638381958,6,6.047520261987229
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.7,22.396921396255493,6,6.0514423759647595
V,2022-01-28,2022-02-11,2022-03-11,0.05,25,0.8,18.735662937164307,5,6.046507595314406
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.1,2.2995386123657227,1,6.073528897891991
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.2,8.472873449325562,2,6.0710253963929945
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.3,13.151521444320679,3,6.090189119977563
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.4,24.27278232574463,5,6.086895451646561
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.5,23.673648834228516,5,5.7129172783064694
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.6,23.81892967224121,5,5.6682388353289666
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.7,29.581717491149902,6,5.66598077813336
V,2022-01-28,2022-02-11,2022-03-11,0.05,30,0.8,35.686020851135254,7,6.08039599922394
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.1,2.23887038230896,1,6.073528897891991
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.2,11.36342978477478,2,6.099541607178949
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.3,17.48067545890808,3,5.955816551979018
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.4,17.55614924430847,3,5.522459689311593
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.5,32.443244218826294,5,6.098858425205094
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.6,38.2022967338562,6,5.580030942520827
V,2022-01-28,2022-02-11,2022-03-11,0.05,35,0.7,31.598334789276123,5,5.900429540133597
