,t0,T1,K1,C1,T2,K2,C2,S0,Adj_S0
0,2018-01-02,2018-06-15,720.0,478.4,2018-09-21,710.0,494.475,59.45050048828125,1189.010009765625
1,2018-01-02,2018-06-15,840.0,360.86036146360146,2018-09-21,760.0,441.5875405616026,59.45050048828125,1189.010009765625
2,2018-01-02,2018-06-15,960.0,251.45,2018-09-21,770.0,437.25000000000006,59.45050048828125,1189.010009765625
3,2018-01-02,2018-06-15,1060.0,169.325,2018-09-21,960.0,267.5,59.45050048828125,1189.010009765625
4,2018-01-02,2018-06-15,1080.0,154.32911814387938,2018-09-21,1000.0,235.125,59.45050048828125,1189.010009765625
5,2018-01-02,2018-06-15,1100.0,140.47500000000002,2018-09-21,1100.0,164.55,59.45050048828125,1189.010009765625
6,2018-01-02,2018-06-15,1140.0,114.475,2018-09-21,1160.0,125.53732338394265,59.45050048828125,1189.010009765625
7,2018-01-02,2018-06-15,1160.0,102.95643320402583,2018-09-21,1180.0,118.225,59.45050048828125,1189.010009765625
8,2018-01-02,2018-06-15,1180.0,91.65989686371185,2018-09-21,1200.0,107.92500000000001,59.45050048828125,1189.010009765625
9,2018-01-02,2018-06-15,1200.0,81.425,2018-09-21,1240.0,89.5,59.45050048828125,1189.010009765625
10,2018-01-02,2018-06-15,1220.0,72.05,2018-09-21,1259.9999999999998,78.21068330900006,59.45050048828125,1189.010009765625
11,2018-01-02,2018-06-15,1240.0,63.574999999999996,2018-09-21,1280.0000000000002,74.13688355542101,59.45050048828125,1189.010009765625
12,2018-01-02,2018-06-15,1260.0,55.8,2018-09-21,1299.9999999999998,66.21835259115515,59.45050048828125,1189.010009765625
13,2018-01-02,2018-06-15,1279.9999999999998,47.98353464569153,2018-09-21,1320.0,60.150000000000006,59.45050048828125,1189.010009765625
14,2018-01-02,2018-06-15,1300.0,42.55,2018-09-21,1420.0,35.05,59.45050048828125,1189.010009765625
15,2018-01-02,2018-06-15,1360.0,27.675,2018-09-21,1480.0,24.558398196070993,59.45050048828125,1189.010009765625
16,2018-01-02,2018-06-15,1380.0,23.576929588632208,2018-09-21,1500.0000000000002,22.200000000000003,59.45050048828125,1189.010009765625
17,2018-01-02,2018-06-15,1500.0,9.649999999999999,2018-09-21,1580.0,13.952248273302233,59.45050048828125,1189.010009765625
18,2018-01-02,2018-06-15,1580.0,5.425,2018-09-21,1600.0,12.55,59.45050048828125,1189.010009765625
19,2018-01-02,2018-06-15,1800.0,1.43,2018-09-21,1800.0,4.325,59.45050048828125,1189.010009765625
20,2018-01-03,2018-06-15,870.0,346.85,2018-09-21,770.0,450.1,60.209999084472656,1204.1999816894531
21,2018-01-03,2018-06-15,880.0,337.375,2018-09-21,940.0,296.29999999999995,60.209999084472656,1204.1999816894531
22,2018-01-03,2018-06-15,900.0,318.36006066533093,2018-09-21,980.0000000000001,261.417719907754,60.209999084472656,1204.1999816894531
23,2018-01-03,2018-06-15,920.0,302.4213269196067,2018-09-21,1000.0000000000001,247.05,60.209999084472656,1204.1999816894531
24,2018-01-03,2018-06-15,960.0000000000001,260.1957503191877,2018-09-21,1080.0,187.65807465419982,60.209999084472656,1204.1999816894531
25,2018-01-03,2018-06-15,1060.0,179.0,2018-09-21,1100.0,175.1211174603552,60.209999084472656,1204.1999816894531
26,2018-01-03,2018-06-15,1080.0,165.31267856718222,2018-09-21,1120.0,160.44331773921905,60.209999084472656,1204.1999816894531
27,2018-01-03,2018-06-15,1100.0,149.3,2018-09-21,1140.0,148.675,60.209999084472656,1204.1999816894531
28,2018-01-03,2018-06-15,1160.0,109.37728815227409,2018-09-21,1160.0,136.925,60.209999084472656,1204.1999816894531
29,2018-01-03,2018-06-15,1180.0,98.55,2018-09-21,1180.0,125.7,60.209999084472656,1204.1999816894531
30,2018-01-03,2018-06-15,1200.0,87.85,2018-09-21,1200.0,114.65,60.209999084472656,1204.1999816894531
