,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2022-12-29,2023-01-27,82.0,5.449999999999999,2023-02-10,83.0,6.286571402471913,84.18000030517578
1,2022-12-29,2023-01-27,83.0,4.875,2023-02-10,84.0,6.275,84.18000030517578
2,2022-12-29,2023-01-27,84.0,4.3,2023-02-10,85.0,5.173135707801567,84.18000030517578
3,2022-12-29,2023-01-27,85.0,3.775,2023-02-10,87.99999999999999,4.066988056764951,84.18000030517578
4,2022-12-29,2023-01-27,86.0,3.313985022616279,2023-02-10,90.0,3.4,84.18000030517578
5,2022-12-29,2023-01-27,87.0,2.8899999999999997,2023-02-10,91.0,3.183886741193928,84.18000030517578
6,2022-12-29,2023-01-27,88.0,2.495,2023-02-10,91.99999999999999,2.766790584934773,84.18000030517578
7,2022-12-29,2023-01-27,89.0,2.137793427740696,2023-02-10,93.0,2.6,84.18000030517578
8,2022-12-29,2023-01-27,90.0,1.83,2023-02-10,94.0,2.46922761087109,84.18000030517578
9,2022-12-29,2023-01-27,90.99999999999999,1.5397395096653694,,,,84.18000030517578
10,2022-12-29,2023-01-27,92.0,1.32,,,,84.18000030517578
11,2022-12-29,2023-01-27,93.00000000000001,1.115,,,,84.18000030517578
12,2022-12-29,2023-01-27,94.00000000000001,0.9450000000000001,,,,84.18000030517578
13,2022-12-29,2023-01-27,95.0,0.7949999999999999,,,,84.18000030517578
14,2022-12-29,2023-01-27,96.0,0.6699999999999999,,,,84.18000030517578
15,2022-12-29,2023-01-27,98.0,0.4799999999999999,,,,84.18000030517578
16,2022-12-29,2023-01-27,100.0,0.355,,,,84.18000030517578
17,2022-12-29,2023-01-27,101.0,0.305,,,,84.18000030517578
18,2022-12-29,2023-01-27,105.0,0.18,,,,84.18000030517578
19,2022-12-29,2023-01-27,130.0,0.030000000000000002,,,,84.18000030517578
20,2022-12-30,2023-01-27,75.0,10.3,2023-02-10,82.0,6.999999999999999,84.0
21,2022-12-30,2023-01-27,80.0,6.575,2023-02-10,83.0,6.34621002603735,84.0
22,2022-12-30,2023-01-27,82.0,5.275,2023-02-10,84.0,5.988253931817688,84.0
23,2022-12-30,2023-01-27,83.0,4.675,2023-02-10,85.0,5.664059006377935,84.0
24,2022-12-30,2023-01-27,84.0,4.141922370172469,2023-02-10,86.0,4.975,84.0
25,2022-12-30,2023-01-27,85.0,3.625,2023-02-10,87.0,4.745030224621842,84.0
26,2022-12-30,2023-01-27,86.00000000000001,3.15,2023-02-10,88.0,3.852988604021902,84.0
27,2022-12-30,2023-01-27,88.0,2.365,2023-02-10,89.0,3.7366062744349136,84.0
28,2022-12-30,2023-01-27,89.0,2.0188366099745005,2023-02-10,89.99999999999999,3.3,84.0
29,2022-12-30,2023-01-27,90.0,1.725,2023-02-10,91.0,2.745,84.0
30,2022-12-30,2023-01-27,91.99999999999999,1.22,2023-02-10,92.00000000000001,2.6983281243248034,84.0
31,2022-12-30,2023-01-27,93.00000000000001,1.025,2023-02-10,93.0,2.25868811841539,84.0
32,2022-12-30,2023-01-27,94.0,0.86,2023-02-10,94.0,2.2350000000000003,84.0
33,2022-12-30,2023-01-27,95.0,0.735,2023-02-10,95.0,2.04,84.0
34,2022-12-30,2023-01-27,96.0,0.61,2023-02-10,100.0,1.05,84.0
35,2022-12-30,2023-01-27,100.0,0.305,2023-02-10,104.99999999999999,0.61,84.0
36,2022-12-30,2023-01-27,105.0,0.16,2023-02-10,109.99999999999999,0.315,84.0
37,2022-12-30,2023-01-27,106.0,0.14,,,,84.0
38,2022-12-30,2023-01-27,115.0,0.065,,,,84.0
39,2022-12-30,2023-01-27,125.0,0.035,,,,84.0
