,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2022-12-22,2023-01-06,82.0,6.425,2023-02-03,85.0,6.4,87.76000213623047
1,2022-12-22,2023-01-06,83.0,5.6,2023-02-03,86.0,5.803017746927821,87.76000213623047
2,2022-12-22,2023-01-06,84.0,4.813165865254305,2023-02-03,87.0,5.25,87.76000213623047
3,2022-12-22,2023-01-06,85.0,4.074999999999999,2023-02-03,88.0,4.7,87.76000213623047
4,2022-12-22,2023-01-06,86.0,3.4000000000000004,2023-02-03,89.0,4.2,87.76000213623047
5,2022-12-22,2023-01-06,87.0,2.795,2023-02-03,90.0,3.75,87.76000213623047
6,2022-12-22,2023-01-06,88.0,2.25,2023-02-03,92.0,2.996182274870847,87.76000213623047
7,2022-12-22,2023-01-06,89.0,1.7850000000000001,2023-02-03,94.0,2.255,87.76000213623047
8,2022-12-22,2023-01-06,90.0,1.385,2023-02-03,95.0,1.9599999999999997,87.76000213623047
9,2022-12-22,2023-01-06,91.0,1.0550000000000002,2023-02-03,98.0,1.28,87.76000213623047
10,2022-12-22,2023-01-06,92.00000000000001,0.7900000000000001,2023-02-03,99.0,1.115,87.76000213623047
11,2022-12-22,2023-01-06,93.0,0.59,2023-02-03,101.99999999999999,0.6799999999999999,87.76000213623047
12,2022-12-22,2023-01-06,94.99999999999999,0.32,,,,87.76000213623047
13,2022-12-22,2023-01-06,95.99999999999999,0.245,,,,87.76000213623047
14,2022-12-22,2023-01-06,97.00000000000001,0.185,,,,87.76000213623047
15,2022-12-22,2023-01-06,98.0,0.14500000000000002,,,,87.76000213623047
16,2022-12-22,2023-01-06,99.0,0.11499999999999999,,,,87.76000213623047
17,2022-12-22,2023-01-06,100.0,0.09500000000000001,,,,87.76000213623047
18,2022-12-22,2023-01-06,105.00000000000001,0.045,,,,87.76000213623047
19,2022-12-22,2023-01-06,125.00000000000001,0.01,,,,87.76000213623047
20,2022-12-23,2023-01-06,81.0,8.525,2023-02-03,83.0,8.75,89.2300033569336
21,2022-12-23,2023-01-06,83.0,6.675,2023-02-03,88.0,5.475,89.2300033569336
22,2022-12-23,2023-01-06,84.0,5.775,2023-02-03,89.0,4.9,89.2300033569336
23,2022-12-23,2023-01-06,85.0,4.975,2023-02-03,90.0,4.38576143947865,89.2300033569336
24,2022-12-23,2023-01-06,86.0,4.175,2023-02-03,91.00000000000001,3.95,89.2300033569336
25,2022-12-23,2023-01-06,87.0,3.4749999999999996,2023-02-03,92.0,3.5,89.2300033569336
26,2022-12-23,2023-01-06,88.0,2.825,2023-02-03,93.00000000000001,3.104675858682637,89.2300033569336
27,2022-12-23,2023-01-06,89.0,2.255,2023-02-03,94.00000000000001,2.7377388973139842,89.2300033569336
28,2022-12-23,2023-01-06,90.0,1.755,2023-02-03,94.99999999999999,2.45,89.2300033569336
29,2022-12-23,2023-01-06,91.0,1.335,2023-02-03,96.0,1.936267058771453,89.2300033569336
30,2022-12-23,2023-01-06,92.0,0.995,2023-02-03,97.0,1.842448565287464,89.2300033569336
31,2022-12-23,2023-01-06,93.0,0.73,2023-02-03,98.0,1.585,89.2300033569336
32,2022-12-23,2023-01-06,94.0,0.52,2023-02-03,99.0,1.365,89.2300033569336
33,2022-12-23,2023-01-06,95.0,0.38,2023-02-03,100.0,1.23,89.2300033569336
34,2022-12-23,2023-01-06,95.99999999999999,0.27,2023-02-03,120.0,0.05,89.2300033569336
35,2022-12-23,2023-01-06,97.0,0.19999999999999998,,,,89.2300033569336
36,2022-12-23,2023-01-06,98.0,0.15000000000000002,,,,89.2300033569336
37,2022-12-23,2023-01-06,98.99999999999999,0.12119256620307702,,,,89.2300033569336
38,2022-12-23,2023-01-06,99.99999999999999,0.09500000000000001,,,,89.2300033569336
39,2022-12-23,2023-01-06,107.0,0.035,,,,89.2300033569336
40,2022-12-27,2023-01-06,84.0,4.25,2023-02-03,87.99999999999999,4.475,87.38999938964844
41,2022-12-27,2023-01-06,85.0,3.432058652924273,2023-02-03,89.0,3.976919104317844,87.38999938964844
42,2022-12-27,2023-01-06,86.0,2.9239693195659995,2023-02-03,90.0,3.597864753337097,87.38999938964844
43,2022-12-27,2023-01-06,87.0,2.245,2023-02-03,91.0,3.0076216556031365,87.38999938964844
44,2022-12-27,2023-01-06,87.99999999999999,1.7250000000000003,2023-02-03,92.0,2.615,87.38999938964844
45,2022-12-27,2023-01-06,88.99999999999999,1.29,2023-02-03,93.0,2.3125750472403555,87.38999938964844
46,2022-12-27,2023-01-06,90.00000000000001,0.94,2023-02-03,94.0,2.012705167835297,87.38999938964844
47,2022-12-27,2023-01-06,91.0,0.67,2023-02-03,95.0,1.7999999999999998,87.38999938964844
48,2022-12-27,2023-01-06,91.99999999999999,0.4699999999999999,2023-02-03,96.0,1.525,87.38999938964844
49,2022-12-27,2023-01-06,93.0,0.325,2023-02-03,98.0,1.11,87.38999938964844
50,2022-12-27,2023-01-06,94.00000000000001,0.22499999999999998,2023-02-03,98.99999999999999,0.985,87.38999938964844
51,2022-12-27,2023-01-06,94.99999999999999,0.165,2023-02-03,100.0,0.8649999999999999,87.38999938964844
52,2022-12-27,2023-01-06,96.0,0.11499999999999999,2023-02-03,105.00000000000001,0.47,87.38999938964844
53,2022-12-27,2023-01-06,97.0,0.095,2023-02-03,115.0,0.14500000000000002,87.38999938964844
54,2022-12-27,2023-01-06,97.99999999999999,0.07040200066860607,,,,87.38999938964844
55,2022-12-27,2023-01-06,99.0,0.055,,,,87.38999938964844
56,2022-12-27,2023-01-06,100.0,0.045,,,,87.38999938964844
57,2022-12-27,2023-01-06,106.99999999999999,0.019092501240522454,,,,87.38999938964844
58,2022-12-27,2023-01-06,108.0,0.015,,,,87.38999938964844
59,2022-12-27,2023-01-06,119.0,0.005,,,,87.38999938964844
60,2022-12-28,2023-01-06,85.0,2.475,2023-02-03,87.0,4.175,86.0199966430664
61,2022-12-28,2023-01-06,86.0,1.9049999999999998,2023-02-03,88.0,3.7518111433771058,86.0199966430664
62,2022-12-28,2023-01-06,87.00000000000001,1.3510515672470207,2023-02-03,89.00000000000001,3.2300000000000004,86.0199966430664
63,2022-12-28,2023-01-06,88.0,1.03,2023-02-03,90.0,2.86186837796971,86.0199966430664
64,2022-12-28,2023-01-06,88.99999999999999,0.72,2023-02-03,91.0,2.4450000000000003,86.0199966430664
65,2022-12-28,2023-01-06,90.0,0.49,2023-02-03,92.0,2.195,86.0199966430664
66,2022-12-28,2023-01-06,90.99999999999999,0.335,2023-02-03,93.0,1.9241430787582614,86.0199966430664
67,2022-12-28,2023-01-06,91.99999999999999,0.23,2023-02-03,95.0,1.455,86.0199966430664
68,2022-12-28,2023-01-06,93.0,0.165,2023-02-03,96.0,1.225,86.0199966430664
69,2022-12-28,2023-01-06,94.00000000000001,0.11499999999999999,2023-02-03,97.99999999999999,0.92,86.0199966430664
70,2022-12-28,2023-01-06,95.0,0.08499999999999999,2023-02-03,99.0,0.7668303929798476,86.0199966430664
71,2022-12-28,2023-01-06,96.0,0.0631937779434213,2023-02-03,100.0,0.6849999999999999,86.0199966430664
72,2022-12-28,2023-01-06,97.00000000000001,0.05500000000000001,2023-02-03,100.99999999999999,0.6181407213228467,86.0199966430664
73,2022-12-28,2023-01-06,99.00000000000001,0.035,2023-02-03,102.0,0.45499999999999996,86.0199966430664
74,2022-12-28,2023-01-06,100.0,0.031634608532463186,2023-02-03,105.0,0.3492713456121568,86.0199966430664
