,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2022-07-21,2023-03-17,449.99999999999994,403.7,2023-04-21,800.0,185.125,815.1199951171875
1,2022-07-21,2023-03-17,600.0,285.1496065961106,2023-04-21,950.0,124.30000000000003,815.1199951171875
2,2022-07-21,2023-03-17,700.0,227.81271707079185,2023-04-21,1300.0,47.8,815.1199951171875
3,2022-07-21,2023-03-17,750.0,199.025,2023-04-21,1375.0,38.21841211219351,815.1199951171875
4,2022-07-21,2023-03-17,800.0,169.87430819808097,2023-04-21,1400.0,35.175,815.1199951171875
5,2022-07-21,2023-03-17,900.0000000000001,130.525,2023-04-21,1450.0,31.225000000000005,815.1199951171875
6,2022-07-21,2023-03-17,999.9999999999999,97.17500000000001,2023-04-21,1500.0,26.974999999999998,815.1199951171875
7,2022-07-21,2023-03-17,1100.0,73.46076504470581,,,,815.1199951171875
8,2022-07-21,2023-03-17,1110.0,67.48510855349882,,,,815.1199951171875
9,2022-07-21,2023-03-17,1150.0,61.275,,,,815.1199951171875
10,2022-07-21,2023-03-17,1200.0,53.83304465810337,,,,815.1199951171875
11,2022-07-21,2023-03-17,1250.0,45.400000000000006,,,,815.1199951171875
12,2022-07-21,2023-03-17,1300.0,39.55,,,,815.1199951171875
13,2022-07-21,2023-03-17,1350.0,33.5,,,,815.1199951171875
14,2022-07-21,2023-03-17,1400.0,29.200000000000003,,,,815.1199951171875
15,2022-07-21,2023-03-17,1500.0,21.875,,,,815.1199951171875
16,2022-07-21,2023-03-17,1800.0,9.775,,,,815.1199951171875
17,2022-07-21,2023-03-17,2000.0,6.2,,,,815.1199951171875
18,2022-07-21,2023-03-17,2100.0,4.975,,,,815.1199951171875
19,2022-07-21,2023-03-17,2475.0,2.315,,,,815.1199951171875
20,2022-07-22,2023-03-17,600.0,291.975,2023-04-21,650.0,269.25,816.7300415039062
21,2022-07-22,2023-03-17,700.0,227.375,2023-04-21,700.0,238.97500000000002,816.7300415039062
22,2022-07-22,2023-03-17,750.0,199.39999999999998,2023-04-21,800.0,185.89999999999998,816.7300415039062
23,2022-07-22,2023-03-17,800.0,172.11125937706817,2023-04-21,875.0000000000001,152.95,816.7300415039062
24,2022-07-22,2023-03-17,850.0000000000001,150.72500000000002,2023-04-21,899.9999999999999,138.63072919459773,816.7300415039062
25,2022-07-22,2023-03-17,860.0,146.7417515065354,2023-04-21,1000.0,109.69999999999999,816.7300415039062
26,2022-07-22,2023-03-17,900.0000000000001,130.35,2023-04-21,1150.0,73.82499999999999,816.7300415039062
27,2022-07-22,2023-03-17,950.0000000000001,107.46394801089521,2023-04-21,1300.0,49.349999999999994,816.7300415039062
28,2022-07-22,2023-03-17,970.0000000000001,102.62808520986012,2023-04-21,1350.0,42.063109666481715,816.7300415039062
29,2022-07-22,2023-03-17,1000.0000000000001,100.63626762427678,2023-04-21,1400.0,37.2,816.7300415039062
30,2022-07-22,2023-03-17,1100.0,71.2,2023-04-21,1450.0,32.13108373972678,816.7300415039062
31,2022-07-22,2023-03-17,1200.0,52.35,2023-04-21,1500.0,28.74793411260082,816.7300415039062
32,2022-07-22,2023-03-17,1250.0,43.424542085437196,,,,816.7300415039062
33,2022-07-22,2023-03-17,1300.0,38.825,,,,816.7300415039062
34,2022-07-22,2023-03-17,1450.0,23.70970361152404,,,,816.7300415039062
35,2022-07-22,2023-03-17,1500.0,21.85,,,,816.7300415039062
36,2022-07-22,2023-03-17,1799.9999999999998,10.175,,,,816.7300415039062
37,2022-07-22,2023-03-17,2000.0,6.55,,,,816.7300415039062
38,2022-07-22,2023-03-17,2400.0,2.7199999999999998,,,,816.7300415039062
39,2022-07-22,2023-03-17,2475.0,2.645,,,,816.7300415039062
40,2022-07-25,2023-03-17,700.0,219.69282046580497,2023-04-21,500.0,360.70000000000005,805.2999572753906
41,2022-07-25,2023-03-17,725.0,201.52731712250008,2023-04-21,650.0,258.67499999999995,805.2999572753906
42,2022-07-25,2023-03-17,730.0,202.6788230655694,2023-04-21,700.0,229.17500000000004,805.2999572753906
43,2022-07-25,2023-03-17,745.0,185.18009050500228,2023-04-21,800.0,175.10766719185546,805.2999572753906
44,2022-07-25,2023-03-17,750.0,181.6897199579756,2023-04-21,850.0,155.7,805.2999572753906
45,2022-07-25,2023-03-17,760.0,184.10000000000002,2023-04-21,1000.0,103.44999999999999,805.2999572753906
46,2022-07-25,2023-03-17,810.0,160.72027880590875,2023-04-21,1050.0,90.275,805.2999572753906
