,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2020-05-21,2020-06-12,120.0,5.9,2020-07-02,124.0,4.8,117.98648071289062
1,2020-05-21,2020-06-12,124.0,3.425,2020-07-02,125.0,3.85,117.98648071289062
2,2020-05-21,2020-06-12,125.0,2.9050000000000002,2020-07-02,130.0,2.3099999999999996,117.98648071289062
3,2020-05-21,2020-06-12,125.99999999999999,2.3449999999999998,,,,117.98648071289062
4,2020-05-21,2020-06-12,127.0,1.9963278131211215,,,,117.98648071289062
5,2020-05-21,2020-06-12,127.99999999999999,1.620662340435085,,,,117.98648071289062
6,2020-05-21,2020-06-12,129.0,1.4301563049238635,,,,117.98648071289062
7,2020-05-21,2020-06-12,130.0,1.145,,,,117.98648071289062
8,2020-05-21,2020-06-12,131.0,0.9550000000000001,,,,117.98648071289062
9,2020-05-21,2020-06-12,132.0,0.6499999999999999,,,,117.98648071289062
10,2020-05-21,2020-06-12,133.0,0.4823354850483535,,,,117.98648071289062
11,2020-05-21,2020-06-12,134.0,0.445,,,,117.98648071289062
12,2020-05-21,2020-06-12,135.0,0.37121816243622,,,,117.98648071289062
13,2020-05-21,2020-06-12,140.0,0.175,,,,117.98648071289062
14,2020-05-21,2020-06-12,145.0,0.09,,,,117.98648071289062
15,2020-05-21,2020-06-12,150.0,0.07440724929522281,,,,117.98648071289062
16,2020-05-21,2020-06-12,155.0,0.045,,,,117.98648071289062
17,2020-05-22,2020-06-12,122.0,3.923923315032463,2020-07-02,125.0,3.525,117.36348724365234
18,2020-05-22,2020-06-12,123.0,3.45,2020-07-02,130.0,1.565,117.36348724365234
19,2020-05-22,2020-06-12,124.0,3.1593712128863847,2020-07-02,131.0,1.37,117.36348724365234
20,2020-05-22,2020-06-12,125.0,2.5176509817117863,2020-07-02,140.0,0.48,117.36348724365234
21,2020-05-22,2020-06-12,126.0,1.8699999999999999,,,,117.36348724365234
22,2020-05-22,2020-06-12,127.0,1.5036623565450478,,,,117.36348724365234
23,2020-05-22,2020-06-12,128.0,1.1302554223543106,,,,117.36348724365234
24,2020-05-22,2020-06-12,129.0,0.95,,,,117.36348724365234
25,2020-05-22,2020-06-12,130.0,0.863813036101648,,,,117.36348724365234
26,2020-05-22,2020-06-12,131.0,0.625,,,,117.36348724365234
27,2020-05-22,2020-06-12,132.0,0.44,,,,117.36348724365234
28,2020-05-22,2020-06-12,133.0,0.38,,,,117.36348724365234
29,2020-05-22,2020-06-12,135.0,0.21500000000000002,,,,117.36348724365234
30,2020-05-22,2020-06-12,137.0,0.11,,,,117.36348724365234
31,2020-05-22,2020-06-12,140.0,0.07,,,,117.36348724365234
32,2020-05-22,2020-06-12,145.0,0.05,,,,117.36348724365234
33,2020-05-22,2020-06-12,150.0,0.035,,,,117.36348724365234
34,2020-05-26,2020-06-12,119.0,5.625,2020-07-02,124.0,3.25,116.91984558105467
35,2020-05-26,2020-06-12,123.0,2.775,2020-07-02,125.0,2.74,116.91984558105467
36,2020-05-26,2020-06-12,124.0,2.0054026328822485,2020-07-02,128.0,1.4849999999999999,116.91984558105467
37,2020-05-26,2020-06-12,125.0,1.7398775064566911,2020-07-02,129.0,1.250889013123449,116.91984558105467
38,2020-05-26,2020-06-12,126.00000000000001,1.2850000000000001,2020-07-02,130.0,0.935,116.91984558105467
39,2020-05-26,2020-06-12,127.0,0.975609102064338,,,,116.91984558105467
40,2020-05-26,2020-06-12,127.99999999999999,0.72,,,,116.91984558105467
41,2020-05-26,2020-06-12,129.0,0.54,,,,116.91984558105467
42,2020-05-26,2020-06-12,130.0,0.4,,,,116.91984558105467
43,2020-05-26,2020-06-12,131.0,0.27956697409727005,,,,116.91984558105467
44,2020-05-26,2020-06-12,132.0,0.27875137152002266,,,,116.91984558105467
45,2020-05-26,2020-06-12,133.0,0.215,,,,116.91984558105467
46,2020-05-26,2020-06-12,134.0,0.12548664364273182,,,,116.91984558105467
47,2020-05-26,2020-06-12,135.0,0.09113640473144154,,,,116.91984558105467
48,2020-05-26,2020-06-12,136.0,0.075,,,,116.91984558105467
49,2020-05-26,2020-06-12,140.0,0.035,,,,116.91984558105467
50,2020-05-27,2020-06-12,95.0,27.5,2020-07-02,121.0,5.175000000000001,115.6171417236328
51,2020-05-27,2020-06-12,115.0,7.575,2020-07-02,122.0,4.507662828142959,115.6171417236328
52,2020-05-27,2020-06-12,116.0,6.836531820881899,2020-07-02,122.99999999999999,2.7129886807323746,115.6171417236328
53,2020-05-27,2020-06-12,120.0,3.8249999999999993,2020-07-02,124.0,2.68,115.6171417236328
