,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2022-12-29,2023-01-27,82.0,5.5,5.3999999999999995,2023-02-10,83.0,6.711571402471914,5.861571402471913,84.18000030517578
1,2022-12-29,2023-01-27,83.0,4.95,4.8,2023-02-10,84.0,7.2,5.35,84.18000030517578
2,2022-12-29,2023-01-27,84.0,4.35,4.25,2023-02-10,85.0,5.973135707801568,4.373135707801566,84.18000030517578
3,2022-12-29,2023-01-27,85.0,3.8,3.75,2023-02-10,87.99999999999999,5.461988056764952,2.6719880567649508,84.18000030517578
4,2022-12-29,2023-01-27,86.0,3.388985022616279,3.2389850226162786,2023-02-10,90.0,3.65,3.15,84.18000030517578
5,2022-12-29,2023-01-27,87.0,2.92,2.8599999999999994,2023-02-10,91.0,3.6638867411939273,2.703886741193928,84.18000030517578
6,2022-12-29,2023-01-27,88.0,2.53,2.46,2023-02-10,91.99999999999999,3.0467905849347736,2.4867905849347736,84.18000030517578
7,2022-12-29,2023-01-27,89.0,2.1677934277406967,2.1077934277406967,2023-02-10,93.0,2.79,2.41,84.18000030517578
8,2022-12-29,2023-01-27,90.0,1.86,1.8,2023-02-10,94.0,2.76422761087109,2.1742276108710903,84.18000030517578
9,2022-12-29,2023-01-27,90.99999999999999,1.5647395096653691,1.5147395096653693,,,,,84.18000030517578
10,2022-12-29,2023-01-27,92.0,1.35,1.29,,,,,84.18000030517578
11,2022-12-29,2023-01-27,93.00000000000001,1.14,1.09,,,,,84.18000030517578
12,2022-12-29,2023-01-27,94.00000000000001,0.9700000000000001,0.92,,,,,84.18000030517578
13,2022-12-29,2023-01-27,95.0,0.82,0.77,,,,,84.18000030517578
14,2022-12-29,2023-01-27,96.0,0.69,0.65,,,,,84.18000030517578
15,2022-12-29,2023-01-27,98.0,0.49999999999999994,0.46,,,,,84.18000030517578
16,2022-12-29,2023-01-27,100.0,0.36999999999999994,0.34,,,,,84.18000030517578
17,2022-12-29,2023-01-27,101.0,0.32,0.29,,,,,84.18000030517578
18,2022-12-29,2023-01-27,105.0,0.19,0.16999999999999998,,,,,84.18000030517578
19,2022-12-29,2023-01-27,130.0,0.04,0.02,,,,,84.18000030517578
20,2022-12-30,2023-01-27,75.0,10.4,10.2,2023-02-10,82.0,7.2,6.8,84.0
21,2022-12-30,2023-01-27,80.0,6.6499999999999995,6.5,2023-02-10,83.0,6.57121002603735,6.121210026037349,84.0
22,2022-12-30,2023-01-27,82.0,5.35,5.2,2023-02-10,84.0,6.613253931817688,5.363253931817689,84.0
23,2022-12-30,2023-01-27,83.0,4.75,4.6,2023-02-10,85.0,5.814059006377934,5.514059006377933,84.0
24,2022-12-30,2023-01-27,84.0,4.191922370172469,4.091922370172467,2023-02-10,86.0,5.35,4.6,84.0
25,2022-12-30,2023-01-27,85.0,3.6999999999999997,3.55,2023-02-10,87.0,5.020030224621841,4.4700302246218415,84.0
26,2022-12-30,2023-01-27,86.00000000000001,3.2000000000000006,3.1000000000000005,2023-02-10,88.0,4.027988604021902,3.6779886040219028,84.0
27,2022-12-30,2023-01-27,88.0,2.4,2.33,2023-02-10,89.0,4.061606274434914,3.4116062744349143,84.0
28,2022-12-30,2023-01-27,89.0,2.0588366099745006,1.9788366099745005,2023-02-10,89.99999999999999,3.5,3.1000000000000005,84.0
29,2022-12-30,2023-01-27,90.0,1.76,1.69,2023-02-10,91.0,3.2999999999999994,2.19,84.0
30,2022-12-30,2023-01-27,91.99999999999999,1.25,1.19,2023-02-10,92.00000000000001,3.0133281243248033,2.3833281243248035,84.0
31,2022-12-30,2023-01-27,93.00000000000001,1.05,1.0,2023-02-10,93.0,2.46868811841539,2.0486881184153902,84.0
32,2022-12-30,2023-01-27,94.0,0.89,0.8299999999999998,2023-02-10,94.0,2.31,2.16,84.0
33,2022-12-30,2023-01-27,95.0,0.7500000000000001,0.72,2023-02-10,95.0,2.38,1.7,84.0
34,2022-12-30,2023-01-27,96.0,0.63,0.59,2023-02-10,100.0,1.2,0.9,84.0
35,2022-12-30,2023-01-27,100.0,0.31,0.3,2023-02-10,104.99999999999999,0.75,0.47,84.0
36,2022-12-30,2023-01-27,105.0,0.17000000000000004,0.15,2023-02-10,109.99999999999999,0.45999999999999996,0.16999999999999998,84.0
37,2022-12-30,2023-01-27,106.0,0.15,0.13,,,,,84.0
38,2022-12-30,2023-01-27,115.0,0.08,0.05,,,,,84.0
39,2022-12-30,2023-01-27,125.0,0.05,0.02,,,,,84.0
