,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2020-03-16,2020-04-09,1040.0,112.4,100.5,2020-05-01,1180.0,58.0,48.6,1073.000030517578
1,2020-03-16,2020-04-09,1050.0,104.0,94.5,2020-05-01,1210.0,47.0,37.7,1073.000030517578
2,2020-03-16,2020-04-09,1220.0,28.5,20.5,2020-05-01,1540.0,5.0,0.0,1073.000030517578
3,2020-03-16,2020-04-09,1290.0,12.499999999999998,7.5,,,,,1073.000030517578
4,2020-03-16,2020-04-09,1300.0,11.0,6.0,,,,,1073.000030517578
5,2020-03-16,2020-04-09,1420.0,4.452255638333077,0.5522556383330767,,,,,1073.000030517578
6,2020-03-16,2020-04-09,1880.0,5.0,0.0,,,,,1073.000030517578
7,2020-03-17,2020-04-09,960.0,188.9709850084081,176.07098500840806,2020-05-01,1100.0,109.9,100.8,1118.0599975585938
8,2020-03-17,2020-04-09,970.0,180.4,168.2,,,,,1118.0599975585938
9,2020-03-17,2020-04-09,1200.0,36.9,32.1,,,,,1118.0599975585938
10,2020-03-17,2020-04-09,1249.9999999999998,21.7,16.9,,,,,1118.0599975585938
11,2020-03-17,2020-04-09,1300.0,10.400000000000002,7.0,,,,,1118.0599975585938
12,2020-03-17,2020-04-09,1550.0,0.55,0.0,,,,,1118.0599975585938
13,2020-03-18,2020-04-09,1220.0,21.0,16.5,2020-05-01,1400.0,7.0,2.5,1091.1900329589844
14,2020-03-18,2020-04-09,1250.0000000000002,14.5,10.0,2020-05-01,1440.0,5.0,0.0,1091.1900329589844
15,2020-03-18,2020-04-09,1355.0,4.4,0.3,,,,,1091.1900329589844
16,2020-03-18,2020-04-09,1380.0,3.5976422431789974,-0.0023577568210026677,,,,,1091.1900329589844
17,2020-03-18,2020-04-09,1390.0,3.3,0.0,,,,,1091.1900329589844
18,2020-03-19,2020-04-09,1300.0,8.2,3.5,2020-05-01,1300.0,23.4,18.0,1111.6699981689453
19,2020-03-19,2020-04-09,1390.0000000000002,3.7,0.0,,,,,1111.6699981689453
20,2020-03-19,2020-04-09,1400.0,3.399032326495872,0.04903232649587232,,,,,1111.6699981689453
21,2020-03-19,2020-04-09,1550.0,0.3,0.0,,,,,1111.6699981689453
22,2020-03-20,2020-04-09,1010.0,103.7,97.6,2020-05-01,1300.0,12.3,7.9,1068.209991455078
23,2020-03-20,2020-04-09,1150.0,32.0,26.9,2020-05-01,1340.0,7.84815796239658,4.148157962396581,1068.209991455078
