,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2019-11-21,2019-12-06,132.0,4.65,4.4,2020-01-03,135.0,4.0,3.15,120.76858520507812
1,2019-11-21,2019-12-06,133.0,3.407372475411123,3.2573724754111235,2020-01-03,136.0,2.9724182693142756,2.3924182693142755,120.76858520507812
2,2019-11-21,2019-12-06,134.0,2.74693901988685,2.6769390198868503,2020-01-03,137.0,2.41,2.16,120.76858520507812
3,2019-11-21,2019-12-06,135.0,2.05,1.98,,,,,120.76858520507812
4,2019-11-21,2019-12-06,136.0,1.8306143907495052,1.770614390749505,,,,,120.76858520507812
5,2019-11-21,2019-12-06,137.0,1.01,0.97,,,,,120.76858520507812
6,2019-11-21,2019-12-06,138.0,0.66,0.63,,,,,120.76858520507812
7,2019-11-21,2019-12-06,140.0,0.26,0.23,,,,,120.76858520507812
8,2019-11-21,2019-12-06,142.0,0.1,0.07,,,,,120.76858520507812
9,2019-11-22,2019-12-06,127.0,9.896212693729007,9.446212693729008,2020-01-03,133.0,5.9,5.7,122.21135711669922
10,2019-11-22,2019-12-06,128.0,9.643449691055906,8.543449691055905,2020-01-03,134.0,4.80840334523385,4.558403345233849,122.21135711669922
11,2019-11-22,2019-12-06,129.0,9.361468535063684,8.911468535063683,2020-01-03,135.0,4.802755005767163,4.602755005767163,122.21135711669922
12,2019-11-22,2019-12-06,130.0,9.202967642997047,8.852967642997047,2020-01-03,136.0,3.820893743929509,3.6208937439295097,122.21135711669922
13,2019-11-22,2019-12-06,131.0,7.6208569534834325,7.270856953483432,2020-01-03,137.0,2.8553865583073494,2.6553865583073493,122.21135711669922
14,2019-11-22,2019-12-06,132.0,7.074894717938591,6.6748947179385905,2020-01-03,138.0,2.63,2.52,122.21135711669922
15,2019-11-22,2019-12-06,133.0,6.586198387816135,6.186198387816135,2020-01-03,139.0,2.1374315867344174,2.0174315867344172,122.21135711669922
16,2019-11-22,2019-12-06,134.0,5.036541059041657,4.836541059041656,2020-01-03,140.0,1.756020717730263,1.656020717730263,122.21135711669922
17,2019-11-22,2019-12-06,135.0,3.039225712766495,2.889225712766495,2020-01-03,141.0,1.35,1.25,122.21135711669922
18,2019-11-22,2019-12-06,136.0,1.9857043084988932,1.905704308498893,2020-01-03,142.0,1.04,0.95,122.21135711669922
19,2019-11-22,2019-12-06,137.0,1.76,1.69,2020-01-03,144.99999999999997,0.45,0.38,122.21135711669922
20,2019-11-22,2019-12-06,138.0,1.6342382607982722,1.5942382607982721,,,,,122.21135711669922
21,2019-11-22,2019-12-06,139.0,0.7144688020364028,0.6744688020364029,,,,,122.21135711669922
22,2019-11-22,2019-12-06,140.0,0.5518383914129267,0.5218383914129266,,,,,122.21135711669922
23,2019-11-22,2019-12-06,141.0,0.34,0.29,,,,,122.21135711669922
24,2019-11-22,2019-12-06,141.99999999999997,0.2,0.17,,,,,122.21135711669922
25,2019-11-22,2019-12-06,143.0,0.12,0.09,,,,,122.21135711669922
26,2019-11-25,2019-12-06,131.0,6.173372614139314,6.023372614139315,2020-01-03,137.0,2.92,2.84,122.26480865478516
27,2019-11-25,2019-12-06,133.0,4.65,4.5,2020-01-03,141.0,1.12,1.07,122.26480865478516
28,2019-11-25,2019-12-06,134.0,3.38108296420635,3.1810829642063507,,,,,122.26480865478516
29,2019-11-25,2019-12-06,135.0,3.000886438310192,2.930886438310192,,,,,122.26480865478516
30,2019-11-25,2019-12-06,136.0,1.8716261727905075,1.8116261727905074,,,,,122.26480865478516
31,2019-11-25,2019-12-06,137.0,1.5494116794831512,1.4994116794831511,,,,,122.26480865478516
32,2019-11-25,2019-12-06,138.0,0.96,0.92,,,,,122.26480865478516
33,2019-11-25,2019-12-06,139.00000000000003,0.50821134084938,0.4682113408493802,,,,,122.26480865478516
34,2019-11-25,2019-12-06,140.0,0.33,0.3,,,,,122.26480865478516
35,2019-11-25,2019-12-06,141.0,0.18,0.15,,,,,122.26480865478516
36,2019-11-25,2019-12-06,142.0,0.09,0.08,,,,,122.26480865478516
37,2019-11-26,2019-12-06,134.0,3.2885089344256486,3.1385089344256487,2020-01-03,136.0,3.55,2.96,122.25589752197266
38,2019-11-26,2019-12-06,135.0,2.67,2.55,2020-01-03,138.0,2.77,1.87,122.25589752197266
39,2019-11-26,2019-12-06,136.0,2.0225765510265665,1.8825765510265664,2020-01-03,141.0,1.2,0.72,122.25589752197266
40,2019-11-26,2019-12-06,137.0,1.32,1.21,,,,,122.25589752197266
41,2019-11-26,2019-12-06,138.0,0.83,0.74,,,,,122.25589752197266
42,2019-11-26,2019-12-06,139.0,0.473877892937653,0.3938778929376529,,,,,122.25589752197266
43,2019-11-26,2019-12-06,140.0,0.27,0.2,,,,,122.25589752197266
44,2019-11-26,2019-12-06,141.0,0.14,0.09,,,,,122.25589752197266
45,2019-11-26,2019-12-06,142.0,0.07,0.04,,,,,122.25589752197266
46,2019-11-26,2019-12-06,143.0,0.10012634058654761,0.00012634058654761935,,,,,122.25589752197266
47,2019-11-26,2019-12-06,144.0,0.1,0.0,,,,,122.25589752197266
48,2019-11-27,2019-12-06,134.0,4.15,4.0,2020-01-03,136.0,3.8,3.65,122.7728500366211
49,2019-11-27,2019-12-06,135.0,3.1100278632605995,3.0100278632606,2020-01-03,141.0,1.056498830069237,0.9564988300692371,122.7728500366211
50,2019-11-27,2019-12-06,136.0,2.41,2.35,2020-01-03,142.0,0.91,0.85,122.7728500366211
51,2019-11-27,2019-12-06,137.0,1.7321552169222074,1.6821552169222074,,,,,122.7728500366211
52,2019-11-27,2019-12-06,138.0,1.1,1.05,,,,,122.7728500366211
53,2019-11-27,2019-12-06,139.0,0.6167798934057273,0.5867798934057272,,,,,122.7728500366211
54,2019-11-27,2019-12-06,140.0,0.36,0.34,,,,,122.7728500366211
55,2019-11-27,2019-12-06,141.0,0.16796217800233212,0.15796217800233212,,,,,122.7728500366211
56,2019-11-27,2019-12-06,142.0,0.09,0.06999999999999999,,,,,122.7728500366211
57,2019-11-29,2019-12-06,135.0,2.92,2.84,2020-01-03,138.0,2.37,2.23,122.5411148071289
58,2019-11-29,2019-12-06,137.0,1.3223418338850328,1.252341833885033,2020-01-03,140.0,1.41,1.33,122.5411148071289
59,2019-11-29,2019-12-06,138.0,0.8500000000000001,0.81,,,,,122.5411148071289
60,2019-11-29,2019-12-06,139.0,0.46,0.44,,,,,122.5411148071289
61,2019-11-29,2019-12-06,140.0,0.22,0.21,,,,,122.5411148071289
62,2019-11-29,2019-12-06,141.0,0.10000000000000002,0.09,,,,,122.5411148071289
63,2019-11-29,2019-12-06,142.0,0.05,0.03,,,,,122.5411148071289
64,2019-12-02,2019-12-06,135.0,2.77,2.67,2020-01-03,138.0,2.28,2.16,122.42526245117188
65,2019-12-02,2019-12-06,136.0,1.91,1.85,,,,,122.42526245117188
66,2019-12-02,2019-12-06,137.0,0.7592507752547006,0.7092507752547006,,,,,122.42526245117188
67,2019-12-02,2019-12-06,138.0,0.64,0.62,,,,,122.42526245117188
68,2019-12-02,2019-12-06,139.00000000000003,0.3,0.28,,,,,122.42526245117188
69,2019-12-02,2019-12-06,140.0,0.13,0.11,,,,,122.42526245117188
70,2019-12-02,2019-12-06,141.0,0.06,0.04000000000000001,,,,,122.42526245117188
71,2019-12-02,2019-12-06,142.0,0.03,0.02,,,,,122.42526245117188
72,2019-12-03,2019-12-06,133.0,4.205436396793903,4.005436396793902,2020-01-03,138.0,2.19,2.11,122.24701690673828
73,2019-12-03,2019-12-06,134.0,3.3036398189216905,3.153639818921691,2020-01-03,142.0,0.74,0.62,122.24701690673828
74,2019-12-03,2019-12-06,135.0,2.53,2.47,,,,,122.24701690673828
75,2019-12-03,2019-12-06,136.0,1.7602410855001989,1.7102410855001988,,,,,122.24701690673828
76,2019-12-03,2019-12-06,137.0,0.97,0.9499999999999998,,,,,122.24701690673828
77,2019-12-03,2019-12-06,138.0,0.48,0.45,,,,,122.24701690673828
78,2019-12-03,2019-12-06,139.0,0.2,0.18,,,,,122.24701690673828
79,2019-12-03,2019-12-06,140.0,0.07,0.06,,,,,122.24701690673828
80,2019-12-03,2019-12-06,141.0,0.04,0.0,,,,,122.24701690673828
81,2019-12-03,2019-12-06,142.0,0.029999999999999995,0.0,,,,,122.24701690673828
82,2019-12-04,2019-12-06,134.0,5.120126972921013,4.870126972921013,2020-01-03,134.0,6.65,6.35,124.22562408447266
83,2019-12-04,2019-12-06,135.0,4.407866771568652,4.257866771568652,2020-01-03,137.0,3.846183818731349,3.596183818731349,124.22562408447266
84,2019-12-04,2019-12-06,136.0,3.6134520335413693,3.5134520335413693,2020-01-03,138.0,3.7274712920822544,3.527471292082254,124.22562408447266
85,2019-12-04,2019-12-06,137.0,2.77,2.65,2020-01-03,140.0,2.2,2.13,124.22562408447266
86,2019-12-04,2019-12-06,138.0,1.859789461743606,1.7897894617436056,2020-01-03,140.99999999999997,1.8854297267329276,1.705429726732928,124.22562408447266
87,2019-12-04,2019-12-06,139.0,1.1076905165439086,1.0576905165439086,2020-01-03,142.0,1.3087537413149655,1.1687537413149653,124.22562408447266
88,2019-12-04,2019-12-06,140.0,0.4699999999999999,0.45,2020-01-03,145.0,0.48,0.41000000000000003,124.22562408447266
89,2019-12-04,2019-12-06,141.0,0.18,0.17,,,,,124.22562408447266
