,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2020-05-22,2020-06-12,111.0,3.5,2.42,2020-07-02,114.0,2.98,2.7,102.64595794677734
1,2020-05-22,2020-06-12,112.0,2.684371390115189,1.6643713901151889,,,,,102.64595794677734
2,2020-05-22,2020-06-12,113.0,2.3273357678543585,1.1573357678543583,,,,,102.64595794677734
3,2020-05-22,2020-06-12,114.0,1.5994527878365925,1.1994527878365921,,,,,102.64595794677734
4,2020-05-22,2020-06-12,115.0,1.57,1.09,,,,,102.64595794677734
5,2020-05-22,2020-06-12,115.99999999999999,1.45,0.53,,,,,102.64595794677734
6,2020-05-22,2020-06-12,118.0,0.52,0.28,,,,,102.64595794677734
7,2020-05-26,2020-06-12,111.0,2.96,2.7,2020-07-02,104.0,9.35,8.8,102.1263427734375
8,2020-05-26,2020-06-12,112.0,2.28,2.15,2020-07-02,106.0,7.750000000000001,7.15,102.1263427734375
9,2020-05-26,2020-06-12,113.00000000000001,1.9300000000000002,1.67,2020-07-02,112.99999999999999,2.97,2.63,102.1263427734375
10,2020-05-26,2020-06-12,114.00000000000001,1.3883152660435145,1.1983152660435143,2020-07-02,113.99999999999999,2.58,2.13,102.1263427734375
11,2020-05-26,2020-06-12,115.00000000000001,1.0010857459987936,0.9010857459987934,,,,,102.1263427734375
12,2020-05-26,2020-06-12,115.99999999999999,0.68,0.52,,,,,102.1263427734375
13,2020-05-26,2020-06-12,117.0,0.47000000000000003,0.21,,,,,102.1263427734375
14,2020-05-26,2020-06-12,118.0,0.32,0.21999999999999997,,,,,102.1263427734375
15,2020-05-26,2020-06-12,120.0,0.15,0.07,,,,,102.1263427734375
16,2020-05-27,2020-06-12,111.0,4.15,3.9,2020-07-02,113.0,3.8000000000000003,3.6000000000000005,103.8218994140625
17,2020-05-27,2020-06-12,112.0,3.45,3.2,2020-07-02,122.00000000000001,0.48,0.41,103.8218994140625
18,2020-05-27,2020-06-12,113.0,2.7712995132758222,2.481299513275822,,,,,103.8218994140625
19,2020-05-27,2020-06-12,114.0,2.23,2.06,,,,,103.8218994140625
20,2020-05-27,2020-06-12,115.0,1.69,1.42,,,,,103.8218994140625
21,2020-05-27,2020-06-12,116.0,0.9674030532633564,0.7774030532633565,,,,,103.8218994140625
22,2020-05-27,2020-06-12,116.99999999999999,0.8899999999999999,0.74,,,,,103.8218994140625
23,2020-05-27,2020-06-12,118.0,0.5509546180914634,0.40095461809146354,,,,,103.8218994140625
24,2020-05-27,2020-06-12,119.0,0.40705070339900623,0.3370507033990062,,,,,103.8218994140625
25,2020-05-27,2020-06-12,120.00000000000001,0.26,0.21,,,,,103.8218994140625
26,2020-05-27,2020-06-12,121.0,0.7426997629020755,-0.39730023709792434,,,,,103.8218994140625
27,2020-05-27,2020-06-12,125.00000000000001,0.05,0.01,,,,,103.8218994140625
28,2020-05-28,2020-06-12,111.0,6.3408619240280295,4.740861924028031,2020-07-02,116.00000000000001,3.5,3.25,105.8000717163086
29,2020-05-28,2020-06-12,112.0,5.25,4.9,2020-07-02,117.00000000000001,3.112796411421367,2.8127964114213673,105.8000717163086
30,2020-05-28,2020-06-12,113.0,4.6542959216118005,4.2542959216118,2020-07-02,120.0,1.691722014260111,1.231722014260111,105.8000717163086
31,2020-05-28,2020-06-12,114.0,3.65,3.4,2020-07-02,122.00000000000001,1.06,0.68,105.8000717163086
32,2020-05-28,2020-06-12,115.0,2.711938947313206,2.581938947313206,,,,,105.8000717163086
33,2020-05-28,2020-06-12,116.0,2.517133444734099,1.877133444734099,,,,,105.8000717163086
34,2020-05-28,2020-06-12,117.0,1.8388383504109775,1.6488383504109778,,,,,105.8000717163086
35,2020-05-28,2020-06-12,117.99999999999999,1.28,1.2,,,,,105.8000717163086
36,2020-05-28,2020-06-12,120.0,0.69,0.58,,,,,105.8000717163086
