,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2021-07-22,2021-08-06,240.0,7.5,7.2,2021-09-03,240.0,9.65,9.1,239.202880859375
1,2021-07-22,2021-08-06,242.5,5.85,5.6,2021-09-03,250.0,4.9,4.2,239.202880859375
2,2021-07-22,2021-08-06,244.99999999999997,4.45,4.25,2021-09-03,260.0,2.24,1.55,239.202880859375
3,2021-07-22,2021-08-06,247.5,3.1355321257915785,2.9355321257915783,2021-09-03,270.0,0.86,0.53,239.202880859375
4,2021-07-22,2021-08-06,249.99999999999997,2.45,2.26,2021-09-03,280.0,0.46,0.01,239.202880859375
5,2021-07-22,2021-08-06,252.50000000000003,1.78,1.58,,,,,239.202880859375
6,2021-07-22,2021-08-06,255.0,1.26,1.11,,,,,239.202880859375
7,2021-07-22,2021-08-06,260.0,0.63,0.52,,,,,239.202880859375
8,2021-07-22,2021-08-06,265.0,0.32,0.26,,,,,239.202880859375
9,2021-07-22,2021-08-06,270.0,0.3,0.029999999999999995,,,,,239.202880859375
10,2021-07-23,2021-08-06,230.0,21.35,18.4,2021-09-03,249.99999999999997,7.45,6.6,243.9841766357422
11,2021-07-23,2021-08-06,232.5,17.62039603643224,16.470396036432245,2021-09-03,255.00000000000003,5.4,4.65,243.9841766357422
12,2021-07-23,2021-08-06,235.0,15.45,14.85,2021-09-03,260.0,3.55,3.05,243.9841766357422
13,2021-07-23,2021-08-06,237.5,13.644531241324787,12.344531241324788,2021-09-03,275.0,1.03,0.62,243.9841766357422
14,2021-07-23,2021-08-06,240.0,11.383024837123196,10.683024837123195,2021-09-03,280.0,0.91,0.39,243.9841766357422
15,2021-07-23,2021-08-06,242.5,9.2,8.5,,,,,243.9841766357422
16,2021-07-23,2021-08-06,245.0,7.419418544018438,7.069418544018438,,,,,243.9841766357422
17,2021-07-23,2021-08-06,247.5,5.75,5.45,,,,,243.9841766357422
18,2021-07-23,2021-08-06,250.0,4.45,4.2,,,,,243.9841766357422
19,2021-07-23,2021-08-06,252.49999999999997,3.332995945779739,3.0829959457797385,,,,,243.9841766357422
20,2021-07-23,2021-08-06,255.00000000000003,2.49,2.37,,,,,243.9841766357422
21,2021-07-23,2021-08-06,257.5,1.7973948793717176,1.6773948793717175,,,,,243.9841766357422
22,2021-07-23,2021-08-06,260.0,1.34,1.27,,,,,243.9841766357422
23,2021-07-23,2021-08-06,262.5,0.99,0.91,,,,,243.9841766357422
24,2021-07-23,2021-08-06,265.0,0.89,0.67,,,,,243.9841766357422
25,2021-07-23,2021-08-06,267.5,0.55,0.52,,,,,243.9841766357422
26,2021-07-23,2021-08-06,270.0,0.48,0.37,,,,,243.9841766357422
27,2021-07-26,2021-08-06,240.0,11.198545259843106,10.748545259843105,2021-09-03,250.0,7.4,7.05,245.18930053710935
