,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2019-11-21,2019-12-06,112.0,8.0,7.849999999999999,2020-01-03,118.0,3.45,3.25,111.65139770507812
1,2019-11-21,2019-12-06,115.0,5.050141569053294,4.700141569053295,2020-01-03,119.99999999999999,2.155429505816165,2.035429505816165,111.65139770507812
2,2019-11-21,2019-12-06,117.0,3.163902321274387,3.0639023212743868,2020-01-03,121.0,1.86,1.58,111.65139770507812
3,2019-11-21,2019-12-06,118.0,2.7009102628171413,2.6309102628171415,2020-01-03,122.0,1.561910742138555,1.391910742138555,111.65139770507812
4,2019-11-21,2019-12-06,119.0,2.519003629267177,2.4690036292671773,2020-01-03,124.00000000000001,0.82,0.69,111.65139770507812
5,2019-11-21,2019-12-06,120.0,1.32,1.28,2020-01-03,126.0,0.43,0.34,111.65139770507812
6,2019-11-21,2019-12-06,121.0,0.88,0.85,2020-01-03,128.0,0.2358909533285097,0.18589095332850972,111.65139770507812
7,2019-11-21,2019-12-06,122.0,0.57,0.53,2020-01-03,130.0,0.42,0.0,111.65139770507812
8,2019-11-21,2019-12-06,122.99999999999999,0.3334789996402682,0.31347899964026826,,,,,111.65139770507812
9,2019-11-21,2019-12-06,124.0,0.22,0.19,,,,,111.65139770507812
10,2019-11-21,2019-12-06,124.99999999999999,0.13,0.11999999999999998,,,,,111.65139770507812
11,2019-11-21,2019-12-06,126.00000000000001,0.1,0.07,,,,,111.65139770507812
12,2019-11-22,2019-12-06,117.0,2.81,2.76,2020-01-03,117.0,3.6,3.45,111.18562316894533
13,2019-11-22,2019-12-06,118.0,1.939934968522654,1.8899349685226543,2020-01-03,119.0,2.2663772880178223,2.216377288017823,111.18562316894533
14,2019-11-22,2019-12-06,119.0,1.7853168644547948,1.755316864454795,2020-01-03,120.0,1.81,1.77,111.18562316894533
15,2019-11-22,2019-12-06,120.00000000000001,0.89,0.87,2020-01-03,122.0,1.04,1.01,111.18562316894533
16,2019-11-22,2019-12-06,121.0,0.5327146331341168,0.5127146331341168,2020-01-03,124.0,0.57,0.51,111.18562316894533
17,2019-11-22,2019-12-06,122.0,0.31,0.29,,,,,111.18562316894533
18,2019-11-22,2019-12-06,123.0,0.18,0.16,,,,,111.18562316894533
19,2019-11-22,2019-12-06,124.0,0.11,0.08,,,,,111.18562316894533
20,2019-11-22,2019-12-06,124.99999999999999,0.05999999999999999,0.05,,,,,111.18562316894533
21,2019-11-22,2019-12-06,126.0,0.08002608605269915,0.010026086052699156,,,,,111.18562316894533
22,2019-11-22,2019-12-06,126.99999999999999,0.07,0.0,,,,,111.18562316894533
23,2019-11-25,2019-12-06,114.0,5.445035402807105,5.295035402807105,2020-01-03,115.0,4.6,4.45,110.77575302124023
24,2019-11-25,2019-12-06,115.0,3.9825967834716107,3.8325967834716113,2020-01-03,117.0,2.801787637859706,2.7017876378597054,110.77575302124023
25,2019-11-25,2019-12-06,116.0,3.1275387337959977,2.9775387337959973,2020-01-03,118.0,2.51,2.45,110.77575302124023
26,2019-11-25,2019-12-06,117.0,2.1919006336756564,2.131900633675656,2020-01-03,119.0,1.9686309021578543,1.9286309021578543,110.77575302124023
27,2019-11-25,2019-12-06,118.0,1.8808920860678053,1.8208920860678053,2020-01-03,119.99999999999999,1.5,1.47,110.77575302124023
28,2019-11-25,2019-12-06,119.0,1.0,0.9700000000000001,2020-01-03,121.0,1.12,1.1,110.77575302124023
