,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2018-06-21,2018-07-06,1670.0,73.35,71.1,2018-08-03,1600.0,164.35,159.35,1730.2200317382812
1,2018-06-21,2018-07-06,1700.0,50.45,49.15,2018-08-03,1725.0,81.85,76.85,1730.2200317382812
2,2018-06-21,2018-07-06,1707.5,45.45,44.2,2018-08-03,1730.0,79.15,74.15,1730.2200317382812
3,2018-06-21,2018-07-06,1710.0,43.780329803879155,42.630329803879164,2018-08-03,1732.5,77.85,72.85,1730.2200317382812
4,2018-06-21,2018-07-06,1715.0,40.64940628947927,39.64940628947927,2018-08-03,1735.0,76.3113579701941,71.3113579701941,1730.2200317382812
5,2018-06-21,2018-07-06,1720.0,37.55,36.6,2018-08-03,1737.5,75.56202491236229,70.56202491236229,1730.2200317382812
6,2018-06-21,2018-07-06,1725.0,34.65,33.75,2018-08-03,1740.0,74.09550643885689,69.09550643885689,1730.2200317382812
7,2018-06-21,2018-07-06,1730.0,31.95,30.95,2018-08-03,1769.9999999999998,60.25,55.24999999999999,1730.2200317382812
8,2018-06-21,2018-07-06,1732.5,30.61190125303681,29.611901253036805,2018-08-03,1800.0,48.2,43.2,1730.2200317382812
9,2018-06-21,2018-07-06,1735.0,29.3,28.449999999999996,2018-08-03,1899.9999999999998,21.6,16.6,1730.2200317382812
10,2018-06-21,2018-07-06,1739.9999999999998,26.9,26.0,,,,,1730.2200317382812
11,2018-06-21,2018-07-06,1745.0,24.57935144494487,23.679351444944867,,,,,1730.2200317382812
12,2018-06-21,2018-07-06,1750.0,22.45,21.55,,,,,1730.2200317382812
13,2018-06-21,2018-07-06,1755.0000000000002,20.45,19.55,,,,,1730.2200317382812
14,2018-06-21,2018-07-06,1760.0,18.55,18.0,,,,,1730.2200317382812
15,2018-06-21,2018-07-06,1780.0000000000002,12.45,11.8,,,,,1730.2200317382812
16,2018-06-21,2018-07-06,1790.0,9.884943143493928,9.234943143493927,,,,,1730.2200317382812
17,2018-06-21,2018-07-06,1800.0,8.15,7.199999999999999,,,,,1730.2200317382812
18,2018-06-21,2018-07-06,1820.0,5.25,4.5,,,,,1730.2200317382812
19,2018-06-21,2018-07-06,1970.0,0.67,0.22,,,,,1730.2200317382812
20,2018-06-22,2018-07-06,1700.0,37.2,35.65,2018-08-03,1670.0,104.2,99.2,1715.6700134277344
21,2018-06-22,2018-07-06,1710.0,31.250000000000004,29.599999999999998,2018-08-03,1710.0,81.15,76.15,1715.6700134277344
22,2018-06-22,2018-07-06,1715.0,28.0912897155755,26.541289715575495,2018-08-03,1720.0,75.95,70.95,1715.6700134277344
23,2018-06-22,2018-07-06,1720.0,25.75,24.5,2018-08-03,1724.9999999999998,73.45,68.45,1715.6700134277344
24,2018-06-22,2018-07-06,1724.9999999999998,23.35,21.9,2018-08-03,1729.9999999999998,70.94859200334598,65.94859200334598,1715.6700134277344
25,2018-06-22,2018-07-06,1727.5,21.92849311878375,20.628493118783748,2018-08-03,1732.5,69.75,64.75,1715.6700134277344
26,2018-06-22,2018-07-06,1730.0,21.155737846902092,19.75573784690209,2018-08-03,1740.0,66.35,61.35000000000001,1715.6700134277344
27,2018-06-22,2018-07-06,1732.5,20.05,18.65,2018-08-03,1750.0,61.56629166411017,56.566291664110175,1715.6700134277344
28,2018-06-22,2018-07-06,1734.9999999999998,18.97223242509809,17.622232425098087,2018-08-03,1799.9999999999998,42.6,37.6,1715.6700134277344
29,2018-06-22,2018-07-06,1740.0000000000002,16.95,15.75,2018-08-03,1850.0,28.3,23.3,1715.6700134277344
30,2018-06-22,2018-07-06,1745.0,15.25,13.9,2018-08-03,2000.0,8.45,3.6,1715.6700134277344
31,2018-06-22,2018-07-06,1750.0,13.649999999999999,12.4,,,,,1715.6700134277344
32,2018-06-22,2018-07-06,1760.0,10.8,9.45,,,,,1715.6700134277344
33,2018-06-22,2018-07-06,1770.0000000000002,8.5,7.4,,,,,1715.6700134277344
34,2018-06-22,2018-07-06,1780.0,6.7,5.65,,,,,1715.6700134277344
35,2018-06-22,2018-07-06,1790.0,5.1,4.3,,,,,1715.6700134277344
36,2018-06-22,2018-07-06,1797.5,4.1981978847471275,3.448197884747128,,,,,1715.6700134277344
37,2018-06-22,2018-07-06,1800.0,4.0,3.25,,,,,1715.6700134277344
38,2018-06-22,2018-07-06,1809.9999999999998,3.2,2.42,,,,,1715.6700134277344
39,2018-06-22,2018-07-06,1820.0,2.48,1.94,,,,,1715.6700134277344
40,2018-06-25,2018-07-06,1650.0,39.0,36.95,2018-08-03,1500.0,190.65,185.65,1663.1500244140625
41,2018-06-25,2018-07-06,1660.0,32.5,31.699999999999996,2018-08-03,1510.0,182.6,177.6,1663.1500244140625
42,2018-06-25,2018-07-06,1670.0,27.25,26.1,2018-08-03,1590.0,123.35,118.35,1663.1500244140625
43,2018-06-25,2018-07-06,1675.0,24.727482172443917,23.927482172443916,2018-08-03,1600.0,116.95000000000002,112.00000000000001,1663.1500244140625
44,2018-06-25,2018-07-06,1680.0,22.61586835964916,21.765868359649158,2018-08-03,1650.0,86.0,81.2,1663.1500244140625
45,2018-06-25,2018-07-06,1682.5,21.45,20.55,2018-08-03,1655.0,82.6918021885909,78.1918021885909,1663.1500244140625
46,2018-06-25,2018-07-06,1685.0,20.496994032499007,19.546994032499008,2018-08-03,1660.0,80.78287212659721,76.68287212659722,1663.1500244140625
47,2018-06-25,2018-07-06,1687.5000000000002,19.62171815934938,18.37171815934938,2018-08-03,1670.0,75.62361161587637,70.67361161587635,1663.1500244140625
48,2018-06-25,2018-07-06,1690.0,18.4,17.5,2018-08-03,1674.9999999999998,73.59856092443275,68.79856092443275,1663.1500244140625
49,2018-06-25,2018-07-06,1700.0,14.75,14.15,2018-08-03,1680.0,71.1035274323538,66.55352743235379,1663.1500244140625
50,2018-06-25,2018-07-06,1710.0000000000002,12.15,10.95,2018-08-03,1685.0,68.3,63.8,1663.1500244140625
51,2018-06-25,2018-07-06,1720.0,9.3,8.75,2018-08-03,1689.9999999999998,66.10846380377762,61.55846380377763,1663.1500244140625
52,2018-06-25,2018-07-06,1725.0,8.3,7.65,2018-08-03,1695.0,63.75,59.2,1663.1500244140625
53,2018-06-25,2018-07-06,1730.0,7.35,6.6,2018-08-03,1700.0000000000002,61.88457167166963,56.93457167166964,1663.1500244140625
54,2018-06-25,2018-07-06,1739.9999999999998,5.75,5.2,2018-08-03,1724.9999999999998,51.23113877164394,46.931138771643944,1663.1500244140625
55,2018-06-25,2018-07-06,1745.0,5.1,4.5,2018-08-03,1727.5,50.45014883135603,46.20014883135603,1663.1500244140625
56,2018-06-25,2018-07-06,1750.0,4.5,3.7999999999999994,2018-08-03,1730.0,49.4,45.1,1663.1500244140625
57,2018-06-25,2018-07-06,1760.0,3.5,3.0,2018-08-03,1740.0000000000002,45.7,41.4,1663.1500244140625
58,2018-06-25,2018-07-06,1770.0,2.69,2.24,2018-08-03,1742.5,44.75,40.55,1663.1500244140625
59,2018-06-25,2018-07-06,1800.0,1.34,1.06,2018-08-03,1749.9999999999998,42.25,37.95,1663.1500244140625
60,2018-06-26,2018-07-06,1660.0,46.15,45.65,2018-08-03,1650.0,101.1,96.2,1691.0899353027344
61,2018-06-26,2018-07-06,1670.0,39.1,38.6,2018-08-03,1655.0,98.15,93.15,1691.0899353027344
62,2018-06-26,2018-07-06,1672.5,36.804313693332475,35.55431369333248,2018-08-03,1660.0,93.04888787385367,88.09888787385368,1691.0899353027344
63,2018-06-26,2018-07-06,1675.0,36.01419836246089,35.56419836246089,2018-08-03,1670.0,89.4,84.45,1691.0899353027344
64,2018-06-26,2018-07-06,1680.0,32.65,32.2,2018-08-03,1675.0,86.36101108727527,81.41101108727527,1691.0899353027344
65,2018-06-26,2018-07-06,1682.5,31.038722123597033,30.58872212359703,2018-08-03,1680.0,84.13733778977821,79.18733778977821,1691.0899353027344
66,2018-06-26,2018-07-06,1685.0,29.6,29.2,2018-08-03,1685.0,80.85214520586892,75.90214520586892,1691.0899353027344
67,2018-06-26,2018-07-06,1687.5,28.159918095034737,27.159918095034737,2018-08-03,1690.0,78.45,73.5,1691.0899353027344
68,2018-06-26,2018-07-06,1690.0,26.633061641948153,26.233061641948154,2018-08-03,1695.0,75.65812394535799,70.80812394535796,1691.0899353027344
69,2018-06-26,2018-07-06,1692.5000000000002,25.4,25.0,2018-08-03,1700.0,73.72139253153654,68.72139253153654,1691.0899353027344
70,2018-06-26,2018-07-06,1695.0,24.1,23.7,2018-08-03,1749.9999999999998,51.2,46.4,1691.0899353027344
71,2018-06-26,2018-07-06,1700.0,21.55,21.2,2018-08-03,1800.0000000000002,34.2,29.550000000000004,1691.0899353027344
72,2018-06-26,2018-07-06,1710.0,17.05,16.7,2018-08-03,1850.0,21.75,17.85,1691.0899353027344
73,2018-06-26,2018-07-06,1712.5000000000002,15.923453914256108,15.473453914256107,2018-08-03,1890.0,15.2,11.0,1691.0899353027344
74,2018-06-26,2018-07-06,1720.0,13.25,12.9,2018-08-03,1899.9999999999998,13.85,9.55,1691.0899353027344
75,2018-06-26,2018-07-06,1724.9999999999998,11.582115157663155,11.232115157663157,2018-08-03,2100.0,2.78,0.24,1691.0899353027344
76,2018-06-26,2018-07-06,1729.9999999999998,10.1,9.75,2018-08-03,2110.0,2.8968815094146687,0.03688150941466871,1691.0899353027344
77,2018-06-26,2018-07-06,1739.9999999999998,7.65,7.25,2018-08-03,2120.0,2.8,0.0,1691.0899353027344
78,2018-06-26,2018-07-06,1750.0,5.5,5.3,2018-08-03,2130.0,2.7,0.0,1691.0899353027344
