,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2021-05-13,2021-06-04,146.0,17.11224806668506,16.012248066685057,2021-07-02,160.0,7.55,5.95,149.3296356201172
1,2021-05-13,2021-06-04,152.5,10.9,10.3,,,,,149.3296356201172
2,2021-05-13,2021-06-04,155.0,8.7,8.35,,,,,149.3296356201172
3,2021-05-13,2021-06-04,157.5,6.268562807187345,6.118562807187344,,,,,149.3296356201172
4,2021-05-13,2021-06-04,160.0,5.082270043939111,4.982270043939112,,,,,149.3296356201172
5,2021-05-13,2021-06-04,162.5,3.683079879872689,3.533079879872689,,,,,149.3296356201172
6,2021-05-13,2021-06-04,164.99999999999997,2.57,2.48,,,,,149.3296356201172
7,2021-05-13,2021-06-04,167.5,1.77,1.66,,,,,149.3296356201172
8,2021-05-13,2021-06-04,170.0,1.19,1.17,,,,,149.3296356201172
9,2021-05-13,2021-06-04,172.5,0.95,0.75,,,,,149.3296356201172
10,2021-05-13,2021-06-04,180.0,0.31,0.22,,,,,149.3296356201172
11,2021-05-14,2021-06-04,152.5,12.776053379724527,12.326053379724526,2021-07-02,160.0,8.85,7.95,151.65042114257812
12,2021-05-14,2021-06-04,155.0,10.502309484309919,10.102309484309918,2021-07-02,162.5,7.249999999999999,6.45,151.65042114257812
13,2021-05-14,2021-06-04,157.5,7.008100078035656,6.858100078035654,2021-07-02,165.0,4.914452053107459,4.564452053107458,151.65042114257812
14,2021-05-14,2021-06-04,160.0,6.05,5.9,2021-07-02,167.5,4.857133595809159,4.357133595809159,151.65042114257812
15,2021-05-14,2021-06-04,162.5,4.090256141727611,3.9902561417276106,2021-07-02,169.99999999999997,3.5,3.15,151.65042114257812
16,2021-05-14,2021-06-04,165.0,3.368414836884983,3.1984148368849836,2021-07-02,177.5,2.24,1.35,151.65042114257812
17,2021-05-14,2021-06-04,167.5,2.05,1.99,,,,,151.65042114257812
18,2021-05-14,2021-06-04,170.0,1.4,1.31,,,,,151.65042114257812
19,2021-05-14,2021-06-04,172.5,0.93,0.84,,,,,151.65042114257812
20,2021-05-14,2021-06-04,175.0,0.68,0.5,,,,,151.65042114257812
21,2021-05-14,2021-06-04,180.0,0.37,0.23,,,,,151.65042114257812
22,2021-05-14,2021-06-04,185.0,0.24,0.14,,,,,151.65042114257812
23,2021-05-17,2021-06-04,160.0,6.5,6.300000000000001,2021-07-02,162.5,7.6,6.75,152.2606964111328
24,2021-05-17,2021-06-04,162.5,4.471078521941387,4.271078521941387,2021-07-02,165.0,5.85,5.5,152.2606964111328
25,2021-05-17,2021-06-04,165.0,3.4,3.2500000000000004,2021-07-02,167.5,4.75,4.25,152.2606964111328
26,2021-05-17,2021-06-04,167.5,2.31,2.22,2021-07-02,170.0,3.8499999999999996,3.35,152.2606964111328
27,2021-05-17,2021-06-04,170.0,1.52,1.44,2021-07-02,182.50000000000003,1.35,0.27,152.2606964111328
28,2021-05-17,2021-06-04,172.5,0.8846821088951886,0.8146821088951886,,,,,152.2606964111328
29,2021-05-17,2021-06-04,174.99999999999997,0.63,0.53,,,,,152.2606964111328
30,2021-05-17,2021-06-04,177.5,0.42,0.34,,,,,152.2606964111328
31,2021-05-17,2021-06-04,185.0,0.17,0.05,,,,,152.2606964111328
32,2021-05-18,2021-06-04,150.0,13.671035148994878,12.721035148994877,2021-07-02,160.0,7.250000000000001,6.6499999999999995,150.1155548095703
33,2021-05-18,2021-06-04,152.5,11.200000000000001,10.55,2021-07-02,162.5,5.75,5.249999999999999,150.1155548095703
34,2021-05-18,2021-06-04,155.0,8.734730550154232,8.434730550154232,2021-07-02,165.0,4.397863499950131,3.947863499950131,150.1155548095703
35,2021-05-18,2021-06-04,157.5,5.938398562603141,5.838398562603141,2021-07-02,167.5,3.5500000000000003,3.1,150.1155548095703
36,2021-05-18,2021-06-04,160.0,4.938563296759178,4.838563296759177,2021-07-02,175.0,1.8299999999999998,1.27,150.1155548095703
37,2021-05-18,2021-06-04,162.5,3.25,3.15,,,,,150.1155548095703
38,2021-05-18,2021-06-04,165.0,2.15,2.07,,,,,150.1155548095703
