,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2021-10-21,2021-11-26,285.0,27.6,27.15,2021-12-03,285.0,27.85,27.6,304.0497131347656
1,2021-10-21,2021-11-26,290.0,23.031857974276683,22.581857974276687,2021-12-03,290.0,23.315862301786293,23.06586230178629,304.0497131347656
2,2021-10-21,2021-11-26,295.0,18.7,18.4,2021-12-03,300.0,15.35,15.049999999999999,304.0497131347656
3,2021-10-21,2021-11-26,300.0,14.120518131902715,13.770518131902715,2021-12-03,310.0,8.8,8.55,304.0497131347656
4,2021-10-21,2021-11-26,305.0,11.05,10.8,2021-12-03,314.99999999999994,6.300000000000001,6.000000000000001,304.0497131347656
5,2021-10-21,2021-11-26,310.0,7.95,7.7,2021-12-03,320.0,4.3,4.1,304.0497131347656
6,2021-10-21,2021-11-26,315.0,5.45,5.3,2021-12-03,330.0,1.84,1.7,304.0497131347656
7,2021-10-21,2021-11-26,320.00000000000006,3.55,3.4000000000000004,2021-12-03,335.00000000000006,1.2,1.07,304.0497131347656
8,2021-10-21,2021-11-26,325.0,2.21,2.09,2021-12-03,340.0,0.7900000000000001,0.6799999999999999,304.0497131347656
9,2021-10-21,2021-11-26,330.0,1.34,1.25,,,,,304.0497131347656
10,2021-10-21,2021-11-26,334.99999999999994,0.81,0.76,,,,,304.0497131347656
11,2021-10-21,2021-11-26,339.99999999999994,0.53,0.46,,,,,304.0497131347656
12,2021-10-21,2021-11-26,355.0,0.19,0.13,,,,,304.0497131347656
13,2021-10-21,2021-11-26,360.0,0.15,0.1,,,,,304.0497131347656
14,2021-10-21,2021-11-26,365.0,0.11,0.08,,,,,304.0497131347656
15,2021-10-21,2021-11-26,370.0,0.1,0.06,,,,,304.0497131347656
16,2021-10-21,2021-11-26,375.00000000000006,0.09,0.05,,,,,304.0497131347656
17,2021-10-21,2021-11-26,380.0,0.08,0.04,,,,,304.0497131347656
18,2021-10-21,2021-11-26,385.0,0.07,0.04,,,,,304.0497131347656
19,2021-10-22,2021-11-26,290.0,21.65,21.3,2021-12-03,285.0,26.500000000000004,26.249999999999996,302.4842529296875
20,2021-10-22,2021-11-26,295.0,17.308065898802777,16.95806589880278,2021-12-03,295.0,18.05,17.8,302.4842529296875
21,2021-10-22,2021-11-26,300.0,14.261571692839402,14.011571692839402,2021-12-03,305.0,10.9,10.7,302.4842529296875
22,2021-10-22,2021-11-26,305.0,10.1,9.9,2021-12-03,310.0,8.05,7.85,302.4842529296875
23,2021-10-22,2021-11-26,310.0,7.2,7.0,2021-12-03,315.0,5.7,5.5,302.4842529296875
24,2021-10-22,2021-11-26,315.0,4.9,4.7,2021-12-03,320.0,3.9,3.7,302.4842529296875
25,2021-10-22,2021-11-26,320.0,3.072294431549974,2.9722944315499737,2021-12-03,325.0,2.55,2.43,302.4842529296875
26,2021-10-22,2021-11-26,325.0,1.9700000000000002,1.88,2021-12-03,330.0,1.65,1.55,302.4842529296875
27,2021-10-22,2021-11-26,330.0,1.21,1.12,,,,,302.4842529296875
28,2021-10-22,2021-11-26,335.0,0.76,0.68,,,,,302.4842529296875
29,2021-10-22,2021-11-26,340.0,0.49,0.42,,,,,302.4842529296875
30,2021-10-22,2021-11-26,365.0,0.11000000000000001,0.07,,,,,302.4842529296875
31,2021-10-22,2021-11-26,385.0,0.07,0.03,,,,,302.4842529296875
32,2021-10-25,2021-11-26,290.0,20.3,19.95,2021-12-03,300.0,13.15,12.949999999999998,301.47650146484375
33,2021-10-25,2021-11-26,300.0,12.4,12.15,2021-12-03,305.0,9.950000000000001,9.750000000000002,301.47650146484375
34,2021-10-25,2021-11-26,305.0,9.1,8.9,2021-12-03,310.0,7.25,7.05,301.47650146484375
35,2021-10-25,2021-11-26,310.0,6.400000000000001,6.249999999999999,2021-12-03,315.0,5.05,4.85,301.47650146484375
36,2021-10-25,2021-11-26,315.0,4.25,4.05,2021-12-03,320.0,3.4,3.25,301.47650146484375
37,2021-10-25,2021-11-26,320.0,2.69,2.57,2021-12-03,324.99999999999994,2.22,2.11,301.47650146484375
38,2021-10-25,2021-11-26,325.00000000000006,1.67,1.58,2021-12-03,330.0,1.4400000000000002,1.3399999999999999,301.47650146484375
39,2021-10-25,2021-11-26,330.0,1.03,0.95,2021-12-03,334.99999999999994,0.93,0.85,301.47650146484375
40,2021-10-25,2021-11-26,335.0,0.64,0.57,2021-12-03,360.0,0.16000000000000003,0.13,301.47650146484375
41,2021-10-25,2021-11-26,340.0,0.42,0.36,,,,,301.47650146484375
42,2021-10-25,2021-11-26,350.0,0.21,0.16,,,,,301.47650146484375
43,2021-10-26,2021-11-26,250.0,62.24999999999999,58.25,2021-12-03,275.0,37.9,34.0,303.4136657714844
44,2021-10-26,2021-11-26,290.0,23.700000000000003,20.1,2021-12-03,290.0,24.0,20.25,303.4136657714844
45,2021-10-26,2021-11-26,295.0,19.0,15.65,2021-12-03,300.0,16.2,13.25,303.4136657714844
46,2021-10-26,2021-11-26,300.0,14.890666870023399,12.540666870023399,2021-12-03,305.0,12.601850490172023,10.151850490172025,303.4136657714844
47,2021-10-26,2021-11-26,305.0,10.9,9.749999999999998,2021-12-03,310.0,9.164135209566695,8.064135209566693,303.4136657714844
48,2021-10-26,2021-11-26,310.0,8.41682766712711,7.766827667127111,2021-12-03,315.0,5.75,5.3,303.4136657714844
49,2021-10-26,2021-11-26,315.0,4.95,4.65,2021-12-03,320.0,5.058052681549795,3.1580526815497953,303.4136657714844
50,2021-10-26,2021-11-26,320.0,3.2,2.81,2021-12-03,325.00000000000006,4.3,1.4,303.4136657714844
51,2021-10-26,2021-11-26,325.0,2.0,1.7,2021-12-03,329.99999999999994,2.35,0.09,303.4136657714844
52,2021-10-26,2021-11-26,330.0,1.25,1.11,2021-12-03,335.0,1.1517319324532274,0.6517319324532272,303.4136657714844
53,2021-10-26,2021-11-26,335.0,1.0079811629509583,0.5179811629509583,2021-12-03,340.0,0.7597713159257403,0.019771315925740288,303.4136657714844
54,2021-10-26,2021-11-26,339.99999999999994,0.72,0.12,2021-12-03,345.0,0.9702098081146399,-0.18979019188536003,303.4136657714844
55,2021-10-26,2021-11-26,345.0,0.3,0.25,2021-12-03,350.00000000000006,0.6207681097492063,0.16076810974920627,303.4136657714844
56,2021-10-26,2021-11-26,350.0,0.5547074930569356,-0.0252925069430644,2021-12-03,365.0,0.8397506984952546,-0.06024930150474538,303.4136657714844
57,2021-10-26,2021-11-26,360.0,0.45965073772731885,0.029650737727318875,2021-12-03,375.0,0.78,1.7262064357633458e-18,303.4136657714844
58,2021-10-26,2021-11-26,365.0,0.39,0.1,,,,,303.4136657714844
59,2021-10-27,2021-11-26,250.00000000000003,74.95,72.65,2021-12-03,280.0,45.88961403072504,43.239614030725036,316.1917419433594
60,2021-10-27,2021-11-26,280.0,44.89631915036359,42.89631915036359,2021-12-03,285.0,41.04999999999999,37.95,316.1917419433594
61,2021-10-27,2021-11-26,290.0,35.203788903540215,33.803788903540216,2021-12-03,290.0,36.15023063459845,33.45023063459845,316.1917419433594
62,2021-10-27,2021-11-26,300.0,25.762350581690395,24.462350581690398,2021-12-03,300.0,26.75,23.7,316.1917419433594
63,2021-10-27,2021-11-26,305.0,21.25,19.65,2021-12-03,305.0,21.930813638484498,20.280813638484496,316.1917419433594
64,2021-10-27,2021-11-26,310.0,16.8,15.35,2021-12-03,310.0,17.37927014849036,15.729270148490356,316.1917419433594
65,2021-10-27,2021-11-26,315.0,12.482598700466472,11.082598700466471,2021-12-03,315.0,12.9,12.35,316.1917419433594
66,2021-10-27,2021-11-26,320.0,9.3,8.3,2021-12-03,320.0,10.124209087415155,9.074209087415156,316.1917419433594
67,2021-10-27,2021-11-26,325.0,6.199999999999999,5.5,2021-12-03,325.0,7.049999999999999,5.85,316.1917419433594
68,2021-10-27,2021-11-26,330.0,3.8500000000000005,3.55,2021-12-03,330.0,4.7,3.75,316.1917419433594
69,2021-10-27,2021-11-26,335.0,2.37,2.07,2021-12-03,335.0,3.34752607001194,2.64752607001194,316.1917419433594
70,2021-10-27,2021-11-26,340.0,1.53,1.35,2021-12-03,340.0,2.18,1.53,316.1917419433594
71,2021-10-27,2021-11-26,344.99999999999994,1.04,0.73,2021-12-03,345.0,1.37,0.8899999999999999,316.1917419433594
72,2021-10-27,2021-11-26,350.0,0.77,0.51,2021-12-03,350.0,1.1713631691544542,0.6113631691544542,316.1917419433594
73,2021-10-27,2021-11-26,355.0,0.62,0.28,2021-12-03,355.0,0.93,0.22,316.1917419433594
74,2021-10-27,2021-11-26,360.0,0.45,0.27,2021-12-03,360.0,0.7899999999999999,0.04,316.1917419433594
75,2021-10-27,2021-11-26,365.0,0.4153120964171672,0.17531209641716722,2021-12-03,364.99999999999994,0.6,0.02,316.1917419433594
76,2021-10-27,2021-11-26,370.0,0.41000000000000003,0.03,2021-12-03,370.0,0.5822895884574365,-0.037710411542563514,316.1917419433594
77,2021-10-27,2021-11-26,375.0,0.37,0.05,2021-12-03,375.0,0.45999999999999996,0.01,316.1917419433594
78,2021-10-27,2021-11-26,385.0,0.3,0.1,,,,,316.1917419433594
79,2021-10-28,2021-11-26,300.0,25.65,25.149999999999995,2021-12-03,300.0,26.05,25.600000000000005,317.3462219238281
80,2021-10-28,2021-11-26,305.0,20.40714445412898,19.957144454128983,2021-12-03,305.0,21.6,21.15,317.3462219238281
81,2021-10-28,2021-11-26,310.0,17.223272526149216,16.823272526149218,2021-12-03,310.0,17.3,16.95,317.3462219238281
82,2021-10-28,2021-11-26,315.0,12.5,12.249999999999998,2021-12-03,315.0,13.1220607881778,12.7720607881778,317.3462219238281
83,2021-10-28,2021-11-26,320.0,9.0,8.75,2021-12-03,320.0,10.0,9.7,317.3462219238281
84,2021-10-28,2021-11-26,325.0,6.1,5.85,2021-12-03,325.0,7.1,6.85,317.3462219238281
85,2021-10-28,2021-11-26,330.0,3.9,3.7,2021-12-03,330.0,4.85,4.6,317.3462219238281
86,2021-10-28,2021-11-26,335.0,2.37,2.25,2021-12-03,335.0,3.2,3.0,317.3462219238281
87,2021-10-28,2021-11-26,340.0,1.46,1.3600000000000003,2021-12-03,340.0,2.06,1.95,317.3462219238281
88,2021-10-28,2021-11-26,345.0,0.93,0.85,2021-12-03,345.0,1.36,1.26,317.3462219238281
89,2021-10-28,2021-11-26,350.0,0.63,0.55,2021-12-03,350.0,0.93,0.8500000000000001,317.3462219238281
90,2021-10-28,2021-11-26,354.99999999999994,0.46,0.39,2021-12-03,355.0,0.6599999999999999,0.6,317.3462219238281
91,2021-10-28,2021-11-26,360.0,0.35,0.3,2021-12-03,360.0,0.52,0.44,317.3462219238281
92,2021-10-28,2021-11-26,365.0,0.28,0.23,2021-12-03,365.00000000000006,0.41,0.34,317.3462219238281
93,2021-10-28,2021-11-26,375.00000000000006,0.20999999999999996,0.17999999999999997,2021-12-03,395.0,0.17,0.11000000000000001,317.3462219238281
94,2021-10-28,2021-11-26,380.0,0.18,0.13,2021-12-03,455.0,0.08,0.02,317.3462219238281
95,2021-10-28,2021-11-26,385.0,0.16,0.11,,,,,317.3462219238281
96,2021-10-28,2021-11-26,425.0,0.08,0.03,,,,,317.3462219238281
97,2021-10-28,2021-11-26,430.0,0.07,0.030000000000000002,,,,,317.3462219238281
98,2021-10-28,2021-11-26,454.99999999999994,0.05,0.009999999999999998,,,,,317.3462219238281
99,2021-10-29,2021-11-26,285.0,47.75,45.900000000000006,2021-12-03,225.0,107.42255096056549,105.62255096056549,324.4591979980469
100,2021-10-29,2021-11-26,295.0,37.638132330497726,36.388132330497726,2021-12-03,300.0,33.0,31.7,324.4591979980469
101,2021-10-29,2021-11-26,300.0,32.94140347416508,31.44140347416508,2021-12-03,305.0,28.247551962625955,27.197551962625955,324.4591979980469
102,2021-10-29,2021-11-26,305.0,27.949510170301348,26.149510170301348,2021-12-03,310.0,24.05,22.4,324.4591979980469
103,2021-10-29,2021-11-26,310.0,23.36766579050069,22.21766579050069,2021-12-03,315.0,19.52762610146492,17.97762610146492,324.4591979980469
104,2021-10-29,2021-11-26,315.0,18.32375418591341,16.723754185913407,2021-12-03,320.0,15.660372740016067,14.760372740016068,324.4591979980469
105,2021-10-29,2021-11-26,320.0,15.461848171709157,13.911848171709156,2021-12-03,325.0,11.6,11.0,324.4591979980469
106,2021-10-29,2021-11-26,325.0,11.05,9.75,2021-12-03,330.0,8.45,8.0,324.4591979980469
107,2021-10-29,2021-11-26,330.0,7.65,7.05,2021-12-03,335.0,6.2,5.35,324.4591979980469
108,2021-10-29,2021-11-26,335.0,5.0,4.65,2021-12-03,340.0,3.643401309065956,3.2434013090659555,324.4591979980469
109,2021-10-29,2021-11-26,340.0,3.35,3.0,2021-12-03,345.0,2.827853941367866,2.3478539413678665,324.4591979980469
110,2021-10-29,2021-11-26,345.0,2.22,1.8500000000000003,2021-12-03,349.99999999999994,1.9399999999999997,1.5,324.4591979980469
111,2021-10-29,2021-11-26,350.0,1.5,1.12,2021-12-03,355.0,1.36,1.0,324.4591979980469
112,2021-10-29,2021-11-26,355.0,1.0092190010544828,0.7492190010544828,2021-12-03,360.0,0.9599999999999999,0.68,324.4591979980469
113,2021-10-29,2021-11-26,360.0,0.7499999999999999,0.4,2021-12-03,364.99999999999994,0.65,0.5,324.4591979980469
114,2021-10-29,2021-11-26,365.0,0.48,0.36,2021-12-03,375.0,0.5033647144373766,0.2833647144373766,324.4591979980469
115,2021-10-29,2021-11-26,369.99999999999994,0.47066353645447495,0.22066353645447492,2021-12-03,380.0,0.46,0.15,324.4591979980469
116,2021-10-29,2021-11-26,375.0,0.44000000000000006,0.11000000000000001,2021-12-03,395.0,0.34,0.05,324.4591979980469
117,2021-10-29,2021-11-26,380.0,0.36999999999999994,0.08,2021-12-03,400.0,0.20381275329374265,0.15381275329374267,324.4591979980469
118,2021-10-29,2021-11-26,385.0,0.3499999999999999,0.06,2021-12-03,435.0,0.18,0.01,324.4591979980469
119,2021-11-01,2021-11-26,310.0,20.95,19.85,2021-12-03,290.0,40.48352578626204,38.83352578626204,322.2578430175781
120,2021-11-01,2021-11-26,315.0,16.58560457077002,15.235604570770017,2021-12-03,300.0,31.200000000000003,29.5,322.2578430175781
121,2021-11-01,2021-11-26,320.0,12.35,12.05,2021-12-03,310.0,21.3,20.35,322.2578430175781
122,2021-11-01,2021-11-26,325.0,8.85,8.55,2021-12-03,315.0,16.72463354992663,15.32463354992663,322.2578430175781
123,2021-11-01,2021-11-26,330.0,5.95,5.75,2021-12-03,320.0,13.250000000000002,12.95,322.2578430175781
124,2021-11-01,2021-11-26,335.0,3.7999999999999994,3.6,2021-12-03,325.0,9.7,9.6,322.2578430175781
125,2021-11-01,2021-11-26,340.0,2.32,2.26,2021-12-03,330.0,6.95,6.799999999999999,322.2578430175781
126,2021-11-01,2021-11-26,345.0,1.44,1.34,2021-12-03,335.0,4.739828035930316,4.589828035930316,322.2578430175781
127,2021-11-01,2021-11-26,350.00000000000006,0.9000000000000001,0.88,2021-12-03,340.0,3.1500000000000004,3.0,322.2578430175781
128,2021-11-01,2021-11-26,355.0,0.6287046563674277,0.5387046563674278,2021-12-03,345.0,2.05,1.97,322.2578430175781
129,2021-11-01,2021-11-26,360.0,0.46,0.36999999999999994,2021-12-03,350.0,1.36,1.28,322.2578430175781
130,2021-11-01,2021-11-26,365.00000000000006,0.34,0.3,2021-12-03,355.0,0.95,0.86,322.2578430175781
131,2021-11-01,2021-11-26,375.0,0.23,0.22,2021-12-03,360.0,0.6799999999999999,0.61,322.2578430175781
132,2021-11-01,2021-11-26,380.0,0.2,0.18,2021-12-03,365.0,0.53,0.45,322.2578430175781
133,2021-11-01,2021-11-26,395.00000000000006,0.13,0.11,2021-12-03,370.00000000000006,0.42,0.34,322.2578430175781
134,2021-11-01,2021-11-26,400.0,0.12,0.1,2021-12-03,375.0,0.33,0.26,322.2578430175781
135,2021-11-01,2021-11-26,405.00000000000006,0.1,0.09,2021-12-03,380.0,0.29,0.21,322.2578430175781
136,2021-11-01,2021-11-26,420.0,0.11177000068844856,0.011770000688448568,2021-12-03,385.0,0.25,0.16999999999999998,322.2578430175781
137,2021-11-01,2021-11-26,425.0,0.07,0.04,2021-12-03,394.99999999999994,0.2,0.12,322.2578430175781
138,2021-11-01,2021-11-26,435.0,0.05999999999999999,0.029999999999999995,,,,,322.2578430175781
139,2021-11-02,2021-11-26,270.0,64.02963015255165,62.679630152551645,2021-12-03,270.0,63.67818437642447,62.27818437642448,325.9366760253906
140,2021-11-02,2021-11-26,280.0,53.99999999999999,52.85,2021-12-03,275.0,59.38153516604744,57.881535166047435,325.9366760253906
141,2021-11-02,2021-11-26,320.0,15.5,14.65,2021-12-03,280.0,53.540048775001566,52.14004877500156,325.9366760253906
142,2021-11-02,2021-11-26,325.0,11.3,11.05,2021-12-03,295.0,39.70799483578614,38.10799483578614,325.9366760253906
143,2021-11-02,2021-11-26,330.0,7.79062887714133,7.64062887714133,2021-12-03,300.0,34.8,33.2,325.9366760253906
144,2021-11-02,2021-11-26,335.0,5.15,5.0,2021-12-03,310.0,24.7,23.8,325.9366760253906
145,2021-11-02,2021-11-26,340.0,3.2,3.0,2021-12-03,315.0,19.605964727205528,18.605964727205528,325.9366760253906
146,2021-11-02,2021-11-26,345.00000000000006,1.91,1.7699999999999998,2021-12-03,320.0,15.949999999999998,15.2,325.9366760253906
147,2021-11-02,2021-11-26,350.0,1.17,1.04,2021-12-03,325.0,11.710152705370886,11.160152705370885,325.9366760253906
148,2021-11-02,2021-11-26,355.0,0.7521293700517168,0.6421293700517169,2021-12-03,330.0,8.85,8.5,325.9366760253906
149,2021-11-02,2021-11-26,360.0,0.53,0.43,2021-12-03,335.0,6.2,5.8,325.9366760253906
150,2021-11-02,2021-11-26,364.99999999999994,0.4099999999999999,0.33,2021-12-03,340.0,4.05,3.8,325.9366760253906
151,2021-11-02,2021-11-26,370.0,0.32,0.22,2021-12-03,345.0,2.62,2.42,325.9366760253906
152,2021-11-02,2021-11-26,375.0,0.27,0.17,2021-12-03,350.0,1.69,1.44,325.9366760253906
153,2021-11-02,2021-11-26,384.99999999999994,0.16,0.11,2021-12-03,355.0,1.12,0.96,325.9366760253906
154,2021-11-02,2021-11-26,395.0,0.14657704015704362,0.06657704015704363,2021-12-03,360.00000000000006,0.79,0.65,325.9366760253906
155,2021-11-02,2021-11-26,405.0,0.11999999999999998,0.05,2021-12-03,380.00000000000006,0.36,0.24999999999999997,325.9366760253906
156,2021-11-02,2021-11-26,415.0,0.0852549062058859,0.04525490620588589,2021-12-03,385.0,0.2950484168784484,0.16504841687844837,325.9366760253906
157,2021-11-02,2021-11-26,420.0,0.11022000562797235,0.02022000562797234,2021-12-03,390.0,0.28,0.18,325.9366760253906
158,2021-11-02,2021-11-26,425.00000000000006,0.12,0.01,,,,,325.9366760253906
159,2021-11-03,2021-11-26,280.0,55.14999999999999,53.4,2021-12-03,300.0,35.5,34.05,326.7878723144531
160,2021-11-03,2021-11-26,290.0,44.94374198459902,43.09374198459902,2021-12-03,310.0,26.05034906022303,24.50034906022303,326.7878723144531
161,2021-11-03,2021-11-26,300.0,35.52327343497141,33.82327343497141,2021-12-03,315.0,20.083987066549547,18.833987066549547,326.7878723144531
162,2021-11-03,2021-11-26,305.0,30.449999999999996,29.15,2021-12-03,320.0,17.05,15.7,326.7878723144531
163,2021-11-03,2021-11-26,310.0,25.919106809495467,24.71910680949547,2021-12-03,325.0,12.75,12.25,326.7878723144531
164,2021-11-03,2021-11-26,315.0,20.473219259312312,19.423219259312308,2021-12-03,330.0,9.2,8.9,326.7878723144531
165,2021-11-03,2021-11-26,320.0,16.25,15.599999999999998,2021-12-03,335.0,6.35,6.05,326.7878723144531
166,2021-11-03,2021-11-26,325.0,12.272052777518926,12.022052777518928,2021-12-03,340.0,4.15,3.85,326.7878723144531
