,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2022-12-22,2023-01-06,150.0,3.6,3.35,2023-02-03,160.0,1.3,0.93,147.49061584472656
1,2022-12-22,2023-01-06,152.5,2.01,1.83,2023-02-03,180.0,0.41,0.0,147.49061584472656
2,2022-12-22,2023-01-06,155.0,0.96,0.8,,,,,147.49061584472656
3,2022-12-22,2023-01-06,157.5,0.42999999999999994,0.24,,,,,147.49061584472656
4,2022-12-27,2023-01-06,152.5,2.57,2.4799999999999995,2023-02-03,162.49999999999997,1.0,0.72,149.1962890625
5,2022-12-27,2023-01-06,154.99999999999997,1.14,1.07,,,,,149.1962890625
6,2022-12-27,2023-01-06,157.5,0.42,0.3,,,,,149.1962890625
7,2022-12-27,2023-01-06,160.00000000000003,0.14,0.07,,,,,149.1962890625
8,2022-12-28,2023-01-06,137.0,15.350000000000001,15.0,2023-02-03,157.5,1.71,1.54,147.26773071289062
9,2022-12-28,2023-01-06,152.5,1.42,1.34,,,,,147.26773071289062
10,2022-12-28,2023-01-06,155.0,0.54,0.45999999999999996,,,,,147.26773071289062
11,2022-12-28,2023-01-06,157.5,0.17,0.10999999999999999,,,,,147.26773071289062
12,2022-12-28,2023-01-06,160.0,0.07,0.01,,,,,147.26773071289062
13,2022-12-29,2023-01-06,150.0,3.45,3.25,2023-02-03,150.0,5.45,5.2,147.87828063964844
14,2022-12-29,2023-01-06,152.5,1.63,1.5699999999999998,2023-02-03,152.50000000000003,3.9,3.7,147.87828063964844
15,2022-12-29,2023-01-06,155.0,0.56,0.51,2023-02-03,155.0,2.7,2.4799999999999995,147.87828063964844
16,2022-12-29,2023-01-06,157.5,0.15,0.11,2023-02-03,157.5,1.78,1.61,147.87828063964844
17,2022-12-30,2023-01-06,145.0,6.8,6.6,2023-02-03,152.5,3.3,3.1,146.8800811767578
18,2022-12-30,2023-01-06,150.0,2.3999999999999995,2.32,2023-02-03,155.0,2.25,2.01,146.8800811767578
19,2022-12-30,2023-01-06,152.49999999999997,0.95,0.89,,,,,146.8800811767578
20,2022-12-30,2023-01-06,155.0,0.27,0.2,,,,,146.8800811767578
21,2022-12-30,2023-01-06,157.49999999999997,0.09,0.02,,,,,146.8800811767578
22,2022-12-30,2023-01-06,160.0,0.020000000000000004,0.0,,,,,146.8800811767578
