,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2020-05-21,2020-06-12,800.0,66.35,65.1,2020-07-02,745.0,124.8,115.85,827.599983215332
1,2020-05-21,2020-06-12,805.0,63.45,62.35,2020-07-02,795.0,94.3890599579401,86.0390599579401,827.599983215332
2,2020-05-21,2020-06-12,810.0,60.67989242968855,59.57989242968854,2020-07-02,800.0,91.85979593143117,83.50979593143117,827.599983215332
3,2020-05-21,2020-06-12,815.0,58.15,57.04999999999999,2020-07-02,805.0,88.65,80.4,827.599983215332
4,2020-05-21,2020-06-12,820.0,55.49075891877581,54.3907589187758,2020-07-02,810.0,85.5,77.8,827.599983215332
5,2020-05-21,2020-06-12,825.0,53.0,52.15,2020-07-02,815.0,83.0,75.2,827.599983215332
6,2020-05-21,2020-06-12,829.9999999999999,50.85,49.85,2020-07-02,850.0,67.95,59.4,827.599983215332
7,2020-05-21,2020-06-12,850.0,42.4,41.4,2020-07-02,885.0,54.8,46.4,827.599983215332
8,2020-05-21,2020-06-12,860.0000000000001,38.55,37.65,,,,,827.599983215332
9,2020-05-21,2020-06-12,880.0,32.1,31.15,,,,,827.599983215332
10,2020-05-21,2020-06-12,885.0000000000001,30.7,29.75,,,,,827.599983215332
11,2020-05-21,2020-06-12,899.9999999999999,26.799999999999997,25.85,,,,,827.599983215332
12,2020-05-21,2020-06-12,950.0,17.4,16.6,,,,,827.599983215332
13,2020-05-21,2020-06-12,1000.0,11.75,11.2,,,,,827.599983215332
14,2020-05-21,2020-06-12,1010.0,11.05,10.45,,,,,827.599983215332
15,2020-05-21,2020-06-12,1100.0,6.4,5.8,,,,,827.599983215332
16,2020-05-21,2020-06-12,1200.0,3.95,3.45,,,,,827.599983215332
17,2020-05-21,2020-06-12,1210.0,3.8,3.2499999999999996,,,,,827.599983215332
18,2020-05-21,2020-06-12,1410.0,1.7399999999999998,1.35,,,,,827.599983215332
19,2020-05-21,2020-06-12,1500.0,1.32,0.75,,,,,827.599983215332
20,2020-05-22,2020-06-12,800.0,53.85,53.15,2020-07-02,820.0,68.3,64.2,816.8800163269043
21,2020-05-22,2020-06-12,820.0,43.6,43.0,2020-07-02,824.9999999999999,66.33199553000702,61.28199553000703,816.8800163269043
22,2020-05-22,2020-06-12,825.0,41.32649609583756,40.676496095837564,2020-07-02,830.0000000000001,63.7,59.65,816.8800163269043
23,2020-05-22,2020-06-12,830.0000000000001,39.1,38.5,2020-07-02,850.0,56.05,51.0,816.8800163269043
24,2020-05-22,2020-06-12,835.0,37.0,36.45,2020-07-02,885.0,43.1,38.6,816.8800163269043
25,2020-05-22,2020-06-12,840.0,35.05,34.45,,,,,816.8800163269043
26,2020-05-22,2020-06-12,850.0,31.3,30.9,,,,,816.8800163269043
27,2020-05-22,2020-06-12,859.9999999999999,27.95,27.45,,,,,816.8800163269043
28,2020-05-22,2020-06-12,880.0,22.3,21.75,,,,,816.8800163269043
29,2020-05-22,2020-06-12,895.0000000000001,18.8,18.3,,,,,816.8800163269043
30,2020-05-22,2020-06-12,899.9999999999999,17.75,17.5,,,,,816.8800163269043
31,2020-05-22,2020-06-12,949.9999999999999,10.35,9.9,,,,,816.8800163269043
32,2020-05-22,2020-06-12,990.0000000000001,7.049999999999999,6.599999999999999,,,,,816.8800163269043
33,2020-05-22,2020-06-12,1000.0,6.450000000000001,6.1,,,,,816.8800163269043
34,2020-05-22,2020-06-12,1050.0,4.3,3.9,,,,,816.8800163269043
35,2020-05-22,2020-06-12,1100.0,3.0,2.67,,,,,816.8800163269043
36,2020-05-22,2020-06-12,1110.0,2.84,2.48,,,,,816.8800163269043
37,2020-05-22,2020-06-12,1200.0,1.63,1.37,,,,,816.8800163269043
38,2020-05-22,2020-06-12,1210.0,1.5401105998050424,1.3701105998050425,,,,,816.8800163269043
39,2020-05-22,2020-06-12,1490.0,0.66,0.3,,,,,816.8800163269043
40,2020-05-26,2020-06-12,800.0,51.7,51.0,2020-07-02,745.0,110.65,102.25,818.8699722290039
41,2020-05-26,2020-06-12,815.0,43.85,43.4,2020-07-02,800.0,76.7,71.95,818.8699722290039
42,2020-05-26,2020-06-12,820.0,41.5,41.0,2020-07-02,825.0,63.900000000000006,60.3,818.8699722290039
43,2020-05-26,2020-06-12,825.0,39.2,38.65,2020-07-02,835.0,60.35,55.24999999999999,818.8699722290039
44,2020-05-26,2020-06-12,830.0,37.04644737132334,36.59644737132334,2020-07-02,850.0000000000001,54.183657926737894,49.03365792673789,818.8699722290039
45,2020-05-26,2020-06-12,835.0,35.0,34.55,2020-07-02,860.0000000000001,50.4,45.4,818.8699722290039
46,2020-05-26,2020-06-12,840.0,33.1,32.65,2020-07-02,885.0,41.65,37.8,818.8699722290039
47,2020-05-26,2020-06-12,850.0,29.500000000000004,29.0,,,,,818.8699722290039
48,2020-05-26,2020-06-12,880.0,20.9,20.3,,,,,818.8699722290039
49,2020-05-26,2020-06-12,899.9999999999999,16.6,16.15,,,,,818.8699722290039
50,2020-05-26,2020-06-12,919.9999999999999,13.3,12.799999999999999,,,,,818.8699722290039
51,2020-05-26,2020-06-12,930.0,11.9,11.45,,,,,818.8699722290039
52,2020-05-26,2020-06-12,940.0000000000001,10.65,10.35,,,,,818.8699722290039
53,2020-05-26,2020-06-12,950.0000000000001,9.6,9.25,,,,,818.8699722290039
54,2020-05-26,2020-06-12,1000.0,5.85,5.6,,,,,818.8699722290039
55,2020-05-26,2020-06-12,1010.0,5.35,5.1,,,,,818.8699722290039
56,2020-05-26,2020-06-12,1100.0,2.74,2.36,,,,,818.8699722290039
57,2020-05-26,2020-06-12,1140.0,2.08,1.75,,,,,818.8699722290039
58,2020-05-26,2020-06-12,1200.0,1.43,1.14,,,,,818.8699722290039
59,2020-05-26,2020-06-12,1210.0,1.45,1.08,,,,,818.8699722290039
60,2020-05-27,2020-06-12,715.0,113.0,112.0,2020-07-02,790.0,81.65,77.25,820.2299880981445
61,2020-05-27,2020-06-12,725.0,104.5,103.4,2020-07-02,795.0,78.65,74.4,820.2299880981445
62,2020-05-27,2020-06-12,795.0,54.4,53.54999999999999,2020-07-02,800.0,76.05,71.75,820.2299880981445
63,2020-05-27,2020-06-12,800.0,51.44497873346194,50.94497873346194,2020-07-02,805.0,73.39788732547456,69.29788732547455,820.2299880981445
64,2020-05-27,2020-06-12,805.0,48.8,48.15,2020-07-02,810.0,70.95,66.65,820.2299880981445
65,2020-05-27,2020-06-12,810.0,46.2,45.45,2020-07-02,815.0,67.90937951546687,64.70937951546685,820.2299880981445
66,2020-05-27,2020-06-12,815.0,43.65,42.95,2020-07-02,820.0,66.22912673679319,61.87912673679319,820.2299880981445
67,2020-05-27,2020-06-12,819.9999999999999,41.25,40.7,2020-07-02,825.0,63.616901894219176,59.31690189421917,820.2299880981445
68,2020-05-27,2020-06-12,825.0000000000001,39.04480995184724,38.44480995184725,2020-07-02,830.0,61.6,57.49999999999999,820.2299880981445
69,2020-05-27,2020-06-12,830.0,36.85755563356625,36.25755563356625,2020-07-02,850.0,53.300000000000004,48.75,820.2299880981445
70,2020-05-27,2020-06-12,834.9999999999999,34.8,34.2,2020-07-02,860.0000000000001,49.319723864636686,44.81972386463668,820.2299880981445
71,2020-05-27,2020-06-12,849.9999999999999,29.200000000000003,28.450000000000003,2020-07-02,885.0,40.0,36.85,820.2299880981445
72,2020-05-27,2020-06-12,855.0000000000001,27.45,26.95,,,,,820.2299880981445
73,2020-05-27,2020-06-12,880.0,20.45,19.8,,,,,820.2299880981445
74,2020-05-27,2020-06-12,900.0000000000001,16.15,15.6,,,,,820.2299880981445
75,2020-05-27,2020-06-12,910.0000000000001,14.35,13.9,,,,,820.2299880981445
76,2020-05-27,2020-06-12,920.0,12.8,12.35,,,,,820.2299880981445
77,2020-05-27,2020-06-12,949.9999999999999,9.15,8.7,,,,,820.2299880981445
78,2020-05-27,2020-06-12,970.0,7.35,7.05,,,,,820.2299880981445
79,2020-05-27,2020-06-12,999.9999999999999,5.4,5.2,,,,,820.2299880981445
80,2020-05-28,2020-06-12,775.0,53.3,52.50000000000001,2020-07-02,600.0,216.8,206.8,805.8100318908691
81,2020-05-28,2020-06-12,800.0,38.9,38.35,2020-07-02,700.0,130.45,121.99999999999999,805.8100318908691
82,2020-05-28,2020-06-12,810.0,34.05,33.5,2020-07-02,790.0,67.95,65.45,805.8100318908691
83,2020-05-28,2020-06-12,815.0,31.75,31.300000000000004,2020-07-02,800.0,62.89999999999999,60.65,805.8100318908691
84,2020-05-28,2020-06-12,820.0,29.649999999999995,29.1,2020-07-02,810.0000000000001,58.1,55.599999999999994,805.8100318908691
85,2020-05-28,2020-06-12,824.9999999999999,27.644537683004064,27.194537683004064,2020-07-02,815.0,55.87586694882506,53.975866948825065,805.8100318908691
86,2020-05-28,2020-06-12,830.0000000000001,25.75,25.3,2020-07-02,819.9999999999999,53.53354632663472,51.43354632663473,805.8100318908691
87,2020-05-28,2020-06-12,839.9999999999999,22.35,21.9,2020-07-02,850.0,41.8,39.4,805.8100318908691
88,2020-05-28,2020-06-12,849.9999999999999,19.1,18.9,2020-07-02,885.0,31.0,28.7,805.8100318908691
89,2020-05-28,2020-06-12,860.0000000000001,16.7,16.25,2020-07-02,900.0000000000001,27.2,25.05,805.8100318908691
90,2020-05-28,2020-06-12,885.0,11.55,11.2,,,,,805.8100318908691
91,2020-05-28,2020-06-12,900.0,9.3,9.0,,,,,805.8100318908691
92,2020-05-28,2020-06-12,910.0,8.05,7.75,,,,,805.8100318908691
93,2020-05-28,2020-06-12,920.0,7.05,6.750000000000001,,,,,805.8100318908691
94,2020-05-28,2020-06-12,930.0000000000001,6.15,5.9,,,,,805.8100318908691
95,2020-05-28,2020-06-12,940.0,5.35,5.15,,,,,805.8100318908691
96,2020-05-28,2020-06-12,950.0,4.7,4.5,,,,,805.8100318908691
97,2020-05-28,2020-06-12,999.9999999999999,2.65,2.5,,,,,805.8100318908691
98,2020-05-28,2020-06-12,1020.0000000000001,2.16,1.96,,,,,805.8100318908691
99,2020-05-28,2020-06-12,1200.0,0.79,0.3,,,,,805.8100318908691
100,2020-05-29,2020-06-12,755.0,88.05,87.2,2020-07-02,790.0,86.85,81.05,835.0000190734863
101,2020-05-29,2020-06-12,795.0,58.449999999999996,57.24999999999999,2020-07-02,800.0,79.8,74.65,835.0000190734863
102,2020-05-29,2020-06-12,800.0,54.75,54.0,2020-07-02,805.0,76.95,71.8,835.0000190734863
103,2020-05-29,2020-06-12,805.0,51.75,50.85,2020-07-02,810.0,74.24823078927103,66.89823078927104,835.0000190734863
104,2020-05-29,2020-06-12,810.0,48.5,47.9,2020-07-02,815.0,73.53968513406815,65.48968513406815,835.0000190734863
105,2020-05-29,2020-06-12,815.0,45.65,45.0,2020-07-02,820.0,70.06756921521306,62.61756921521305,835.0000190734863
106,2020-05-29,2020-06-12,820.0,42.8,42.3,2020-07-02,825.0,67.7567158678107,60.8067158678107,835.0000190734863
107,2020-05-29,2020-06-12,825.0,40.15,39.65,2020-07-02,830.0,65.21800722860314,59.01800722860315,835.0000190734863
108,2020-05-29,2020-06-12,830.0,37.55,37.1,2020-07-02,845.0,56.89999999999999,51.95,835.0000190734863
109,2020-05-29,2020-06-12,840.0,32.9,32.4,2020-07-02,850.0,54.950473860416835,49.50047386041682,835.0000190734863
110,2020-05-29,2020-06-12,849.9999999999999,28.45,28.3,2020-07-02,860.0,50.85,44.55,835.0000190734863
111,2020-05-29,2020-06-12,860.0,24.95,24.45,2020-07-02,870.0,47.6353932351924,40.28539323519241,835.0000190734863
112,2020-05-29,2020-06-12,869.9999999999999,21.65,21.1,2020-07-02,885.0,41.743873374051105,36.09387337405111,835.0000190734863
113,2020-05-29,2020-06-12,880.0,18.8,18.15,2020-07-02,890.0000000000001,40.32939426699587,33.12939426699587,835.0000190734863
114,2020-05-29,2020-06-12,900.0,13.8,13.600000000000001,2020-07-02,900.0,35.0,31.7,835.0000190734863
115,2020-05-29,2020-06-12,910.0000000000001,12.1,11.7,,,,,835.0000190734863
116,2020-05-29,2020-06-12,919.9999999999999,10.5,10.15,,,,,835.0000190734863
117,2020-05-29,2020-06-12,930.0,9.2,8.8,,,,,835.0000190734863
118,2020-05-29,2020-06-12,950.0000000000001,6.950000000000001,6.6,,,,,835.0000190734863
119,2020-05-29,2020-06-12,1000.0000000000001,3.8,3.6500000000000004,,,,,835.0000190734863
120,2020-06-01,2020-06-12,850.0,68.4,67.65,2020-07-02,780.0,147.4,134.95,898.0999946594238
121,2020-06-01,2020-06-12,860.0,62.0,61.10000000000001,2020-07-02,795.0,135.83430192595767,123.73430192595768,898.0999946594238
122,2020-06-01,2020-06-12,870.0,56.150000000000006,55.2,2020-07-02,800.0,131.56121205665582,119.56121205665582,898.0999946594238
123,2020-06-01,2020-06-12,875.0,53.05,52.35,2020-07-02,810.0,125.19355177627885,113.39355177627885,898.0999946594238
124,2020-06-01,2020-06-12,880.0,50.3,49.6,2020-07-02,815.0,121.15335657470195,109.55335657470194,898.0999946594238
125,2020-06-01,2020-06-12,885.0,47.65,47.05,2020-07-02,820.0,114.81711837487275,108.26711837487275,898.0999946594238
126,2020-06-01,2020-06-12,890.0,45.1,44.5,2020-07-02,830.0,108.97845590062397,100.47845590062398,898.0999946594238
127,2020-06-01,2020-06-12,899.9999999999999,40.5,39.8,2020-07-02,835.0,106.07547869916644,97.07547869916644,898.0999946594238
128,2020-06-01,2020-06-12,910.0,36.0,35.6,2020-07-02,845.0,99.81844267438395,90.71844267438395,898.0999946594238
129,2020-06-01,2020-06-12,919.9999999999999,32.35,31.75,2020-07-02,850.0,97.94182178988737,88.99182178988737,898.0999946594238
130,2020-06-01,2020-06-12,930.0,28.8,28.3,2020-07-02,855.0,95.0,86.05,898.0999946594238
131,2020-06-01,2020-06-12,940.0000000000001,25.7,25.2,2020-07-02,860.0,91.36266614738867,82.06266614738865,898.0999946594238
132,2020-06-01,2020-06-12,949.9999999999999,22.9,22.5,2020-07-02,865.0,89.0,80.1,898.0999946594238
133,2020-06-01,2020-06-12,960.0,20.593351564445264,20.043351564445263,2020-07-02,870.0,86.0,77.05,898.0999946594238
134,2020-06-01,2020-06-12,979.9999999999999,16.4,15.95,2020-07-02,875.0,83.52817512614425,75.42817512614424,898.0999946594238
135,2020-06-01,2020-06-12,1000.0,13.1,12.8,2020-07-02,880.0,79.5099519032923,72.95995190329229,898.0999946594238
136,2020-06-01,2020-06-12,1050.0,7.8,7.6,2020-07-02,885.0,76.82969734743114,70.17969734743112,898.0999946594238
137,2020-06-01,2020-06-12,1100.0,4.95,4.8,2020-07-02,890.0,73.87231200152458,66.42231200152457,898.0999946594238
138,2020-06-01,2020-06-12,1200.0,2.25,2.11,2020-07-02,895.0,71.70032313538088,66.15032313538089,898.0999946594238
139,2020-06-01,2020-06-12,1500.0,0.53,0.33,2020-07-02,899.9999999999999,70.45,61.99999999999999,898.0999946594238
140,2020-06-02,2020-06-12,875.0,35.35,34.6,2020-07-02,700.0,191.3,189.4,881.5600204467773
141,2020-06-02,2020-06-12,880.0,33.0,32.3,2020-07-02,810.0,104.8,101.35,881.5600204467773
142,2020-06-02,2020-06-12,885.0,30.789250536744806,30.189250536744797,2020-07-02,825.0,94.65,90.4,881.5600204467773
143,2020-06-02,2020-06-12,890.0,28.8,28.1,2020-07-02,850.0,81.0,76.2,881.5600204467773
144,2020-06-02,2020-06-12,895.0,26.95,26.2,2020-07-02,875.0,67.3,63.1,881.5600204467773
145,2020-06-02,2020-06-12,900.0,25.1,24.55,2020-07-02,880.0,64.24239138130085,60.79239138130086,881.5600204467773
146,2020-06-02,2020-06-12,909.9999999999999,22.0,21.4,2020-07-02,884.9999999999999,62.599999999999994,58.7,881.5600204467773
147,2020-06-02,2020-06-12,920.0,19.3,18.7,2020-07-02,889.9999999999999,60.369480586108764,56.469480586108766,881.5600204467773
148,2020-06-02,2020-06-12,930.0000000000001,17.1,16.45,2020-07-02,895.0,58.08559229604614,54.235592296046136,881.5600204467773
149,2020-06-02,2020-06-12,940.0,15.100000000000001,14.55,2020-07-02,900.0,56.05,52.2,881.5600204467773
150,2020-06-02,2020-06-12,950.0,13.45,13.0,,,,,881.5600204467773
151,2020-06-02,2020-06-12,960.0,11.95,11.55,,,,,881.5600204467773
152,2020-06-02,2020-06-12,969.9999999999999,10.75,10.3,,,,,881.5600204467773
153,2020-06-02,2020-06-12,980.0000000000001,9.65,9.25,,,,,881.5600204467773
154,2020-06-02,2020-06-12,990.0,8.75,8.35,,,,,881.5600204467773
155,2020-06-02,2020-06-12,1000.0,7.85,7.55,,,,,881.5600204467773
156,2020-06-02,2020-06-12,1020.0000000000001,6.5,6.2,,,,,881.5600204467773
157,2020-06-02,2020-06-12,1050.0,4.9,4.7,,,,,881.5600204467773
158,2020-06-02,2020-06-12,1100.0,3.15,3.0,,,,,881.5600204467773
159,2020-06-02,2020-06-12,1200.0,1.39,1.3,,,,,881.5600204467773
160,2020-06-03,2020-06-12,870.0,33.95,33.4,2020-07-02,600.0,288.1,283.0,882.9599761962891
161,2020-06-03,2020-06-12,880.0,28.8,28.3,2020-07-02,700.0,191.7,188.05,882.9599761962891
162,2020-06-03,2020-06-12,885.0,26.55,26.1,2020-07-02,800.0,108.95,106.15,882.9599761962891
