,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2021-10-21,2021-11-26,230.00000000000003,6.15,5.85,2021-12-03,230.0,6.85,6.45,225.8914794921875
1,2021-10-21,2021-11-26,235.0,3.9,3.65,2021-12-03,235.0,4.45,4.1,225.8914794921875
2,2021-10-21,2021-11-26,240.0,2.34,2.01,2021-12-03,240.0,2.88,2.41,225.8914794921875
3,2021-10-21,2021-11-26,245.0,1.57,1.12,2021-12-03,265.0,2.28,0.0,225.8914794921875
4,2021-10-21,2021-11-26,250.0,0.8,0.61,,,,,225.8914794921875
5,2021-10-22,2021-11-26,230.0,6.65,6.2,2021-12-03,230.0,7.4,7.0,226.86279296875
6,2021-10-22,2021-11-26,235.00000000000003,4.3,4.0,2021-12-03,235.0,4.8,4.6,226.86279296875
7,2021-10-22,2021-11-26,239.99999999999997,2.83,2.25,2021-12-03,240.00000000000003,3.15,2.73,226.86279296875
8,2021-10-22,2021-11-26,250.0,1.56,0.64,2021-12-03,244.99999999999997,2.0,1.7,226.86279296875
9,2021-10-22,2021-11-26,254.99999999999997,0.56,0.35,2021-12-03,255.0,1.03,0.55,226.86279296875
10,2021-10-25,2021-11-26,225.0,11.95,11.3,2021-12-03,230.0,9.1,8.25,229.4627685546875
11,2021-10-25,2021-11-26,230.0,8.4,7.8,2021-12-03,235.0,6.15,5.8,229.4627685546875
12,2021-10-25,2021-11-26,235.00000000000003,5.5,5.25,2021-12-03,240.0,3.9499999999999997,3.6999999999999997,229.4627685546875
13,2021-10-25,2021-11-26,240.0,3.4,3.2,2021-12-03,245.00000000000003,2.73,2.26,229.4627685546875
14,2021-10-25,2021-11-26,245.00000000000003,2.25,1.82,2021-12-03,249.99999999999997,1.54,1.29,229.4627685546875
15,2021-10-25,2021-11-26,250.0,1.17,0.96,2021-12-03,265.0,0.9500000000000001,0.22,229.4627685546875
16,2021-10-25,2021-11-26,255.0,0.81,0.51,,,,,229.4627685546875
17,2021-10-26,2021-11-26,225.0,11.3,9.65,2021-12-03,230.0,9.25,7.1,227.4416351318359
18,2021-10-26,2021-11-26,230.0,7.4,6.8,2021-12-03,235.00000000000003,5.75,5.05,227.4416351318359
19,2021-10-26,2021-11-26,235.0,5.2,4.5,2021-12-03,240.00000000000003,5.45,2.46,227.4416351318359
20,2021-10-26,2021-11-26,240.00000000000003,3.2,2.66,2021-12-03,250.00000000000003,1.54,1.2,227.4416351318359
21,2021-10-26,2021-11-26,245.0,1.9999999999999998,1.54,2021-12-03,265.0,0.51,0.15,227.4416351318359
22,2021-10-26,2021-11-26,249.99999999999997,1.38,0.8,2021-12-03,270.0,0.4,0.09,227.4416351318359
23,2021-10-26,2021-11-26,255.0,0.8,0.35,,,,,227.4416351318359
24,2021-10-26,2021-11-26,270.0,0.7257700454694179,0.4257700454694178,,,,,227.4416351318359
25,2021-10-26,2021-11-26,275.0,1.1408690374994825,0.01086903749948256,,,,,227.4416351318359
26,2021-10-27,2021-11-26,210.0,9.65,9.05,2021-12-03,210.0,10.3,9.4,211.70455932617188
27,2021-10-27,2021-11-26,215.0,6.45,5.95,2021-12-03,215.0,7.299999999999999,6.749999999999999,211.70455932617188
28,2021-10-27,2021-11-26,220.00000000000003,4.2,3.75,2021-12-03,220.0,5.05,4.55,211.70455932617188
29,2021-10-27,2021-11-26,225.0,2.65,2.3,2021-12-03,225.0,3.25,2.95,211.70455932617188
30,2021-10-27,2021-11-26,230.00000000000003,1.55,1.41,2021-12-03,230.00000000000003,2.1,1.85,211.70455932617188
31,2021-10-27,2021-11-26,235.0,1.14,0.9,2021-12-03,235.00000000000003,1.6999999999999997,1.07,211.70455932617188
32,2021-10-27,2021-11-26,240.0,0.68,0.54,2021-12-03,240.0,1.24,0.74,211.70455932617188
33,2021-10-27,2021-11-26,245.0,0.48,0.26,2021-12-03,245.0,0.63,0.5,211.70455932617188
34,2021-10-27,2021-11-26,250.0,0.45,0.15,2021-12-03,250.0,0.4145980346115029,0.3145980346115029,211.70455932617188
35,2021-10-28,2021-11-26,200.0,13.300000000000002,10.0,2021-12-03,200.0,12.75,12.25,205.87677001953125
36,2021-10-28,2021-11-26,205.0,8.59415107187478,8.09415107187478,2021-12-03,205.0,9.4,8.55,205.87677001953125
37,2021-10-28,2021-11-26,210.0,5.75,5.25,2021-12-03,209.99999999999997,6.5,5.5,205.87677001953125
38,2021-10-28,2021-11-26,215.0,3.65,3.3000000000000003,2021-12-03,215.0,4.35,3.9,205.87677001953125
39,2021-10-28,2021-11-26,219.99999999999997,2.23,1.97,2021-12-03,220.0,2.9,2.45,205.87677001953125
40,2021-10-28,2021-11-26,225.0,1.35,1.04,2021-12-03,224.99999999999997,1.75,1.46,205.87677001953125
41,2021-10-28,2021-11-26,230.0,0.86,0.66,2021-12-03,230.0,1.11,0.93,205.87677001953125
42,2021-10-28,2021-11-26,235.00000000000003,0.56,0.38,2021-12-03,235.0,0.7652114825301668,0.6452114825301668,205.87677001953125
43,2021-10-28,2021-11-26,240.0,0.44736426236603305,0.317364262366033,2021-12-03,240.0,0.6,0.29,205.87677001953125
44,2021-10-28,2021-11-26,245.0,0.38,0.22,2021-12-03,245.00000000000003,0.51,0.18,205.87677001953125
45,2021-10-28,2021-11-26,250.0,0.34,0.15,2021-12-03,255.0,0.51,0.030000000000000002,205.87677001953125
46,2021-10-29,2021-11-26,205.0,9.4,9.05,2021-12-03,205.0,10.05,9.55,207.7703399658203
47,2021-10-29,2021-11-26,210.0,6.2,5.85,2021-12-03,210.0,6.95,6.55,207.7703399658203
48,2021-10-29,2021-11-26,215.00000000000003,3.7999999999999994,3.4999999999999996,2021-12-03,214.99999999999997,4.4,4.15,207.7703399658203
49,2021-10-29,2021-11-26,220.0,2.12,1.93,2021-12-03,220.00000000000003,2.71,2.51,207.7703399658203
50,2021-10-29,2021-11-26,224.99999999999997,1.18,1.04,2021-12-03,225.0,1.62,1.48,207.7703399658203
51,2021-10-29,2021-11-26,230.0,0.72,0.56,2021-12-03,230.0,0.9699999999999999,0.9,207.7703399658203
52,2021-10-29,2021-11-26,235.0,0.45000000000000007,0.34,2021-12-03,235.0,0.67,0.52,207.7703399658203
53,2021-10-29,2021-11-26,240.0,0.31,0.27,2021-12-03,240.0,0.43000000000000005,0.35,207.7703399658203
54,2021-10-29,2021-11-26,245.0,0.25,0.23,2021-12-03,245.00000000000003,0.5,0.22,207.7703399658203
55,2021-11-01,2021-11-26,185.0,27.85,26.6,2021-12-03,200.0,14.250000000000002,13.65,208.4473114013672
56,2021-11-01,2021-11-26,200.0,13.65,13.2,2021-12-03,205.0,10.35,9.85,208.4473114013672
57,2021-11-01,2021-11-26,205.0,9.6,9.35,2021-12-03,210.0,6.95,6.65,208.4473114013672
58,2021-11-01,2021-11-26,210.0,6.25,6.0,2021-12-03,215.0,4.45,4.15,208.4473114013672
59,2021-11-01,2021-11-26,215.0,3.8000000000000003,3.55,2021-12-03,220.0,2.71,2.54,208.4473114013672
60,2021-11-01,2021-11-26,219.99999999999997,2.11,2.01,2021-12-03,225.00000000000003,1.61,1.49,208.4473114013672
61,2021-11-01,2021-11-26,224.99999999999997,1.18,1.09,2021-12-03,230.0,0.9900000000000001,0.85,208.4473114013672
62,2021-11-01,2021-11-26,230.0,0.68,0.58,2021-12-03,235.0,0.62,0.52,208.4473114013672
63,2021-11-01,2021-11-26,235.0,0.41999999999999993,0.36,2021-12-03,240.0,0.43,0.32,208.4473114013672
64,2021-11-01,2021-11-26,240.0,0.36,0.19,2021-12-03,245.00000000000003,0.33,0.22,208.4473114013672
65,2021-11-01,2021-11-26,245.0,0.24540529807961484,0.15540529807961484,2021-12-03,250.0,0.24,0.17,208.4473114013672
66,2021-11-01,2021-11-26,250.00000000000003,0.24999999999999997,0.15,,,,,208.4473114013672
67,2021-11-02,2021-11-26,200.0,11.2,10.75,2021-12-03,180.0,30.000000000000004,29.3,205.19000244140625
68,2021-11-02,2021-11-26,205.0,7.550000000000001,7.15,2021-12-03,200.0,11.9,11.2,205.19000244140625
