,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2022-12-22,2023-01-06,C,83.0,5.65,5.55,2023-02-03,86.0,6.000000000000001,5.700000000000001,87.76000213623047
1,2022-12-22,2023-01-06,C,87.0,2.81,2.7800000000000002,2023-02-03,87.0,5.45,5.05,87.76000213623047
2,2022-12-22,2023-01-06,C,88.0,2.27,2.23,2023-02-03,88.0,4.9,4.5,87.76000213623047
3,2022-12-22,2023-01-06,C,89.00000000000001,1.8,1.77,2023-02-03,89.0,4.4,3.9999999999999996,87.76000213623047
4,2022-12-22,2023-01-06,C,90.0,1.4,1.37,2023-02-03,90.0,3.95,3.55,87.76000213623047
5,2022-12-22,2023-01-06,C,91.00000000000001,1.07,1.04,2023-02-03,92.0,3.15,2.9000000000000004,87.76000213623047
6,2022-12-22,2023-01-06,C,92.0,0.8000000000000002,0.78,2023-02-03,94.0,2.47,2.04,87.76000213623047
7,2022-12-22,2023-01-06,C,95.0,0.33,0.31,2023-02-03,95.0,2.16,1.76,87.76000213623047
8,2022-12-22,2023-01-06,C,100.0,0.10000000000000002,0.09,2023-02-03,99.0,1.33,0.9,87.76000213623047
9,2022-12-22,2023-01-06,C,105.0,0.05000000000000001,0.04,2023-02-03,102.0,0.8600000000000001,0.5,87.76000213623047
10,2022-12-22,2023-01-06,P,82.0,5.5700000000000065,5.540000000000007,2023-02-03,78.0,9.624999999999996,9.224999999999998,87.76000213623047
11,2022-12-22,2023-01-06,P,83.0,0.7399999999999898,0.7199999999999898,2023-02-03,79.0,0.7099999999999995,0.25999999999999934,87.76000213623047
12,2022-12-22,2023-01-06,P,84.0,1.9800000000000035,1.9500000000000033,2023-02-03,80.0,2.853874296505611,2.473874296505611,87.76000213623047
13,2022-12-22,2023-01-06,P,85.0,4.225000000000008,4.195000000000008,2023-02-03,81.0,11.325,10.925,87.76000213623047
14,2022-12-22,2023-01-06,P,86.0,4.5450000000000195,4.50500000000002,2023-02-03,84.0,4.1182959926336595,3.718295992633659,87.76000213623047
15,2022-12-22,2023-01-06,P,87.0,0.9450000000000068,0.9150000000000068,2023-02-03,85.0,-2.5049999999999932,-2.884999999999993,87.76000213623047
16,2022-12-22,2023-01-06,P,88.0,6.459999999999996,6.359999999999997,2023-02-03,86.0,6.949999999999999,6.550000000000001,87.76000213623047
17,2022-12-22,2023-01-06,P,89.0,-2.0800000000000036,-2.100000000000003,2023-02-03,88.0,4.798272130057438,4.398272130057439,87.76000213623047
18,2022-12-22,2023-01-06,P,92.0,18.14499999999999,17.944999999999986,2023-02-03,89.0,0.22499999999999654,-0.15500000000000336,87.76000213623047
19,2022-12-22,2023-01-06,P,105.0,-5.799999999999988,-5.819999999999988,2023-02-03,90.0,-4.330000000000005,-4.690000000000005,87.76000213623047
20,2022-12-23,2023-01-06,C,87.0,3.55,3.4,2023-02-03,83.0,8.9,8.6,89.2300033569336
21,2022-12-23,2023-01-06,C,88.0,2.8599999999999994,2.79,2023-02-03,88.0,5.6,5.35,89.2300033569336
22,2022-12-23,2023-01-06,C,89.0,2.29,2.22,2023-02-03,89.0,5.05,4.75,89.2300033569336
23,2022-12-23,2023-01-06,C,89.99999999999999,1.78,1.73,2023-02-03,90.0,4.585761439478651,4.18576143947865,89.2300033569336
24,2022-12-23,2023-01-06,C,92.00000000000001,1.01,0.98,2023-02-03,91.00000000000001,4.15,3.7500000000000004,89.2300033569336
25,2022-12-23,2023-01-06,C,93.0,0.7500000000000001,0.7099999999999999,2023-02-03,92.0,3.55,3.45,89.2300033569336
26,2022-12-23,2023-01-06,C,94.0,0.53,0.51,2023-02-03,93.00000000000001,3.3001674744085396,2.8701674744085395,89.2300033569336
27,2022-12-23,2023-01-06,C,94.99999999999999,0.38999999999999996,0.37,2023-02-03,94.00000000000001,2.8799999999999994,2.52,89.2300033569336
28,2022-12-23,2023-01-06,C,96.0,0.28,0.26,2023-02-03,98.0,1.79,1.38,89.2300033569336
29,2022-12-23,2023-01-06,C,100.0,0.1,0.09,2023-02-03,100.0,1.39,1.07,89.2300033569336
30,2022-12-23,2023-01-06,P,83.0,7.429999999999991,7.369999999999992,2023-02-03,70.0,11.715,11.315000000000001,89.2300033569336
31,2022-12-23,2023-01-06,P,84.0,5.53,5.47,2023-02-03,78.0,5.344999999999984,5.034999999999983,89.2300033569336
32,2022-12-23,2023-01-06,P,85.0,6.7399999999999975,6.639999999999998,2023-02-03,79.0,8.375000000000005,8.115000000000004,89.2300033569336
33,2022-12-23,2023-01-06,P,86.0,1.930000000000001,1.8800000000000012,2023-02-03,81.0,-1.1799999999999993,-1.5399999999999996,89.2300033569336
34,2022-12-23,2023-01-06,P,87.0,0.23999999999999883,0.1999999999999989,2023-02-03,82.0,5.050000000000006,4.7800000000000065,89.2300033569336
35,2022-12-23,2023-01-06,P,88.0,-3.439999999999998,-3.4699999999999984,2023-02-03,85.0,12.975000000000016,12.525000000000013,89.2300033569336
