,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2019-11-22,2019-12-06,C,123.0,8.156620024239318,7.85662002423932,2020-01-03,132.0,2.27,2.22,115.18325805664062
1,2019-11-22,2019-12-06,C,128.0,3.55,3.45,2020-01-03,133.0,1.83,1.77,115.18325805664062
2,2019-11-22,2019-12-06,C,129.0,2.73,2.6900000000000004,2020-01-03,135.0,1.14,1.06,115.18325805664062
3,2019-11-22,2019-12-06,C,130.0,2.0215409995246296,1.9815409995246298,2020-01-03,137.0,0.72,0.58,115.18325805664062
4,2019-11-22,2019-12-06,C,131.0,1.44,1.42,2020-01-03,138.0,0.67,0.4,115.18325805664062
5,2019-11-22,2019-12-06,C,132.0,1.325905862927948,1.305905862927948,,,,,115.18325805664062
6,2019-11-22,2019-12-06,C,133.0,0.61,0.59,,,,,115.18325805664062
7,2019-11-22,2019-12-06,C,134.0,0.36444711380281225,0.3344471138028122,,,,,115.18325805664062
8,2019-11-22,2019-12-06,C,135.0,0.21,0.19,,,,,115.18325805664062
9,2019-11-22,2019-12-06,C,137.0,0.07,0.05,,,,,115.18325805664062
10,2019-11-22,2019-12-06,P,100.0,30.289392469622243,30.25939246962224,2020-01-03,122.0,10.446052635286412,10.246052635286413,115.18325805664062
11,2019-11-22,2019-12-06,P,125.0,0.8585176880228096,0.8385176880228096,2020-01-03,123.0,7.401016009091306,7.061016009091306,115.18325805664062
12,2019-11-22,2019-12-06,P,126.0,2.3162280221270297,2.29622802212703,2020-01-03,124.0,-1.74503375657751,-1.8450337565775101,115.18325805664062
13,2019-11-22,2019-12-06,P,127.0,5.029652868046468,4.999652868046469,2020-01-03,125.0,-1.288471994200275,-1.578471994200275,115.18325805664062
14,2019-11-22,2019-12-06,P,128.0,1.6942489095894848,1.6742489095894848,2020-01-03,126.0,1.6499999999999908,1.369999999999991,115.18325805664062
15,2019-11-22,2019-12-06,P,129.0,-27.47994867510786,-27.489948675107858,2020-01-03,129.0,3.81483609648082,3.68483609648082,115.18325805664062
16,2019-11-22,2019-12-06,P,130.0,0.2123546254488809,0.18235462544888098,2020-01-03,130.0,-2.7334619949908254,-2.8434619949908257,115.18325805664062
17,2019-11-22,2019-12-06,P,131.0,-3.4649999999999945,-3.484999999999994,2020-01-03,131.0,-4.024999999999994,-4.1749999999999945,115.18325805664062
18,2019-11-22,2019-12-06,P,132.0,6.463205483616761,5.713205483616761,,,,,115.18325805664062
19,2019-11-22,2019-12-06,P,136.0,1.2299999999999982,1.1799999999999984,,,,,115.18325805664062
20,2019-11-25,2019-12-06,C,122.0,9.749999999999998,9.5,2020-01-03,130.0,3.7,3.5,115.79973602294922
21,2019-11-25,2019-12-06,C,129.0,2.9298454618316634,2.8298454618316633,2020-01-03,131.0,2.999193182333898,2.869193182333898,115.79973602294922
22,2019-11-25,2019-12-06,C,130.0,2.34,2.3,2020-01-03,132.0,2.5416482242609053,2.451648224260905,115.79973602294922
23,2019-11-25,2019-12-06,C,131.0,1.66,1.63,2020-01-03,133.0,1.8807991833219244,1.8107991833219244,115.79973602294922
24,2019-11-25,2019-12-06,C,132.0,1.0358707829367313,1.015870782936731,2020-01-03,134.0,1.51,1.45,115.79973602294922
25,2019-11-25,2019-12-06,C,133.0,1.0080914762477937,0.9980914762477936,2020-01-03,135.0,1.15,1.1,115.79973602294922
26,2019-11-25,2019-12-06,C,134.0,0.39,0.38,2020-01-03,140.0,0.25,0.2,115.79973602294922
27,2019-11-25,2019-12-06,C,135.0,0.20999999999999996,0.2,,,,,115.79973602294922
28,2019-11-25,2019-12-06,C,136.0,0.11,0.1,,,,,115.79973602294922
29,2019-11-25,2019-12-06,C,137.0,0.06,0.05,,,,,115.79973602294922
30,2019-11-25,2019-12-06,P,124.0,7.093009815670583,7.063009815670584,2020-01-03,115.0,15.555000000000005,15.495000000000006,115.79973602294922
31,2019-11-25,2019-12-06,P,125.0,10.287518916032912,10.18751891603291,2020-01-03,121.0,10.864999999999979,10.80499999999998,115.79973602294922
32,2019-11-25,2019-12-06,P,126.0,3.962972587125378,3.9329725871253776,2020-01-03,124.0,5.423984483449629,5.363984483449628,115.79973602294922
33,2019-11-25,2019-12-06,P,127.0,2.521074663246684,2.511074663246684,2020-01-03,128.0,1.3244108237780226,1.264410823778023,115.79973602294922
34,2019-11-25,2019-12-06,P,128.0,-0.6445795387235955,-0.6645795387235955,2020-01-03,129.0,-6.220700156060905,-6.270700156060906,115.79973602294922
35,2019-11-25,2019-12-06,P,129.0,-0.3363904061837627,-0.3463904061837627,2020-01-03,130.0,-12.402061589239391,-12.44206158923939,115.79973602294922
36,2019-11-25,2019-12-06,P,130.0,-4.199119343887925,-4.209119343887925,2020-01-03,131.0,-4.515000000000011,-4.55500000000001,115.79973602294922
37,2019-11-25,2019-12-06,P,131.0,-5.886314425643486,-5.896314425643486,,,,,115.79973602294922
38,2019-11-25,2019-12-06,P,132.0,-4.799656255664767,-4.809656255664767,,,,,115.79973602294922
39,2019-11-25,2019-12-06,P,135.0,0.6349999999999858,0.6149999999999858,,,,,115.79973602294922
40,2019-11-26,2019-12-06,C,124.0,7.863394957689674,7.663394957689674,2020-01-03,123.0,9.7,9.1,115.95824432373048
41,2019-11-26,2019-12-06,C,125.0,6.704107168750259,6.554107168750259,2020-01-03,124.0,8.366374872288935,8.066374872288934,115.95824432373048
42,2019-11-26,2019-12-06,C,127.0,4.5714873060994705,4.47148730609947,2020-01-03,132.0,2.47,2.24,115.95824432373048
43,2019-11-26,2019-12-06,C,129.0,3.1,3.0,2020-01-03,133.0,1.2451193747148157,0.9951193747148159,115.95824432373048
44,2019-11-26,2019-12-06,C,130.0,2.204707727024475,2.1647077270244752,2020-01-03,135.0,1.17,1.0,115.95824432373048
45,2019-11-26,2019-12-06,C,131.0,2.108428926114745,2.078428926114745,,,,,115.95824432373048
46,2019-11-26,2019-12-06,C,132.0,1.01,0.99,,,,,115.95824432373048
47,2019-11-26,2019-12-06,C,133.0,0.59,0.58,,,,,115.95824432373048
48,2019-11-26,2019-12-06,C,134.0,0.32,0.31,,,,,115.95824432373048
49,2019-11-26,2019-12-06,C,135.0,0.17,0.15,,,,,115.95824432373048
50,2019-11-26,2019-12-06,P,113.0,18.360341302562713,18.34034130256271,2020-01-03,120.0,5.650000000000013,5.510000000000012,115.95824432373048
51,2019-11-26,2019-12-06,P,125.0,5.23650506985758,5.216505069857581,2020-01-03,125.0,7.5231456800962775,7.303145680096279,115.95824432373048
52,2019-11-26,2019-12-06,P,126.0,1.932779663052874,1.9227796630528742,2020-01-03,128.0,4.563770570187723,4.293770570187723,115.95824432373048
53,2019-11-26,2019-12-06,P,127.0,2.5594051319336675,2.539405131933668,2020-01-03,129.0,-7.537033440083847,-7.597033440083847,115.95824432373048
54,2019-11-26,2019-12-06,P,128.0,-0.21427555813567778,-0.2242755581356778,2020-01-03,130.0,1.6810617997854127,1.5210617997854126,115.95824432373048
55,2019-11-26,2019-12-06,P,129.0,-15.033342510473778,-15.053342510473778,2020-01-03,131.0,-0.5150000000000181,-0.6950000000000183,115.95824432373048
56,2019-11-26,2019-12-06,P,130.0,-3.345575046366501,-3.355575046366501,,,,,115.95824432373048
57,2019-11-26,2019-12-06,P,131.0,5.055215109386679,4.995215109386678,,,,,115.95824432373048
58,2019-11-26,2019-12-06,P,132.00000000000003,-4.625000000000005,-4.645000000000005,,,,,115.95824432373048
59,2019-11-26,2019-12-06,P,134.0,0.674999999999992,0.654999999999992,,,,,115.95824432373048
60,2019-11-27,2019-12-06,C,118.0,14.010349805314135,13.860349805314135,2020-01-03,126.0,7.35,6.65,116.30170440673828
61,2019-11-27,2019-12-06,C,120.0,11.862513957970846,11.712513957970845,2020-01-03,130.0,3.992811677460664,3.5928116774606647,116.30170440673828
62,2019-11-27,2019-12-06,C,126.0,6.304612911267448,6.104612911267448,2020-01-03,132.0,2.8,2.48,116.30170440673828
63,2019-11-27,2019-12-06,C,129.0,3.1188318569779647,3.0188318569779646,2020-01-03,135.0,1.35,1.11,116.30170440673828
64,2019-11-27,2019-12-06,C,130.0,2.652222156354884,2.6122221563548833,,,,,116.30170440673828
65,2019-11-27,2019-12-06,C,131.0,2.0037351305542095,1.9737351305542095,,,,,116.30170440673828
66,2019-11-27,2019-12-06,C,132.0,1.5104256856566778,1.490425685656678,,,,,116.30170440673828
67,2019-11-27,2019-12-06,C,133.0,1.361873608658656,1.3418736086586562,,,,,116.30170440673828
68,2019-11-27,2019-12-06,C,134.0,0.37,0.36,,,,,116.30170440673828
69,2019-11-27,2019-12-06,C,135.0,0.18,0.17,,,,,116.30170440673828
70,2019-11-27,2019-12-06,P,123.0,6.89883185697793,6.87883185697793,2020-01-03,110.0,15.750132983235531,15.500132983235531,116.30170440673828
71,2019-11-27,2019-12-06,P,125.00000000000001,7.7441950038801455,7.724195003880146,2020-01-03,115.0,2.859260790386981,2.739260790386981,116.30170440673828
72,2019-11-27,2019-12-06,P,127.0,-2.357486042029171,-2.3774860420291706,2020-01-03,117.0,-5.797710540888571,-5.9277105408885715,116.30170440673828
73,2019-11-27,2019-12-06,P,128.0,3.0296129112674253,3.0196129112674255,2020-01-03,119.0,9.701948636321356,9.401948636321356,116.30170440673828
74,2019-11-27,2019-12-06,P,129.0,0.4522221563548544,0.4422221563548544,2020-01-03,123.0,-2.115248980057144,-2.2752489800571443,116.30170440673828
75,2019-11-27,2019-12-06,P,130.0,4.374488167536814,4.334488167536815,2020-01-03,125.0,1.1737454031082415,0.8937454031082417,116.30170440673828
76,2019-11-27,2019-12-06,P,131.0,4.641036804769265,4.561036804769265,2020-01-03,128.0,-6.858358466767961,-7.028358466767961,116.30170440673828
77,2019-11-27,2019-12-06,P,132.0,-2.9757535052355975,-2.9857535052355972,,,,,116.30170440673828
78,2019-11-27,2019-12-06,P,133.0,-8.459999999999999,-8.51,,,,,116.30170440673828
79,2019-11-27,2019-12-06,P,135.0,-4.995,-5.005,,,,,116.30170440673828
80,2019-12-02,2019-12-06,C,127.0,4.6,4.5,2020-01-03,131.0,2.86,2.79,115.7821273803711
81,2019-12-02,2019-12-06,C,130.0,2.032642453246677,1.992642453246677,2020-01-03,132.0,2.3,2.25,115.7821273803711
82,2019-12-02,2019-12-06,C,131.0,0.9142992494894121,0.8842992494894121,2020-01-03,133.0,1.87,1.73,115.7821273803711
83,2019-12-02,2019-12-06,C,132.0,0.8422333932795025,0.8222333932795024,2020-01-03,134.0,1.244702573593467,1.194702573593467,115.7821273803711
84,2019-12-02,2019-12-06,C,133.0,0.39,0.38,2020-01-03,136.0,0.8759884136158111,0.8359884136158111,115.7821273803711
85,2019-12-02,2019-12-06,C,134.0,0.19,0.18,,,,,115.7821273803711
86,2019-12-02,2019-12-06,C,135.0,0.09,0.08,,,,,115.7821273803711
87,2019-12-02,2019-12-06,C,136.0,0.04666988158777571,0.036669881587775705,,,,,115.7821273803711
88,2019-12-02,2019-12-06,C,137.0,0.03,0.02,,,,,115.7821273803711
89,2019-12-02,2019-12-06,C,138.0,0.03,0.0,,,,,115.7821273803711
90,2019-12-02,2019-12-06,P,126.00000000000001,5.74749848560242,5.7174984856024205,2020-01-03,110.0,3.641830660728624,3.591830660728624,115.7821273803711
91,2019-12-02,2019-12-06,P,127.0,3.8724772423910085,3.852477242391009,2020-01-03,126.0,6.424999999999982,6.364999999999982,115.7821273803711
92,2019-12-02,2019-12-06,P,128.0,2.550476043432117,2.5404760434321174,2020-01-03,129.0,9.089173001999285,8.589173001999285,115.7821273803711
93,2019-12-02,2019-12-06,P,129.0,-0.7295040707896686,-0.7395040707896686,2020-01-03,130.0,2.4099999999999993,2.0599999999999996,115.7821273803711
94,2019-12-02,2019-12-06,P,130.0,3.73880385285309,3.68880385285309,2020-01-03,131.0,-1.8876824411889488,-1.9376824411889486,115.7821273803711
95,2019-12-02,2019-12-06,P,131.0,-1.1649999999999971,-1.1849999999999972,2020-01-03,136.0,-1.3250000000000068,-1.5350000000000068,115.7821273803711
96,2019-12-02,2019-12-06,P,132.0,3.3349999999999924,3.274999999999993,,,,,115.7821273803711
97,2019-12-02,2019-12-06,P,133.0,3.9999999999999885,3.899999999999989,,,,,115.7821273803711
98,2019-12-02,2019-12-06,P,134.0,-4.234999999999995,-4.244999999999995,,,,,115.7821273803711
99,2019-12-02,2019-12-06,P,135.0,-5.375000000000024,-5.385000000000024,,,,,115.7821273803711
100,2019-12-03,2019-12-06,C,127.0,2.817512305545023,2.7175123055450228,2020-01-03,128.0,3.769754940627524,3.519754940627524,114.29379272460938
101,2019-12-03,2019-12-06,C,128.0,1.9504565258564008,1.910456525856401,2020-01-03,129.0,3.2,3.05,114.29379272460938
102,2019-12-03,2019-12-06,C,129.0,1.6050948152004567,1.5750948152004567,2020-01-03,130.0,2.6383759055008253,2.5683759055008255,114.29379272460938
103,2019-12-03,2019-12-06,C,130.0,0.9032941353566887,0.8832941353566888,2020-01-03,131.0,2.05,2.0,114.29379272460938
