,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2021-07-22,2021-08-06,C,280.0,9.45,9.35,2021-09-03,250.0,37.79999999999999,36.65,279.4263610839844
1,2021-07-22,2021-08-06,C,282.5,7.657012478665009,7.557012478665009,2021-09-03,260.0,28.199999999999996,27.35,279.4263610839844
2,2021-07-22,2021-08-06,C,285.0,6.300000000000001,6.2,2021-09-03,280.0,11.85,11.4,279.4263610839844
3,2021-07-22,2021-08-06,C,287.49999999999994,4.95,4.9,2021-09-03,285.0,8.8,8.5,279.4263610839844
4,2021-07-22,2021-08-06,C,290.0,3.9,3.8,2021-09-03,289.99999999999994,6.6,5.95,279.4263610839844
5,2021-07-22,2021-08-06,C,292.5,2.92,2.88,2021-09-03,300.0,2.99,2.63,279.4263610839844
6,2021-07-22,2021-08-06,C,295.0,2.17,2.13,2021-09-03,310.0,1.55,1.05,279.4263610839844
7,2021-07-22,2021-08-06,C,300.0,1.17,1.1500000000000001,2021-09-03,315.0,1.16,0.58,279.4263610839844
8,2021-07-22,2021-08-06,C,302.5,0.86,0.83,2021-09-03,320.0,0.72,0.48,279.4263610839844
9,2021-07-22,2021-08-06,C,310.0,0.39,0.37,2021-09-03,330.0,0.7,0.12,279.4263610839844
10,2021-07-22,2021-08-06,P,240.0,45.430855953593515,45.38085595359352,2021-09-03,245.0,22.6605022792319,22.110502279231902,279.4263610839844
11,2021-07-22,2021-08-06,P,265.0,13.23999999999997,13.19999999999997,2021-09-03,250.0,22.149999999999995,21.419999999999998,279.4263610839844
12,2021-07-22,2021-08-06,P,267.5,-26.401346945453486,-26.42134694545349,2021-09-03,255.0,-8.330663593872869,-8.990663593872869,279.4263610839844
13,2021-07-22,2021-08-06,P,270.0,3.6967687814433385,3.6667687814433383,2021-09-03,260.0,22.085429857826234,21.63542985782623,279.4263610839844
14,2021-07-22,2021-08-06,P,272.5,3.9500000000000024,3.920000000000002,2021-09-03,265.0,-2.0827064421716805,-2.652706442171681,279.4263610839844
15,2021-07-22,2021-08-06,P,275.0,9.449999999999955,9.399999999999954,2021-09-03,270.0,8.175000000000045,7.725000000000046,279.4263610839844
16,2021-07-22,2021-08-06,P,277.5,-7.183195438668729,-7.2231954386687285,2021-09-03,275.0,14.193470171541993,13.593470171541991,279.4263610839844
17,2021-07-22,2021-08-06,P,280.0,-6.78480983459222,-6.8248098345922195,2021-09-03,280.0,-24.13999999999999,-24.56999999999999,279.4263610839844
18,2021-07-22,2021-08-06,P,282.5,1.5499999999999432,1.4499999999999431,2021-09-03,285.0,-21.875000000000036,-22.425000000000033,279.4263610839844
19,2021-07-22,2021-08-06,P,285.0,-14.499904527663418,-14.529904527663419,,,,,279.4263610839844
20,2021-07-23,2021-08-06,C,285.0,8.25,8.1,2021-09-03,275.0,18.1,17.45,282.87353515625
21,2021-07-23,2021-08-06,C,287.5,6.65,6.55,2021-09-03,280.0,14.2,13.65,282.87353515625
22,2021-07-23,2021-08-06,C,290.0,5.25,5.15,2021-09-03,285.0,10.75,10.35,282.87353515625
23,2021-07-23,2021-08-06,C,292.5,4.05,3.95,2021-09-03,290.0,7.8,7.55,282.87353515625
24,2021-07-23,2021-08-06,C,295.0,3.05,3.0,2021-09-03,295.0,5.45,5.050000000000001,282.87353515625
25,2021-07-23,2021-08-06,C,297.50000000000006,2.215848625906818,2.1858486259068184,2021-09-03,300.00000000000006,3.7,3.4500000000000006,282.87353515625
26,2021-07-23,2021-08-06,C,300.0,1.6200000000000003,1.59,2021-09-03,305.0,2.39,2.19,282.87353515625
27,2021-07-23,2021-08-06,C,302.5,1.17,1.15,2021-09-03,310.00000000000006,1.48,1.4,282.87353515625
28,2021-07-23,2021-08-06,C,305.0,0.86,0.84,2021-09-03,315.0,1.02,0.9099999999999999,282.87353515625
29,2021-07-23,2021-08-06,C,310.0,0.49,0.48,2021-09-03,325.0,0.52,0.45,282.87353515625
30,2021-07-23,2021-08-06,P,255.0,20.31500000000007,20.285000000000068,2021-09-03,245.0,2.3966405394487422,2.2966405394487426,282.87353515625
31,2021-07-23,2021-08-06,P,262.5,17.713128702030406,17.673128702030407,2021-09-03,249.99999999999997,31.474999999999984,31.124999999999982,282.87353515625
32,2021-07-23,2021-08-06,P,267.5,3.105000000000032,3.0750000000000317,2021-09-03,255.0,21.415822545998072,21.06582254599807,282.87353515625
33,2021-07-23,2021-08-06,P,270.0,8.224999999999984,8.184999999999985,2021-09-03,265.0,27.55441904416922,27.15441904416922,282.87353515625
34,2021-07-23,2021-08-06,P,272.5,-4.090080332967703,-4.120080332967702,2021-09-03,270.0,17.41840153223193,17.068401532231928,282.87353515625
35,2021-07-23,2021-08-06,P,275.0,-0.7714247811979226,-0.8014247811979226,2021-09-03,275.0,-6.555000000000043,-6.725000000000043,282.87353515625
36,2021-07-23,2021-08-06,P,277.5,9.039622359343833,8.989622359343832,2021-09-03,280.0,24.849999999999977,24.449999999999978,282.87353515625
37,2021-07-23,2021-08-06,P,280.0,-22.94500000000001,-22.965000000000014,2021-09-03,285.0,-8.768688326932775,-8.988688326932774,282.87353515625
38,2021-07-23,2021-08-06,P,285.0,5.974999999999955,5.874999999999954,2021-09-03,290.0,-31.824999999999996,-31.934999999999995,282.87353515625
39,2021-07-23,2021-08-06,P,287.5,-20.634999999999977,-20.664999999999978,2021-09-03,300.0,-30.89499999999998,-31.02499999999998,282.87353515625
40,2021-07-26,2021-08-06,C,282.5,9.4,9.250000000000002,2021-09-03,280.0,13.6,13.15,282.2680969238281
41,2021-07-26,2021-08-06,C,285.0,7.7,7.6,2021-09-03,290.0,7.2,6.8500000000000005,282.2680969238281
42,2021-07-26,2021-08-06,C,287.5,6.2,6.1,2021-09-03,295.00000000000006,4.9,4.7,282.2680969238281
43,2021-07-26,2021-08-06,C,290.0,4.9,4.800000000000001,2021-09-03,300.0,3.25,2.9999999999999996,282.2680969238281
44,2021-07-26,2021-08-06,C,292.5,3.7159602424237805,3.6159602424237804,2021-09-03,310.0,1.29,1.14,282.2680969238281
45,2021-07-26,2021-08-06,C,295.0,2.78,2.74,2021-09-03,315.0,0.8399999999999999,0.78,282.2680969238281
46,2021-07-26,2021-08-06,C,297.5,2.04,2.0,2021-09-03,325.0,0.43,0.34,282.2680969238281
47,2021-07-26,2021-08-06,C,300.0,1.48,1.45,2021-09-03,335.0,0.28,0.19,282.2680969238281
48,2021-07-26,2021-08-06,C,302.5,1.08,1.05,2021-09-03,340.0,0.25,0.16,282.2680969238281
49,2021-07-26,2021-08-06,C,310.0,0.46,0.45,2021-09-03,345.0,0.22,0.13,282.2680969238281
50,2021-07-26,2021-08-06,P,260.0,20.33828240215708,20.29828240215708,2021-09-03,245.0,21.571029755754786,21.431029755754786,282.2680969238281
51,2021-07-26,2021-08-06,P,262.5,0.7204643473290412,0.6904643473290412,2021-09-03,250.0,30.981344878812727,30.68134487881273,282.2680969238281
52,2021-07-26,2021-08-06,P,265.0,10.591560776137735,10.571560776137735,2021-09-03,255.0,21.575000000000074,21.325000000000074,282.2680969238281
53,2021-07-26,2021-08-06,P,267.5,15.422458890752717,15.372458890752716,2021-09-03,260.0,-13.626916660021386,-13.736916660021386,282.2680969238281
54,2021-07-26,2021-08-06,P,270.0,3.080096230411091,3.040096230411091,2021-09-03,265.0,23.499400818684062,23.099400818684064,282.2680969238281
55,2021-07-26,2021-08-06,P,272.5,-6.624999999999991,-6.644999999999991,2021-09-03,270.0,22.793356768488774,22.393356768488776,282.2680969238281
56,2021-07-26,2021-08-06,P,275.0,-13.733921460846508,-13.753921460846508,2021-09-03,275.0,-1.4549999999999976,-1.6749999999999978,282.2680969238281
57,2021-07-26,2021-08-06,P,280.0,-7.889999999999921,-7.90999999999992,2021-09-03,280.0,-20.455000000000016,-20.575000000000014,282.2680969238281
