,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2022-10-13,2022-11-04,90.0,74.13993483235946,2022-12-02,99.99999999999999,71.42021920239573,156.7906951904297
1,2022-10-13,2022-11-04,100.0,63.78252173098002,2022-12-02,105.0,59.269024735886,156.7906951904297
2,2022-10-13,2022-11-04,105.0,58.493486978738474,2022-12-02,150.0,17.075,156.7906951904297
3,2022-10-13,2022-11-04,160.0,7.5,2022-12-02,155.0,12.774999999999999,156.7906951904297
4,2022-10-13,2022-11-04,170.0,3.3242717921743408,2022-12-02,160.0,8.79900589276076,156.7906951904297
5,2022-10-13,2022-11-04,175.0,0.675,2022-12-02,165.00000000000003,5.190493589600698,156.7906951904297
6,2022-10-13,2022-11-04,180.0,0.2949129615219217,2022-12-02,169.99999999999997,3.422012217871133,156.7906951904297
7,2022-10-13,2022-11-04,185.0,0.23958616953285314,2022-12-02,175.0,1.605,156.7906951904297
8,2022-10-13,2022-11-04,190.0,0.2316449534311848,2022-12-02,180.0,0.735,156.7906951904297
9,2022-10-13,2022-11-04,195.0,0.21,2022-12-02,185.0,0.3753797648421443,156.7906951904297
10,2022-10-13,2022-11-04,200.0,0.20526685063520947,2022-12-02,190.0,0.3750213030515323,156.7906951904297
11,2022-10-13,2022-11-04,205.0,0.18854621988956546,2022-12-02,195.0,0.37489539452172865,156.7906951904297
12,2022-10-13,2022-11-04,210.0,0.1717225680385902,2022-12-02,200.0,0.37499999999999994,156.7906951904297
13,2022-10-13,2022-11-04,215.0,0.16130095155925964,2022-12-02,205.0,0.3744593515194742,156.7906951904297
14,2022-10-13,2022-11-04,220.0,0.14047333276591667,2022-12-02,210.0,0.37404196388177074,156.7906951904297
15,2022-10-13,2022-11-04,224.99999999999997,0.12411173429614425,2022-12-02,215.0,0.37400611117968774,156.7906951904297
16,2022-10-13,2022-11-04,230.0,0.10789882007665967,2022-12-02,220.0,0.3744027177230396,156.7906951904297
17,2022-10-13,2022-11-04,234.99999999999997,0.09183228016694836,2022-12-02,225.0,0.375,156.7906951904297
18,2022-10-13,2022-11-04,240.0,0.07570471960113256,2022-12-02,230.0,0.375668836408904,156.7906951904297
19,2022-10-13,2022-11-04,245.0,0.06,2022-12-02,235.0,0.3762162369683318,156.7906951904297
20,2022-10-14,2022-11-04,90.0,72.89714538309359,2022-12-02,90.00000000000001,77.28435509565493,156.13558959960938
21,2022-10-14,2022-11-04,100.0,64.73516278756222,2022-12-02,100.0,65.375,156.13558959960938
22,2022-10-14,2022-11-04,135.0,32.207726561454834,2022-12-02,105.0,59.764486562602,156.13558959960938
23,2022-10-14,2022-11-04,150.0,22.715108544792447,2022-12-02,160.0,8.090654789648175,156.13558959960938
24,2022-10-14,2022-11-04,160.0,6.975,2022-12-02,165.0,7.482386689228702,156.13558959960938
25,2022-10-14,2022-11-04,165.0,3.677839695838673,2022-12-02,170.0,3.035,156.13558959960938
