,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2020-05-21,2020-06-12,800.0,65.725,2020-07-02,745.0,120.32499999999999,827.599983215332
1,2020-05-21,2020-06-12,805.0,62.9,2020-07-02,755.0,114.03070327401109,827.599983215332
2,2020-05-21,2020-06-12,810.0,60.129892429688546,2020-07-02,770.0,104.70153171889434,827.599983215332
3,2020-05-21,2020-06-12,815.0,57.599999999999994,2020-07-02,775.0,101.42500000000001,827.599983215332
4,2020-05-21,2020-06-12,820.0,54.94075891877579,2020-07-02,795.0,89.9928950595268,827.599983215332
5,2020-05-21,2020-06-12,825.0,52.57500000000001,2020-07-02,800.0,87.337562773703,827.599983215332
6,2020-05-21,2020-06-12,829.9999999999999,50.35,2020-07-02,805.0,84.31166537546835,827.599983215332
7,2020-05-21,2020-06-12,850.0,41.9,2020-07-02,810.0,81.97258188965047,827.599983215332
8,2020-05-21,2020-06-12,860.0000000000001,38.099999999999994,2020-07-02,815.0,79.1,827.599983215332
9,2020-05-21,2020-06-12,880.0,31.625,2020-07-02,820.0,77.25563337397365,827.599983215332
10,2020-05-21,2020-06-12,885.0000000000001,30.225000000000005,2020-07-02,825.0,74.59880967545651,827.599983215332
11,2020-05-21,2020-06-12,899.9999999999999,26.325,2020-07-02,830.0000000000001,72.45,827.599983215332
12,2020-05-21,2020-06-12,950.0,17.0,2020-07-02,835.0,70.20649788248213,827.599983215332
13,2020-05-21,2020-06-12,1000.0,11.475,2020-07-02,845.0000000000001,65.725,827.599983215332
14,2020-05-21,2020-06-12,1010.0,10.75,2020-07-02,850.0,63.220395390452815,827.599983215332
15,2020-05-21,2020-06-12,1100.0,6.1,2020-07-02,855.0,61.78689224265665,827.599983215332
16,2020-05-21,2020-06-12,1200.0,3.6999999999999997,2020-07-02,860.0000000000001,59.62701595026341,827.599983215332
17,2020-05-21,2020-06-12,1210.0,3.525,2020-07-02,870.0,55.87499999999999,827.599983215332
18,2020-05-21,2020-06-12,1410.0,1.545,2020-07-02,880.0,52.21172875917303,827.599983215332
19,2020-05-21,2020-06-12,1500.0,1.0350000000000001,2020-07-02,884.9999999999999,50.599999999999994,827.599983215332
20,2020-05-22,2020-06-12,800.0,53.49999999999999,2020-07-02,755.0,101.825,816.8800163269043
21,2020-05-22,2020-06-12,820.0,43.3,2020-07-02,760.0,98.9265770300582,816.8800163269043
22,2020-05-22,2020-06-12,825.0,41.00149609583757,2020-07-02,765.0,96.30000000000001,816.8800163269043
23,2020-05-22,2020-06-12,830.0000000000001,38.8,2020-07-02,800.0,76.1,816.8800163269043
24,2020-05-22,2020-06-12,835.0,36.725,2020-07-02,805.0,73.63270678601043,816.8800163269043
25,2020-05-22,2020-06-12,840.0,34.75,2020-07-02,810.0,71.07112766180865,816.8800163269043
26,2020-05-22,2020-06-12,850.0,31.1,2020-07-02,815.0,68.57499999999999,816.8800163269043
27,2020-05-22,2020-06-12,859.9999999999999,27.699999999999996,2020-07-02,820.0,66.62721730025056,816.8800163269043
28,2020-05-22,2020-06-12,880.0,22.025,2020-07-02,825.0,63.880455370210264,816.8800163269043
29,2020-05-22,2020-06-12,895.0000000000001,18.55,2020-07-02,830.0000000000001,61.26216835045732,816.8800163269043
30,2020-05-22,2020-06-12,899.9999999999999,17.625,2020-07-02,835.0000000000001,59.58775561164339,816.8800163269043
31,2020-05-22,2020-06-12,949.9999999999999,10.125,2020-07-02,840.0000000000001,57.05,816.8800163269043
32,2020-05-22,2020-06-12,990.0000000000001,6.825,2020-07-02,850.0,53.434815438714075,816.8800163269043
33,2020-05-22,2020-06-12,1000.0,6.275,2020-07-02,855.0000000000001,51.224073021003036,816.8800163269043
34,2020-05-22,2020-06-12,1050.0,4.1,2020-07-02,859.9999999999999,49.46105039425974,816.8800163269043
35,2020-05-22,2020-06-12,1100.0,2.835,2020-07-02,865.0,47.6,816.8800163269043
36,2020-05-22,2020-06-12,1110.0,2.66,2020-07-02,870.0,45.96909906732353,816.8800163269043
37,2020-05-22,2020-06-12,1200.0,1.5,2020-07-02,874.9999999999999,44.025,816.8800163269043
38,2020-05-22,2020-06-12,1210.0,1.4551105998050424,2020-07-02,880.0,42.44958765331058,816.8800163269043
39,2020-05-22,2020-06-12,1490.0,0.48,2020-07-02,885.0,40.85,816.8800163269043
40,2020-05-26,2020-06-12,800.0,51.35,2020-07-02,745.0,106.45,818.8699722290039
41,2020-05-26,2020-06-12,815.0,43.625,2020-07-02,755.0,100.35,818.8699722290039
42,2020-05-26,2020-06-12,820.0,41.25,2020-07-02,785.0,82.4,818.8699722290039
43,2020-05-26,2020-06-12,825.0,38.925,2020-07-02,790.0,79.67500000000001,818.8699722290039
44,2020-05-26,2020-06-12,830.0,36.821447371323345,2020-07-02,800.0,74.25798188930801,818.8699722290039
45,2020-05-26,2020-06-12,835.0,34.775,2020-07-02,805.0,72.0695843041294,818.8699722290039
46,2020-05-26,2020-06-12,840.0,32.875,2020-07-02,810.0,69.54097481230505,818.8699722290039
47,2020-05-26,2020-06-12,850.0,29.25,2020-07-02,815.0,67.20973782464212,818.8699722290039
48,2020-05-26,2020-06-12,880.0,20.6,2020-07-02,820.0,64.725,818.8699722290039
49,2020-05-26,2020-06-12,899.9999999999999,16.375,2020-07-02,825.0,62.09574876761161,818.8699722290039
50,2020-05-26,2020-06-12,919.9999999999999,13.05,2020-07-02,830.0,59.875,818.8699722290039
51,2020-05-26,2020-06-12,930.0,11.675,2020-07-02,834.9999999999999,57.8,818.8699722290039
52,2020-05-26,2020-06-12,940.0000000000001,10.5,2020-07-02,840.0,55.724999999999994,818.8699722290039
53,2020-05-26,2020-06-12,950.0000000000001,9.425,2020-07-02,849.9999999999999,51.72499999999999,818.8699722290039
54,2020-05-26,2020-06-12,1000.0,5.725,2020-07-02,860.0,47.86447614915303,818.8699722290039
55,2020-05-26,2020-06-12,1010.0,5.225,2020-07-02,865.0,46.18847680025983,818.8699722290039
56,2020-05-26,2020-06-12,1100.0,2.55,2020-07-02,870.0000000000001,44.325,818.8699722290039
57,2020-05-26,2020-06-12,1140.0,1.915,2020-07-02,875.0000000000001,42.775000000000006,818.8699722290039
58,2020-05-26,2020-06-12,1200.0,1.285,2020-07-02,879.9999999999999,41.16619161751053,818.8699722290039
59,2020-05-26,2020-06-12,1210.0,1.2650000000000001,2020-07-02,885.0000000000001,39.724999999999994,818.8699722290039
60,2020-05-27,2020-06-12,715.0,112.5,2020-07-02,755.0,100.32499999999999,820.2299880981445
