,t0,T1,K1,C1,T2,K2,C2,Adj_S0
0,2022-10-13,2022-11-04,170.0,17.7,2022-12-02,110.00000000000001,75.42500000000001,182.1193084716797
1,2022-10-13,2022-11-04,175.0,13.721545262050315,2022-12-02,115.0,70.57026275176356,182.1193084716797
2,2022-10-13,2022-11-04,180.0,10.375,2022-12-02,160.0,27.924999999999997,182.1193084716797
3,2022-10-13,2022-11-04,185.0,7.400000000000001,2022-12-02,165.0,23.775000000000002,182.1193084716797
4,2022-10-13,2022-11-04,190.0,4.949999999999999,2022-12-02,170.0,19.799999999999997,182.1193084716797
5,2022-10-13,2022-11-04,194.99999999999997,3.15,2022-12-02,175.0,15.85918677192539,182.1193084716797
6,2022-10-13,2022-11-04,199.99999999999997,1.865,2022-12-02,180.0,14.113275483121091,182.1193084716797
7,2022-10-13,2022-11-04,205.0,1.13,2022-12-02,185.0,9.8,182.1193084716797
8,2022-10-13,2022-11-04,210.0,0.625,2022-12-02,189.99999999999997,7.35,182.1193084716797
9,2022-10-13,2022-11-04,220.0,0.21500000000000002,2022-12-02,194.99999999999997,5.002612409134678,182.1193084716797
10,2022-10-13,2022-11-04,225.0,0.1748551967560267,2022-12-02,200.0,3.880049757704426,182.1193084716797
11,2022-10-13,2022-11-04,229.99999999999997,0.1749760734592595,2022-12-02,205.0,2.4450000000000003,182.1193084716797
12,2022-10-13,2022-11-04,240.0,0.17490807148866916,2022-12-02,210.0,1.59,182.1193084716797
13,2022-10-13,2022-11-04,245.0,0.17519053771915138,2022-12-02,215.00000000000003,1.025,182.1193084716797
14,2022-10-13,2022-11-04,250.00000000000003,0.1752014376238618,2022-12-02,219.99999999999997,0.7150000000000001,182.1193084716797
15,2022-10-13,2022-11-04,255.0,0.17474429229816632,2022-12-02,225.0,0.465,182.1193084716797
16,2022-10-13,2022-11-04,260.0,0.17500000000000002,2022-12-02,229.99999999999997,0.265,182.1193084716797
17,2022-10-13,2022-11-04,265.0,0.17496020585710786,2022-12-02,235.0,0.20500000000000002,182.1193084716797
18,2022-10-13,2022-11-04,270.0,0.1748196177223661,2022-12-02,240.0,0.1707168213760973,182.1193084716797
19,2022-10-13,2022-11-04,275.0,0.17468905253102265,2022-12-02,245.00000000000003,0.17,182.1193084716797
20,2022-10-14,2022-11-04,120.0,63.14965679612893,2022-12-02,110.0,73.425,180.10736083984375
21,2022-10-14,2022-11-04,145.0,38.6,2022-12-02,115.0,68.55,180.10736083984375
22,2022-10-14,2022-11-04,180.0,8.75,2022-12-02,175.0,14.350000000000001,180.10736083984375
23,2022-10-14,2022-11-04,185.0,6.0,2022-12-02,180.0,11.274999999999999,180.10736083984375
24,2022-10-14,2022-11-04,190.0,3.825,2022-12-02,185.0,8.65,180.10736083984375
25,2022-10-14,2022-11-04,195.0,2.4,2022-12-02,190.00000000000003,6.250000000000001,180.10736083984375
26,2022-10-14,2022-11-04,200.00000000000003,1.4,2022-12-02,195.0,3.9681116673146897,180.10736083984375
27,2022-10-14,2022-11-04,205.00000000000003,0.7699999999999999,2022-12-02,200.0,3.085,180.10736083984375
28,2022-10-14,2022-11-04,210.00000000000003,0.45499999999999996,2022-12-02,204.99999999999997,2.04,180.10736083984375
29,2022-10-14,2022-11-04,215.0,0.30000000000000004,2022-12-02,210.0,1.2694528846888091,180.10736083984375
30,2022-10-14,2022-11-04,220.0,0.25293006809242474,2022-12-02,215.0,0.84,180.10736083984375
31,2022-10-14,2022-11-04,225.0,0.205,2022-12-02,220.0,0.55,180.10736083984375
32,2022-10-14,2022-11-04,245.0,0.14500000000000002,2022-12-02,224.99999999999997,0.36499999999999994,180.10736083984375
33,2022-10-14,2022-11-04,250.0,0.14245475908183736,2022-12-02,230.0,0.24999999999999997,180.10736083984375
34,2022-10-14,2022-11-04,255.0,0.14,2022-12-02,235.0,0.215,180.10736083984375
35,2022-10-14,2022-11-04,260.0,0.13745265144291827,2022-12-02,240.0,0.19000000000000003,180.10736083984375
36,2022-10-14,2022-11-04,265.0,0.13490857509324272,2022-12-02,245.0,0.175,180.10736083984375
37,2022-10-14,2022-11-04,270.0,0.13222099753278346,2022-12-02,250.0,0.165,180.10736083984375
38,2022-10-14,2022-11-04,275.0,0.13225488519822418,2022-12-02,255.0,0.1598250052114952,180.10736083984375
39,2022-10-14,2022-11-04,280.0,0.13042262388525222,2022-12-02,260.0,0.155,180.10736083984375
40,2022-10-17,2022-11-04,150.0,36.55,2022-12-02,109.99999999999999,76.07499999999999,182.70118713378903
41,2022-10-17,2022-11-04,180.0,10.125,2022-12-02,115.0,71.1,182.70118713378903
42,2022-10-17,2022-11-04,182.5,8.525,2022-12-02,160.0,28.503378228421727,182.70118713378903
43,2022-10-17,2022-11-04,185.0,7.0442403133972755,2022-12-02,165.0,23.975,182.70118713378903
44,2022-10-17,2022-11-04,187.50000000000003,5.725,2022-12-02,180.0,12.774999999999999,182.70118713378903
45,2022-10-17,2022-11-04,190.0,5.375761883005111,2022-12-02,189.99999999999997,7.25,182.70118713378903
46,2022-10-17,2022-11-04,192.5,3.5702247095717055,2022-12-02,195.0,5.0216487424612435,182.70118713378903
47,2022-10-17,2022-11-04,195.00000000000003,2.615,2022-12-02,200.0,3.575,182.70118713378903
48,2022-10-17,2022-11-04,197.49999999999997,2.04,2022-12-02,205.00000000000003,2.7953448610625182,182.70118713378903
