,t0,T1,K1,C1,T2,K2,C2,S0,Adj_S0
0,2018-01-02,2018-01-19,999.9999999999999,191.525,2018-04-20,800.0,396.725,59.45050048828125,1189.010009765625
1,2018-01-02,2018-01-19,1100.0,92.525,2018-04-20,1015.0,191.675,59.45050048828125,1189.010009765625
2,2018-01-02,2018-01-19,1150.0,46.075,2018-04-20,1025.0,183.02499999999998,59.45050048828125,1189.010009765625
3,2018-01-02,2018-01-19,1160.0,38.0,2018-04-20,1050.0,157.77634096859802,59.45050048828125,1189.010009765625
4,2018-01-02,2018-01-19,1170.0,30.450000000000003,2018-04-20,1080.0,137.85000000000002,59.45050048828125,1189.010009765625
5,2018-01-02,2018-01-19,1175.0,27.125,2018-04-20,1100.0,122.75,59.45050048828125,1189.010009765625
6,2018-01-02,2018-01-19,1180.0,23.875,2018-04-20,1120.0,108.4,59.45050048828125,1189.010009765625
7,2018-01-02,2018-01-19,1185.0,20.95,2018-04-20,1140.0,95.0,59.45050048828125,1189.010009765625
8,2018-01-02,2018-01-19,1187.5,19.48085598942339,2018-04-20,1160.0,82.49999999999999,59.45050048828125,1189.010009765625
9,2018-01-02,2018-01-19,1190.0,18.17436386143846,2018-04-20,1180.0,71.17764281874055,59.45050048828125,1189.010009765625
10,2018-01-02,2018-01-19,1192.5,17.1,2018-04-20,1200.0,61.05,59.45050048828125,1189.010009765625
11,2018-01-02,2018-01-19,1200.0,13.525,2018-04-20,1240.0000000000002,43.875,59.45050048828125,1189.010009765625
12,2018-01-02,2018-01-19,1210.0,9.725,2018-04-20,1260.0,35.80951106116619,59.45050048828125,1189.010009765625
13,2018-01-02,2018-01-19,1220.0,7.025,2018-04-20,1280.0,30.600000000000005,59.45050048828125,1189.010009765625
14,2018-01-02,2018-01-19,1230.0,5.0,2018-04-20,1300.0,25.325,59.45050048828125,1189.010009765625
15,2018-01-02,2018-01-19,1240.0,3.3750000000000004,2018-04-20,1320.0,20.799999999999997,59.45050048828125,1189.010009765625
16,2018-01-02,2018-01-19,1250.0,2.35,2018-04-20,1380.0,11.5,59.45050048828125,1189.010009765625
17,2018-01-02,2018-01-19,1260.0,1.7999999999999998,2018-04-20,1400.0,9.375,59.45050048828125,1189.010009765625
18,2018-01-02,2018-01-19,1289.9999999999998,0.905,2018-04-20,1500.0,3.6749999999999994,59.45050048828125,1189.010009765625
19,2018-01-02,2018-01-19,1300.0,0.76,2018-04-20,1600.0,1.5699999999999998,59.45050048828125,1189.010009765625
20,2018-01-03,2018-01-19,1140.0,66.30000000000001,2018-04-20,975.0,240.4,60.209999084472656,1204.1999816894531
21,2018-01-03,2018-01-19,1150.0,56.95,2018-04-20,1040.0,181.02139100668415,60.209999084472656,1204.1999816894531
22,2018-01-03,2018-01-19,1160.0,48.29999999999999,2018-04-20,1050.0,174.58641199453393,60.209999084472656,1204.1999816894531
23,2018-01-03,2018-01-19,1165.0,43.71809633869711,2018-04-20,1055.0,167.7519595179697,60.209999084472656,1204.1999816894531
24,2018-01-03,2018-01-19,1170.0,39.925,2018-04-20,1075.0,151.825,60.209999084472656,1204.1999816894531
25,2018-01-03,2018-01-19,1180.0,32.075,2018-04-20,1080.0,147.775,60.209999084472656,1204.1999816894531
26,2018-01-03,2018-01-19,1185.0,28.377231860373087,2018-04-20,1100.0,132.10000000000002,60.209999084472656,1204.1999816894531
27,2018-01-03,2018-01-19,1190.0,25.05,2018-04-20,1120.0,113.2318699904167,60.209999084472656,1204.1999816894531
28,2018-01-03,2018-01-19,1197.5,20.45,2018-04-20,1140.0,103.07499999999999,60.209999084472656,1204.1999816894531
29,2018-01-03,2018-01-19,1200.0,19.038223933414486,2018-04-20,1160.0,90.025,60.209999084472656,1204.1999816894531
30,2018-01-03,2018-01-19,1210.0,13.975,2018-04-20,1180.0,78.05000000000001,60.209999084472656,1204.1999816894531
31,2018-01-03,2018-01-19,1220.0,10.225,2018-04-20,1200.0,67.125,60.209999084472656,1204.1999816894531
32,2018-01-03,2018-01-19,1230.0,7.05,2018-04-20,1220.0,57.25,60.209999084472656,1204.1999816894531
33,2018-01-03,2018-01-19,1240.0,4.95,2018-04-20,1239.9999999999998,48.425,60.209999084472656,1204.1999816894531
34,2018-01-03,2018-01-19,1250.0,3.475,2018-04-20,1260.0000000000002,40.6,60.209999084472656,1204.1999816894531
35,2018-01-03,2018-01-19,1260.0,2.45,2018-04-20,1300.0,28.1,60.209999084472656,1204.1999816894531
36,2018-01-03,2018-01-19,1290.0,1.055,2018-04-20,1320.0,23.15,60.209999084472656,1204.1999816894531
37,2018-01-03,2018-01-19,1300.0,0.865,2018-04-20,1400.0,10.275,60.209999084472656,1204.1999816894531
38,2018-01-03,2018-01-19,1340.0,0.49990778899922744,2018-04-20,1420.0,8.425,60.209999084472656,1204.1999816894531
39,2018-01-03,2018-01-19,1350.0,0.41000000000000003,2018-04-20,1680.0,1.08,60.209999084472656,1204.1999816894531
40,2018-01-04,2018-01-19,1000.0,211.52499999999998,2018-04-20,1000.0,223.35,60.47949981689453,1209.5899963378906
41,2018-01-04,2018-01-19,1130.0,82.575,2018-04-20,1040.0,183.80319736802727,60.47949981689453,1209.5899963378906
42,2018-01-04,2018-01-19,1150.0,63.2,2018-04-20,1050.0,178.62426400675702,60.47949981689453,1209.5899963378906
43,2018-01-04,2018-01-19,1160.0,53.85074905052854,2018-04-20,1055.0,174.2,60.47949981689453,1209.5899963378906
44,2018-01-04,2018-01-19,1170.0,44.963219818933744,2018-04-20,1075.0,156.43163842074418,60.47949981689453,1209.5899963378906
45,2018-01-04,2018-01-19,1180.0,36.5,2018-04-20,1080.0,153.0856463941207,60.47949981689453,1209.5899963378906
46,2018-01-04,2018-01-19,1190.0,28.85,2018-04-20,1100.0,138.60264659858962,60.47949981689453,1209.5899963378906
47,2018-01-04,2018-01-19,1200.0,22.1,2018-04-20,1120.0,121.92500000000001,60.47949981689453,1209.5899963378906
48,2018-01-04,2018-01-19,1210.0,16.475,2018-04-20,1140.0,107.55,60.47949981689453,1209.5899963378906
49,2018-01-04,2018-01-19,1220.0,12.074999999999998,2018-04-20,1160.0,94.2,60.47949981689453,1209.5899963378906
50,2018-01-04,2018-01-19,1230.0,8.375,2018-04-20,1180.0,81.75,60.47949981689453,1209.5899963378906
51,2018-01-04,2018-01-19,1240.0,5.675,2018-04-20,1200.0,70.4,60.47949981689453,1209.5899963378906
52,2018-01-04,2018-01-19,1250.0,3.9,2018-04-20,1220.0,60.1,60.47949981689453,1209.5899963378906
53,2018-01-04,2018-01-19,1260.0,2.665,2018-04-20,1240.0,50.95,60.47949981689453,1209.5899963378906
54,2018-01-04,2018-01-19,1270.0000000000002,1.9500000000000002,2018-04-20,1259.9999999999998,42.8,60.47949981689453,1209.5899963378906
55,2018-01-04,2018-01-19,1280.0,1.4,2018-04-20,1280.0,35.75,60.47949981689453,1209.5899963378906
56,2018-01-04,2018-01-19,1290.0,1.12,2018-04-20,1300.0,29.625,60.47949981689453,1209.5899963378906
57,2018-01-04,2018-01-19,1300.0,0.92,2018-04-20,1360.0,16.375,60.47949981689453,1209.5899963378906
58,2018-01-04,2018-01-19,1340.0,0.41000000000000003,2018-04-20,1400.0,10.900000000000002,60.47949981689453,1209.5899963378906
59,2018-01-04,2018-01-19,1350.0,0.36,2018-04-20,1500.0,4.075,60.47949981689453,1209.5899963378906
60,2018-01-05,2018-01-19,1100.0,130.125,2018-04-20,1030.0,210.96294020022162,61.457000732421875,1229.1400146484375
61,2018-01-05,2018-01-19,1160.0,70.9,2018-04-20,1040.0,204.027731190979,61.457000732421875,1229.1400146484375
62,2018-01-05,2018-01-19,1170.0,61.203313417331245,2018-04-20,1050.0,194.61916485698845,61.457000732421875,1229.1400146484375
63,2018-01-05,2018-01-19,1180.0,51.758512730881776,2018-04-20,1060.0,184.96464770838364,61.457000732421875,1229.1400146484375
64,2018-01-05,2018-01-19,1190.0,43.099999999999994,2018-04-20,1075.0,172.075,61.457000732421875,1229.1400146484375
65,2018-01-05,2018-01-19,1195.0,38.575,2018-04-20,1100.0,151.125,61.457000732421875,1229.1400146484375
66,2018-01-05,2018-01-19,1200.0,34.85,2018-04-20,1120.0,135.125,61.457000732421875,1229.1400146484375
67,2018-01-05,2018-01-19,1210.0,27.350000000000005,2018-04-20,1140.0,119.9,61.457000732421875,1229.1400146484375
68,2018-01-05,2018-01-19,1215.0,24.1875976278815,2018-04-20,1160.0,105.5,61.457000732421875,1229.1400146484375
69,2018-01-05,2018-01-19,1220.0,20.823576917808143,2018-04-20,1180.0,92.19999999999999,61.457000732421875,1229.1400146484375
70,2018-01-05,2018-01-19,1225.0,17.975,2018-04-20,1200.0,80.20000000000002,61.457000732421875,1229.1400146484375
71,2018-01-05,2018-01-19,1230.0,15.275,2018-04-20,1220.0,68.575,61.457000732421875,1229.1400146484375
72,2018-01-05,2018-01-19,1239.9999999999998,10.975,2018-04-20,1239.9999999999998,58.4,61.457000732421875,1229.1400146484375
73,2018-01-05,2018-01-19,1250.0,7.65,2018-04-20,1260.0,49.349999999999994,61.457000732421875,1229.1400146484375
74,2018-01-05,2018-01-19,1260.0,5.15,2018-04-20,1280.0,41.4,61.457000732421875,1229.1400146484375
75,2018-01-05,2018-01-19,1270.0,3.375,2018-04-20,1300.0,34.425,61.457000732421875,1229.1400146484375
76,2018-01-05,2018-01-19,1290.0,1.7100000000000002,2018-04-20,1320.0,28.5,61.457000732421875,1229.1400146484375
77,2018-01-05,2018-01-19,1299.9999999999998,1.21,2018-04-20,1340.0,23.35,61.457000732421875,1229.1400146484375
78,2018-01-05,2018-01-19,1310.0,1.0,2018-04-20,1400.0,12.499999999999998,61.457000732421875,1229.1400146484375
79,2018-01-05,2018-01-19,1350.0,0.51,2018-04-20,1499.9999999999998,4.375,61.457000732421875,1229.1400146484375
80,2018-01-08,2018-01-19,1100.0,147.425,2018-04-20,999.9999999999999,256.67499999999995,62.34349822998047,1246.8699645996094
81,2018-01-08,2018-01-19,1120.0,127.55000000000001,2018-04-20,1050.0,209.98719599861917,62.34349822998047,1246.8699645996094
82,2018-01-08,2018-01-19,1200.0,49.675,2018-04-20,1100.0,166.5900905943176,62.34349822998047,1246.8699645996094
83,2018-01-08,2018-01-19,1205.0,44.875,2018-04-20,1120.0,149.525,62.34349822998047,1246.8699645996094
84,2018-01-08,2018-01-19,1210.0,40.725,2018-04-20,1160.0,118.67499999999998,62.34349822998047,1246.8699645996094
85,2018-01-08,2018-01-19,1220.0,32.5,2018-04-20,1180.0,104.25000000000001,62.34349822998047,1246.8699645996094
