Date,BETA0,BETA1,BETA2,TAU1
1/1/18,NA,NA,NA,NA
2/1/18,4.906107408,-3.26604186,-1.609552024,2.342510044
3/1/18,4.82847019,-3.224983547,-1.129528674,2.656496489
4/1/18,4.699801622,-3.106695829,-0.773121101,2.741904056
5/1/18,4.737595689,-3.142993747,-0.889584101,2.618388139
8/1/18,4.746728018,-3.141301509,-1.028709612,2.513842068
9/1/18,4.896918355,-3.309387565,-1.027763229,2.638589675
10/1/18,4.946215688,-3.349814801,-1.113849847,2.6613431
11/1/18,4.788843333,-3.20082105,-0.716680216,2.940995048
12/1/18,4.851931511,-3.247763349,-0.916578448,2.662448919
15/1/18,NA,NA,NA,NA
16/1/18,4.630140691,-3.038263627,-0.191506265,3.14673556
17/1/18,4.410204012,-2.837057704,-0.001183543,3.001886606
18/1/18,4.698712436,-3.116877002,-0.319540793,2.927469323
19/1/18,4.545732125,-2.981604052,0.000485383,2.985594491
22/1/18,4.519496767,-2.965603214,4.77E-05,2.907830707
23/1/18,4.573537861,-2.997421775,-0.033194759,3.071617479
24/1/18,4.060515562,-2.495366839,-0.00031144,2.675808006
25/1/18,3.746259472,-2.17418126,-4.88E-05,2.408886291
26/1/18,3.864372395,-2.290109523,5.98E-05,2.304442175
29/1/18,4.130498477,-2.548935431,5.61E-05,2.549832672
30/1/18,4.057511675,-2.483730475,0.0001834,2.532369049
31/1/18,4.153400346,-2.561772465,5.30E-05,2.501012181
1/2/18,4.127854991,-2.566962972,0.00024788,2.409128254
2/2/18,4.812530246,-3.237069933,-0.349895695,2.67629966
5/2/18,5.064386966,-3.446460661,-0.968870358,2.587572737
6/2/18,4.478233517,-2.874055103,0.000809256,3.019732327
7/2/18,4.744778205,-3.097681973,-0.002829249,3.271964935
8/2/18,5.112073526,-3.440045443,-0.188556861,3.570072249
9/2/18,5.354359537,-3.635333054,-1.758451747,2.492513715
12/2/18,5.881532376,-4.102556717,-2.238265704,2.280020066
13/2/18,5.806772551,-4.031335936,-1.820337246,2.583558888
14/2/18,5.520187299,-3.781742125,-1.028539458,2.755383791
15/2/18,5.456778014,-3.707050389,-1.071042749,2.657235462
16/2/18,5.450627275,-3.692976122,-0.91331886,2.831240286
19/2/18,NA,NA,NA,NA
20/2/18,4.803253734,-3.040406525,0.000165442,3.301306922
21/2/18,4.647676804,-2.899752072,-4.03E-05,3.100355655
22/2/18,4.894916596,-3.131910433,0.000160888,3.391429079
23/2/18,5.039290241,-3.25130582,-0.003376606,3.593286604
26/2/18,4.922185289,-3.146929426,-0.372850538,3.173019658
27/2/18,4.375414462,-2.633485393,4.89E-05,2.831773809
28/2/18,4.788321968,-3.014596843,-0.567402818,2.585413132
1/3/18,4.673148427,-2.866632395,-0.769839494,2.54662108
2/3/18,4.695110894,-2.914934983,-0.176548972,3.06893752
5/3/18,4.934171295,-3.156344287,-0.667716469,2.695732887
6/3/18,5.052638116,-3.254702606,-0.94212089,2.496652175
7/3/18,4.836883854,-3.055703182,-0.237530418,3.02241569
8/3/18,4.826289378,-3.030372159,-0.41095351,2.858730018
9/3/18,4.728294358,-2.939660456,0.000259381,3.147580649
12/3/18,5.131511022,-3.305884441,-0.642701723,2.836319762
13/3/18,4.925527402,-3.097729764,-0.733982976,2.642431245
14/3/18,4.993955723,-3.161000535,-0.5964917,2.825549948
15/3/18,4.629472193,-2.79099018,0.00036783,3.156617097
16/3/18,4.614414153,-2.779604463,0.000246021,3.031130874
19/3/18,4.657137905,-2.798789318,0.002969617,3.120503032
20/3/18,4.042310356,-2.213972413,-9.64E-05,2.426389964
21/3/18,4.798160826,-2.954797531,-0.549714999,2.551030247
22/3/18,4.311844452,-2.484425133,-0.00016247,2.779651764
23/3/18,4.532677483,-2.691479101,0.000245081,3.16718554
26/3/18,4.267193678,-2.438575986,-5.89E-05,2.726211551
27/3/18,4.443964623,-2.585339423,0.000313816,3.177395593
28/3/18,4.352979261,-2.483162334,-8.90E-05,2.992434656
29/3/18,4.128196366,-2.254020599,0.000227556,2.837621724
30/3/18,NA,NA,NA,NA
2/4/18,4.873591817,-2.993743902,0.000547853,3.609835743
3/4/18,3.857402208,-2.017694859,0.000105074,2.408660821
4/4/18,3.729189414,-1.911844561,-5.99E-05,2.165012819
5/4/18,3.519990044,-1.733473675,-0.000168495,1.829976747
6/4/18,3.706147609,-1.885863599,-7.49E-05,2.211265142
9/4/18,3.719317782,-1.915226227,-8.48E-05,2.10161754
10/4/18,3.522893455,-1.724460427,-0.000183392,1.822186637
11/4/18,3.541832275,-1.727213036,-0.000168097,1.855836682
12/4/18,3.588841274,-1.802820413,0.000675307,1.734396279
13/4/18,3.4897751,-1.689070681,-5.76E-05,1.592205008
16/4/18,3.502785734,-1.68217693,8.75E-05,1.595238443
17/4/18,3.46386725,-1.608833213,-7.22E-05,1.585028506
18/4/18,3.269427558,-1.499472595,0.001213861,1.175990607
19/4/18,3.56879934,-1.713238783,0.000110185,1.621386372
20/4/18,3.666224939,-1.795457703,7.00E-05,1.696496299
23/4/18,3.80529861,-1.930222182,2.39E-05,1.757153051
