,AMZN,JPM,JNJ,MSFT,PG,WMT,GOOGL,V,TSLA
2/1/18,59.4505,107.949997,139.229996,85.949997,90.650002,98.589996,53.6605,114.510002,21.368668
3/1/18,60.209999,108.059998,140.559998,86.349998,90.540001,99.449997,54.576,115.650002,21.15
4/1/18,60.4795,109.040001,140.550003,87.110001,91.18,99.540001,54.787998,116.080002,20.974667
5/1/18,61.457001,108.339996,141.710007,88.190002,91.239998,100.129997,55.5145,118.860001,21.105333
8/1/18,62.343498,108.5,141.889999,88.279999,91.720001,101.610001,55.710499,119.339996,22.427334
9/1/18,62.634998,109.050003,144.139999,88.220001,91.050003,100.389999,55.6395,119.110001,22.246
10/1/18,62.716499,110.25,143.970001,87.82,90.470001,99.669998,55.507,118.980003,22.32
11/1/18,63.834,110.839996,144.789993,88.080002,90.150002,100.019997,55.602501,119.839996,22.530001
12/1/18,65.260002,112.669998,145.759995,89.599998,89.610001,100.870003,56.532501,120.089996,22.414667
16/1/18,65.242996,112.269997,146.860001,88.349998,90.220001,100.690002,56.535,120.389999,22.670668
17/1/18,64.75,112.989998,146.979996,90.139999,91.199997,102.699997,56.955002,121.980003,23.143999
18/1/18,64.666,113.260002,146.919998,90.099998,90.18,104.300003,56.7985,123.110001,22.971333
19/1/18,64.728996,113.010002,147.360001,90,91.07,104.589996,57.174999,122.699997,23.334667
22/1/18,66.365501,114.330002,148.139999,91.610001,91.889999,105.449997,58.208,124.330002,23.437332
23/1/18,68.126999,114.209999,141.830002,91.900002,89.050003,105.900002,58.808498,124.650002,23.519333
24/1/18,67.875504,115.669998,142.070007,91.82,88.309998,105.790001,58.564499,124.550003,23.059334
25/1/18,68.897499,115.699997,144.399994,92.330002,88.339996,106.599998,59.106998,125.220001,22.509333
26/1/18,70.102501,116.32,145.330002,94.059998,87.730003,108.389999,59.377998,126.32,22.856667
29/1/18,70.884003,116.199997,143.679993,93.919998,86.860001,109.550003,59.324001,124.839996,23.302
30/1/18,71.890999,115.110001,142.429993,92.739998,86.949997,107.730003,58.8685,123.550003,23.054667
31/1/18,72.544502,115.669998,138.190002,95.010002,86.339996,106.599998,59.111,124.230003,23.620667
1/2/18,69.5,116.870003,140.020004,94.260002,85.849998,105.519997,59.079498,125.720001,23.283333
2/2/18,71.497498,114.279999,137.679993,91.779999,84.25,104.480003,55.959999,120.910004,22.916668
5/2/18,69.5,108.800003,130.389999,88,81.059998,100.089996,53.119499,116.269997,22.208668
6/2/18,72.141998,112.110001,131.830002,91.330002,82.379997,100.900002,54.2215,119.970001,22.264668
7/2/18,70.838997,112.870003,131.419998,89.610001,81.839996,102.849998,52.7705,119.650002,23
8/2/18,67.525002,107.879997,126.360001,85.010002,80.220001,100.019997,50.385502,113.860001,21.015333
9/2/18,66.980003,110.040001,129.529999,88.18,79.919998,99.370003,52.313499,116.32,20.694668
12/2/18,69.311501,111.739998,130.270004,89.129997,81.330002,99.550003,52.728001,118.470001,21.048668
13/2/18,70.725502,112.43,129.960007,89.830002,81.5,100.980003,52.707001,118.349998,21.577333
14/2/18,72.552498,115.029999,129.669998,90.809998,80.68,101.699997,53.634998,120.830002,21.487333
15/2/18,73.087997,115.510002,131.229996,92.660004,82.410004,103.230003,54.568001,122.279999,22.271334
16/2/18,72.434502,114.68,133.149994,92,82.599998,104.779999,54.775002,121.849998,22.365999
20/2/18,73.417503,114.709999,130.869995,92.720001,81.339996,94.110001,55.179501,122.010002,22.318001
21/2/18,74.146004,115.190002,129.910004,91.489998,80.239998,91.519997,55.6875,120.43,22.219999
22/2/18,74.266998,114.980003,129.910004,91.730003,80.839996,92.769997,55.494999,120.379997,23.077999
23/2/18,75,117.309998,132.020004,94.059998,81.050003,92.889999,56.404499,122.93,23.469999
26/2/18,76.097504,118.769997,132.070007,95.419998,81.629997,93.120003,57.185001,124.589996,23.827999
27/2/18,75.598999,117.360001,131.669998,94.199997,80.540001,91.519997,55.8755,123.370003,23.399332
28/2/18,75.622498,115.5,129.880005,93.769997,78.519997,90.010002,55.195999,122.940002,22.870667
1/3/18,74.672501,113.43,127.279999,92.849998,78.699997,89.080002,53.570499,120.400002,22.062
2/3/18,75.012497,113.32,128.820007,93.050003,79.5,88.769997,54.207001,120.769997,22.341333
5/3/18,76.180496,115.059998,129.789993,93.639999,80.290001,89.980003,54.737999,121.879997,22.223333
6/3/18,76.882004,115.160004,128.220001,93.32,80.019997,89.059998,55.044998,121.059998,21.879999
7/3/18,77.25,114.730003,129.039993,93.860001,79.160004,87.739998,55.751999,121.849998,22.153334
8/3/18,77.593002,114.739998,132.059998,94.43,79.970001,87.919998,56.469002,122.220001,21.940001
9/3/18,78.944504,118.040001,133.800003,96.540001,80.290001,88.720001,58.042,124.510002,21.811333
12/3/18,79.919502,117.660004,132.630005,96.769997,79.860001,88.07,58.296501,124.239998,23.034
13/3/18,79.408997,116.25,134.350006,94.410004,79.720001,88.300003,56.995499,123.199997,22.789333
14/3/18,79.550003,114.949997,132.320007,93.849998,79,87.669998,57.4445,122.580002,21.775333
15/3/18,79.115997,115.239998,133.059998,94.18,78.669998,87.510002,57.530499,123.410004,21.706667
16/3/18,78.584,115.440002,133.679993,94.599998,78.970001,89.169998,56.721001,124.529999,21.423332
19/3/18,77.246498,114.529999,130.240005,92.889999,78.660004,87.449997,55.003502,123.209999,20.903999
20/3/18,79.3255,114.639999,131.210007,93.129997,78.309998,87.949997,54.790001,124.910004,20.703333
21/3/18,79.093002,114.739998,131.190002,92.480003,77.040001,88.18,54.700001,123.220001,21.101999
22/3/18,77.246002,109.949997,127.379997,89.790001,76.410004,87.139999,52.657501,119.989998,20.606667
23/3/18,74.778,107.010002,125.099998,87.18,75.910004,85.419998,51.327499,117,20.102667
26/3/18,77.792999,110.309998,127.389999,93.779999,76.410004,87.5,52.704498,120.639999,20.278667
27/3/18,74.852501,108.169998,127.209999,89.470001,77.790001,86.050003,50.347,117.400002,18.612
28/3/18,71.570999,108,127.449997,89.389999,78.839996,87.769997,50.258999,116.989998,17.185333
29/3/18,72.366997,109.970001,128.149994,91.269997,79.279999,88.970001,51.856998,119.620003,17.742001
2/4/18,68.599503,107.849998,124.559998,88.519997,77.400002,85.550003,50.6315,118.389999,16.832001
3/4/18,69.602501,109.330002,128.350006,89.709999,78.459999,86.800003,50.933998,119.199997,17.835333
4/4/18,70.528503,110.989998,130.410004,92.330002,79.050003,87.220001,51.4855,119.809998,19.129333
5/4/18,72.587502,111.879997,130.710007,92.379997,78.800003,87.809998,51.632,121.190002,20.381332
6/4/18,70.261497,109.089996,128.100006,90.230003,78.43,86.690002,50.497501,117.699997,19.953333
9/4/18,70.304001,110.400002,129.479996,90.769997,78.160004,86.279999,51.004501,118.790001,19.310667
10/4/18,71.810997,112.510002,130.25,92.879997,78.370003,86.449997,51.825001,120.720001,20.313334
11/4/18,71.352501,110.620003,129.630005,91.860001,78.269997,85.910004,51.252998,119.779999,20.062
12/4/18,72.425003,113.370003,130.429993,93.580002,77.790001,85.43,51.864498,121.07,19.605333
13/4/18,71.539497,110.300003,130.619995,93.080002,78.370003,86.019997,51.801998,120.75,20.022667
16/4/18,72.074997,110.209999,131.759995,94.169998,78.610001,86.839996,52.305,121.879997,19.414
17/4/18,75.191498,110.209999,130.539993,96.07,78.43,87.900002,53.967999,123.800003,19.179333
18/4/18,76.391998,109.32,127.720001,96.440002,78.199997,87.57,53.769501,124.480003,19.556667
19/4/18,77.845497,111.720001,127.550003,96.110001,74.949997,87.889999,54.4725,123.959999,20.005333
20/4/18,76.374496,111.470001,126.660004,95,73.800003,86.980003,53.866001,124.199997,19.349333
23/4/18,75.892998,110.93,126.830002,95.349998,73,86.099998,53.690498,124.459999,18.891333
24/4/18,73.004501,110.410004,126.190002,93.120003,72.5,86.529999,51.132,121.269997,18.897333
25/4/18,73.008499,109.989998,126.760002,92.309998,72.300003,87.169998,51.149502,121.209999,18.712667
26/4/18,75.898003,110.099998,128.009995,94.260002,72.75,87.940002,52.165501,127.080002,19.032
27/4/18,78.630997,109.400002,128.270004,95.82,72.809998,87.290001,51.572498,126.010002,19.605333
30/4/18,78.306503,108.779999,126.489998,93.519997,72.339996,88.459999,50.929001,126.879997,19.593332
1/5/18,79.112999,108.779999,126.010002,95,71.959999,87.410004,52.037498,127.510002,19.994667
2/5/18,78.484001,107.919998,123.5,93.510002,70.940002,86.339996,51.302502,126.379997,20.076668
3/5/18,78.603996,107.239998,123.029999,94.07,71.360001,86.230003,51.314999,127.18,18.963333
4/5/18,79.047501,108.43,124.190002,95.160004,72.43,87.529999,52.549999,128.160004,19.606001
7/5/18,80.007004,109.370003,123.589996,96.220001,71.980003,85.470001,52.973,129.259995,20.184668
8/5/18,79.619499,110.989998,122.610001,95.809998,71.440002,85.739998,52.929501,129.899994,20.131332
9/5/18,80.400002,113.410004,123.510002,96.940002,72.370003,83.059998,54.447498,130.839996,20.456667
10/5/18,80.454002,114.290001,125.349998,97.910004,73.150002,82.690002,55.273499,131,20.334667
11/5/18,80.1455,113.860001,127.239998,97.699997,73.370003,83.379997,55.168999,131.820007,20.070667
14/5/18,80.077003,113.900002,126.059998,98.029999,73.279999,84.389999,55.330002,131.210007,19.464666
